Date,GLD,SPY,VFITX
1995-01-03,,26.44381332397461,2.425164222717285
1995-01-04,,26.57018280029297,2.435267448425293
1995-01-05,,26.57018280029297,2.425164222717285
1995-01-06,,26.59724235534668,2.42768931388855
1995-01-09,,26.624332427978516,2.422635793685913
1995-01-10,,26.651390075683594,2.430217742919922
1995-01-11,,26.669448852539062,2.435267448425293
1995-01-12,,26.678483963012695,2.4327430725097656
1995-01-13,,26.994369506835938,2.4478964805603027
1995-01-16,,27.156810760498047,2.4504246711730957
1995-01-17,,27.165851593017578,2.4478964805603027
1995-01-18,,27.138761520385742,2.4478964805603027
1995-01-19,,26.985340118408203,2.44284725189209
1995-01-20,,26.88605308532715,2.430217742919922
1995-01-23,,26.96728515625,2.430217742919922
1995-01-24,,27.003393173217773,2.42768931388855
1995-01-25,,27.075592041015625,2.435267448425293
1995-01-26,,27.10266876220703,2.44284725189209
1995-01-27,,27.210969924926758,2.4580016136169434
1995-01-30,,27.093626022338867,2.4605276584625244
1995-01-31,,27.201932907104492,2.4800984859466553
1995-02-01,,27.192916870117188,2.4699318408966064
1995-02-02,,27.35536766052246,2.4699318408966064
1995-02-03,,27.743459701538086,2.492802143096924
1995-02-06,,27.860782623291016,2.492802143096924
1995-02-07,,27.896881103515625,2.4902608394622803
1995-02-08,,27.896881103515625,2.492802143096924
1995-02-09,,27.896881103515625,2.485177755355835
1995-02-10,,27.932992935180664,2.477555751800537
1995-02-13,,27.94200325012207,2.477555751800537
1995-02-14,,27.97811508178711,2.4902608394622803
1995-02-15,,28.13153839111328,2.5004236698150635
1995-02-16,,28.09543800354004,2.5055065155029297
1995-02-17,,27.987136840820312,2.502964496612549
1995-02-21,,27.97811508178711,2.5004236698150635
1995-02-22,,28.18567657470703,2.5131313800811768
1995-02-23,,28.23082160949707,2.515671968460083
1995-02-24,,28.303024291992188,2.515671968460083
1995-02-27,,28.077396392822266,2.5283756256103516
1995-02-28,,28.31205940246582,2.544212579727173
1995-03-01,,28.13153839111328,2.544212579727173
1995-03-02,,28.167627334594727,2.5365493297576904
1995-03-03,,28.176668167114258,2.526334524154663
1995-03-06,,28.194711685180664,2.5212225914001465
1995-03-07,,27.97811508178711,2.5161144733428955
1995-03-08,,28.05031394958496,2.528888702392578
1995-03-09,,28.04129409790039,2.5391085147857666
1995-03-10,,28.456445693969727,2.544212579727173
1995-03-13,,28.42937469482422,2.551875591278076
1995-03-14,,28.636938095092773,2.5646488666534424
1995-03-15,,28.58278465270996,2.5620932579040527
1995-03-16,,28.754276275634766,2.5646488666534424
1995-03-17,,28.782865524291992,2.5569849014282227
1995-03-20,,28.782865524291992,2.5569849014282227
1995-03-21,,28.71028709411621,2.5493204593658447
1995-03-22,,28.737499237060547,2.546766519546509
1995-03-23,,28.755653381347656,2.544212579727173
1995-03-24,,29.163972854614258,2.5620932579040527
1995-03-27,,29.28194808959961,2.567203998565674
1995-03-28,,29.28194808959961,2.551875591278076
1995-03-29,,29.272869110107422,2.554429769515991
1995-03-30,,29.218425750732422,2.546766519546509
1995-03-31,,29.100465774536133,2.558842658996582
1995-04-03,,29.17305564880371,2.569119453430176
1995-04-04,,29.36361312866211,2.5716874599456787
1995-04-05,,29.36361312866211,2.574258804321289
1995-04-06,,29.472503662109375,2.576826572418213
1995-04-07,,29.445280075073242,2.574258804321289
1995-04-10,,29.499727249145508,2.574258804321289
1995-04-11,,29.399932861328125,2.576826572418213
1995-04-12,,29.499727249145508,2.5793955326080322
1995-04-13,,29.663061141967773,2.587104558944702
1995-04-17,,29.49065399169922,2.587104558944702
1995-04-18,,29.390838623046875,2.587104558944702
1995-04-19,,29.36361312866211,2.5845327377319336
1995-04-20,,29.408998489379883,2.5896716117858887
1995-04-21,,29.554162979125977,2.592241048812866
1995-04-24,,29.898990631103516,2.5948097705841064
1995-04-25,,29.817306518554688,2.592241048812866
1995-04-26,,29.844533920288086,2.592241048812866
1995-04-27,,29.9171199798584,2.587104558944702
1995-04-28,,29.962493896484375,2.5987284183502197
