entry,exit,validation_total_cagr,validation_median_fold_cagr,validation_p10_fold_cagr,validation_worst_fold_cagr,validation_mean_fold_cagr,validation_positive_fold_share,validation_worst_fold_mdd,validation_median_fold_mdd,holdout_cagr,holdout_mdd,holdout_final_multiple,fold_2006_cagr,fold_2007_cagr,fold_2008_cagr,fold_2009_cagr,fold_2010_cagr,fold_2011_cagr,fold_2012_cagr,fold_2013_cagr,fold_2014_cagr,fold_2015_cagr,fold_2016_cagr,fold_2017_cagr,fold_2018_cagr,fold_2019_cagr,fold_2020_cagr,fold_2021_cagr,fold_2022_cagr,plateau_median_cagr,plateau_p10_cagr,robust_score,plateau_neighbor_count
67.9,65.5,0.8807669893123309,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.7469851941331864,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.8028063212574947,-0.4431068794707822,6.885389455901785,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.29190223606734955,0.19355333232269456,2.949286295069489,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.094516289172665,16.13241016539229,1.7249153198269558,-0.6573327343849393,0.941345380940322,0.057607557862643356,0.4994764694014827,49
68.0,65.5,0.8665046335373536,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.6938072114098073,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.7392369988432199,-0.4431068794707822,6.121936435219273,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.34076296084118285,0.41810325372993806,0.19355333232269456,2.949286295069489,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.0669726230410181,15.434460138771527,1.5807345003382238,-0.6573327343849393,0.935970955217151,0.057837120379450165,0.4969040377983006,49
67.9,65.6,0.8922812210816491,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.77209829489773,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.8028063212574947,-0.4431068794707822,6.885389455901785,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.29190223606734955,0.19355333232269456,3.3690303433728976,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.094516289172665,16.13241016539229,1.7320939845207826,-0.6573327343849393,0.9415225885210132,0.05141618043861093,0.4964693844798121,49
67.8,65.5,0.8863076930536371,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.7520293825800077,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.7605860221316338,-0.4431068794707822,6.371402522082059,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.26852517279318855,0.19355333232269456,2.5105657073938867,1.331277518874864,0.17388885416005362,1.026026446159337,0.7853277037054203,0.945162630804933,1.094516289172665,16.13241016539229,2.2581153116697625,-0.6573327343849393,0.943527497953812,0.04542846657290172,0.4944779822633568,49
68.0,65.6,0.8779315498279858,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.718897968776118,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.7392369988432199,-0.4431068794707822,6.121936435219273,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.34076296084118285,0.41810325372993806,0.19355333232269456,3.3690303433728976,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.0669726230410181,15.434460138771527,1.5875333272620984,-0.6573327343849393,0.935970955217151,0.05073130188481757,0.4933511285509843,49
67.9,65.7,0.8922812210816491,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.77209829489773,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.8028063212574947,-0.4431068794707822,6.885389455901785,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.29190223606734955,0.19355333232269456,3.3690303433728976,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.094516289172665,16.13241016539229,1.7320939845207826,-0.6573327343849393,0.9416997961017229,0.04413629124484236,0.4929180436732826,49
67.9,65.4,0.872362335970438,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.6734655536572127,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.8028063212574947,-0.4431068794707822,6.885389455901785,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.29190223606734955,0.19355333232269456,2.949286295069489,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.094516289172665,14.882576277300737,1.7249153198269558,-0.6573327343849393,0.9190065105979891,0.06542971528342977,0.49221811294070944,49
68.1,65.5,0.8712075533138,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.6968409237659388,0.8823529411764706,-0.7264288953914733,-0.31560321392573754,0.734638190570029,-0.4431068794707822,6.0691013136004335,-0.03521621180878409,0.4742938922452944,0.9759664460647379,1.8788701126182805,0.35295404613638226,0.41810325372993806,0.19355333232269456,2.949286295069489,1.331277518874864,0.17388885416005362,0.9779933023318288,0.7853277037054203,0.945162630804933,1.0669726230410181,15.434460138771527,1.5807345003382238,-0.6573327343849393,0.9289613966429433,0.05532173911765591,0.4921415678802996,49
67.8,65.6,0.8978558455305203,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.774482243502744,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.7605860221316338,-0.4431068794707822,6.371402522082059,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.5013151725600751,0.26852517279318855,0.19355333232269456,2.883680987412025,1.331277518874864,0.17388885416005362,1.026026446159337,0.7853277037054203,0.945162630804933,1.094516289172665,16.13241016539229,2.266698667338145,-0.6573327343849393,0.9437047055345124,0.0405514297785421,0.4921280676565272,49
68.0,65.4,0.8581637149147583,0.945162630804933,0.09024682777251855,-0.6573327343849393,1.6232826565366176,0.8823529411764706,-0.7264288953914733,-0.3156032139257374,0.7392369988432199,-0.4431068794707822,6.121936435219273,-0.03521621180878409,0.4015275863616674,0.9759664460647379,1.8788701126182805,0.34076296084118285,0.41810325372993806,0.19355333232269456,2.949286295069489,1.331277518874864,0.17388885416005362,1.0113775834564183,0.7853277037054203,0.945162630804933,1.0669726230410181,14.235542705927301,1.5807345003382238,-0.6573327343849393,0.9144504907154831,0.0657583288724783,0.49010440979398073,49
