cost_bps_per_transition,cagr,max_drawdown
0,1.5345273049459158,-0.7776330162254856
5,1.5103677832168922,-0.7785040371713148
10,1.4864268239943303,-0.7793720725165978
25,1.4158966861222941,-0.7819583525673371
50,1.3025460164021192,-0.7862099218649455
100,1.0908021828664491,-0.7944960683181065
