fold,is_start,is_end,oos_start,oos_end,is_n,oos_n,is_cagr,is_vol,is_mdd,is_sharpe,oos_cagr_opt,oos_vol_opt,oos_mdd_opt,oos_sharpe_opt,oos_net_opt,oos_cagr_canon,oos_net_canon,oos_is_eff,opt_alpha_drawdown_pct,opt_gspc_exit_gamma_pct,opt_uvix_entry_rsi,opt_uvix_exit_rsi,opt_bb_window_days,opt_bb_z_threshold,opt_low_rsi_entry,opt_low_rsi_exit
1,2009-08-21,2012-08-20,2012-08-21,2013-08-22,756,252,2.721014062495939,0.6579662442586371,-0.3131496899250118,4.135491883116039,1.724042913226469,0.6218764992102154,-0.3736657543071872,2.7723236292350775,1.724042913226469,2.8805862561169295,2.8805862561169295,0.6336030882710817,39.0,0.6,65.5,50.5,14.0,1.1,30.5,40.0
2,2010-08-23,2013-08-22,2013-08-23,2014-08-22,756,252,2.427089455484483,0.6722818647627213,-0.37523715885430076,3.610225982134908,1.5292988793481088,0.39859165441613087,-0.2166013098715316,3.8367558939192348,1.5292988793481088,1.5175017975097242,1.5175017975097242,0.6300958029760128,35.0,0.2,67.5,66.0,17.0,1.25,30.5,36.5
3,2011-08-22,2014-08-22,2014-08-25,2015-08-24,756,252,1.8118263161893644,0.5664393310113474,-0.36016978074134165,3.198623783688263,0.6639854215624996,0.4411937658377242,-0.18641138852162453,1.5049746233420729,0.6639854215624996,0.50964266927143,0.50964266927143,0.36647299778656195,35.0,0.0,67.5,66.0,12.0,1.4,29.5,35.0
4,2012-08-21,2015-08-24,2015-08-25,2016-08-23,756,252,1.9870254430662375,0.5028104442111746,-0.27032942870928967,3.951838045415997,0.9582088191171991,0.464859789381853,-0.2846475271175407,2.0612856629122014,0.9582088191171991,1.1631243473211614,1.1631243473211614,0.4822327879398257,73.0,0.3,67.5,60.5,17.0,1.1,30.5,39.0
5,2013-08-23,2016-08-23,2016-08-24,2017-08-23,756,252,2.6027132881024886,0.505426680518149,-0.28015798945148274,5.14953679420774,0.8817214977459484,0.41977595237497933,-0.20092242697046503,2.100457381508887,0.8817214977459484,0.5538555592481178,0.5538555592481178,0.3387701218480229,40.0,0.0,65.5,64.0,12.0,1.1,28.5,36.5
6,2014-08-25,2017-08-23,2017-08-24,2018-08-23,756,252,2.330016700280964,0.48139956794440497,-0.305095536986177,4.840088889631178,0.6643309945743017,0.5631562372950297,-0.4310452811789629,1.179656639807876,0.6643309945743017,0.23347511241323282,0.23347511241323282,0.28511855494177085,41.0,0.5,66.0,59.0,10.0,1.05,29.0,38.0
7,2015-08-25,2018-08-23,2018-08-24,2019-08-26,756,252,2.189174023083378,0.5164280038643224,-0.4310452811789628,4.239069157176311,0.3142901931578468,0.6906871366298527,-0.457667112608262,0.45503988200996215,0.3142901931578468,0.28949134335141435,0.28949134335141435,0.14356565071751565,37.5,0.6,66.0,47.5,12.0,1.05,32.0,32.5
8,2016-08-24,2019-08-26,2019-08-27,2020-08-25,756,252,1.8129688865503892,0.5797780562726725,-0.43104528117896257,3.1270050098235194,2.8833186503472157,1.020437366941235,-0.49816283608573975,2.8255714106099177,2.8833186503472157,4.222151568764489,4.222151568764489,1.590385070442894,41.5,0.5,66.0,49.5,11.0,0.95,29.5,34.0
9,2017-08-24,2020-08-25,2020-08-26,2021-08-25,756,252,2.5192263493209994,0.7860732680005866,-0.49816283608573986,3.204823840058532,8.901707678893008,0.7334313627519331,-0.2885670451240725,12.137069848625785,8.901707678893008,8.459215094104245,8.459215094104245,3.533508484178987,42.0,0.6,66.5,57.0,14.0,1.1,30.5,32.5
10,2018-08-24,2021-08-25,2021-08-26,2022-08-25,756,252,5.264097304202995,1.0082211595046082,-0.5322479251373566,5.2211732064714065,-0.0508525495423745,1.081814081357225,-0.6696537714353967,-0.04700673657212502,-0.0508525495423745,-0.12203155009566813,-0.12203155009566813,-0.00966026017447901,52.0,0.0,66.0,47.5,14.0,1.05,32.0,33.5
11,2019-08-27,2022-08-25,2022-08-26,2023-08-28,756,252,6.041498942660826,0.9016032283665927,-0.4741372395285439,6.700839962170529,0.32471819144815983,0.5629686766756795,-0.4487105183071499,0.5767961964875475,0.32471819144815983,0.014361112201077608,0.014361112201077608,0.05374795138259941,68.0,0.9,65.0,53.5,20.0,1.15,29.5,30.0
12,2020-08-26,2023-08-28,2023-08-29,2024-08-28,756,252,4.47884031598563,0.8183836244017462,-0.5052100382979584,5.472788289550327,0.023201886283128692,0.7479656616037298,-0.6269384223006838,0.03101998858260553,0.023201886283128692,1.1382428738349994,1.1382428738349994,0.005180333444869155,75.0,0.2,65.0,47.0,20.0,1.05,32.0,40.0
13,2021-08-26,2024-08-28,2024-08-29,2025-09-02,756,252,1.2156712500380418,0.6503201519631594,-0.4915620098622481,1.8693427327574335,1.0108531545133288,0.6425364667698594,-0.30421360274120823,1.5732230103531093,1.0108531545133288,1.7740679135898865,1.7740679135898865,0.8315185166069333,72.0,0.4,67.0,58.5,13.0,1.6,30.5,33.5
