fold,train_start,train_end,oos_start,oos_end,train_cagr,train_mdd,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_net
1,1991-01-02,1993-12-27,1993-12-28,1994-12-23,0.34643885377694406,-0.44658699001001345,0.3404159582559667,0.3074892222926042,-0.18720858554862918,1.1070825693267052,0.3404159582559667
2,1991-12-31,1994-12-23,1994-12-27,1995-12-22,0.16937357537209663,-0.44658699001001334,-0.21321102501279754,0.5493667270811763,-0.454528448592202,-0.38810327328268057,-0.21321102501279754
3,1992-12-29,1995-12-22,1995-12-26,1996-12-20,0.07928469724198073,-0.45452844859220265,0.5693157636049986,0.5977593507634958,-0.3632212379825833,0.9524163241910523,0.5693157636049986
4,1993-12-28,1996-12-20,1996-12-23,1997-12-19,0.18286740392839995,-0.5112640281028348,-0.43023553645902135,0.7586381603401072,-0.5282521304633938,-0.5671156012849937,-0.43023553645902135
5,1994-12-27,1997-12-19,1997-12-22,1998-12-21,-0.11061871358795516,-0.528252130463394,1.079847917908498,0.7105954777003161,-0.378725895725052,1.5196380385126926,1.079847917908498
6,1995-12-26,1998-12-21,1998-12-22,1999-12-21,0.2297375239061672,-0.5693864553312687,3.216900361306073,0.9306764583895301,-0.33829546404373956,3.456518462788553,3.216900361306073
7,1996-12-23,1999-12-21,1999-12-22,2000-12-19,0.7096482232497505,-0.5693864553312686,0.7294821706617929,1.2377023609378193,-0.6036443031136366,0.5893841634987729,0.7294821706617929
8,1997-12-22,2000-12-19,2000-12-20,2001-12-26,1.4754092120437603,-0.6036443031136367,-0.6622564405774896,0.5686311336098644,-0.6766809555446218,-1.1646503355756477,-0.6622564405774896
9,1998-12-22,2001-12-26,2001-12-27,2002-12-26,0.3505132047436863,-0.7731291893199187,-0.19054762468725106,0.5367014609825357,-0.5068424426911717,-0.35503466738923506,-0.19054762468725106
10,1999-12-22,2002-12-26,2002-12-27,2003-12-26,-0.22095091405091283,-0.8113006418682214,1.3124902897840047,0.5911404709051251,-0.20689023615097846,2.2202680316818513,1.3124902897840047
