check,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries,mean,median,min,max,std,positive_year_share,pbo,prob_oos_loss,median_selected_oos_cagr,mean_selected_oos_rank_pct,episodes,win_rate,best,worst
canonical_full_period,1.5345273049459158,0.6413447715002044,-0.7776330162254856,3323945.7164490693,142,16,,,,,,,,,,,,,,
candidate_grid_best,1.5345273049459158,0.6413447715002044,-0.7776330162254856,3323945.7164490693,142,16,,,,,,,,,,,,,,
anchored_walk_forward_oos,,,,,,,1.9545749496947782,1.3897830301302951,-0.7478572058183846,8.974566564294566,2.5008238441657196,0.8333333333333334,,,,,,,,
rolling_5y_walk_forward_oos,,,,,,,1.7937200366498007,1.3312997394796682,-0.7478572058183846,8.974566564294566,2.4445141613820236,0.75,,,,,,,,
cscv_pbo_approx,,,,,,,,,,,,,0.0665,0.0,1.408361759184277,0.12291666666666666,,,,
canonical_uvix_episode_distribution,,,,,,,0.032644812155616806,0.02080683776372705,,,0.09988459540337047,,,,,,142,0.6690140845070423,0.6516406273170918,-0.2821799950433419
