candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
111,40.5,0.1,67.5,66.0,20,1.6,30.0,32.5,1.5345273049459158,0.6413447715002044,-0.7776330162254856,3323945.7164490693,142,16
87,40.5,0.0,67.5,66.0,20,1.6,30.0,32.5,1.4796568106530348,0.6441008938875613,-0.7713369194045923,2334382.100006847,131,16
107,40.5,0.1,67.5,65.0,20,1.6,30.0,32.5,1.4722882654384395,0.6428434274929923,-0.7776330162254854,2224859.8186513903,139,16
83,40.5,0.0,67.5,65.0,20,1.6,30.0,32.5,1.4520720979863118,0.6460504156687121,-0.7713369194045919,1948610.9584859146,130,16
183,43.0,0.1,67.5,66.0,20,1.6,30.0,32.5,1.4331775999789071,0.6307906336779975,-0.7642073350185259,1719812.4059100891,142,17
39,37.5,0.1,67.5,66.0,20,1.6,30.0,32.5,1.4131739217153898,0.647446453565386,-0.7875993884076191,1505191.3053980889,142,13
110,40.5,0.1,67.5,66.0,20,1.4,30.0,32.5,1.3951476234320102,0.6519519174230457,-0.7776330162254858,1333558.8631240944,153,16
84,40.5,0.0,67.5,66.0,15,1.4,30.0,32.5,1.3945618844202463,0.6519350949711615,-0.771336919404592,1328302.7218329844,130,16
80,40.5,0.0,67.5,65.0,15,1.4,30.0,32.5,1.3852826766275093,0.6535328119499971,-0.7713369194045919,1247584.8840933342,128,16
119,40.5,0.1,68.0,66.0,20,1.6,30.0,32.5,1.3811846918136341,0.639373265375748,-0.7776330162254853,1213422.6687743529,134,16
159,43.0,0.0,67.5,66.0,20,1.6,30.0,32.5,1.3805012459492323,0.6335865853853797,-0.7575311035781369,1207811.3297274497,131,17
179,43.0,0.1,67.5,65.0,20,1.6,30.0,32.5,1.3734273512921895,0.6323070999407723,-0.7642073350185259,1151144.4060570125,139,17
15,37.5,0.0,67.5,66.0,20,1.6,30.0,32.5,1.3609306313626597,0.650171129224736,-0.7815854793609469,1057084.5435348686,131,13
155,43.0,0.0,67.5,65.0,20,1.6,30.0,32.5,1.354019580183965,0.6355653704007903,-0.7575311035781371,1008213.0054387716,130,17
