split_id,train_years,test_years,selected_train_cagr,selected_test_cagr,selected_test_rank,selected_test_rank_pct,is_oos_below_median,is_oos_loss
373,"2010,2011,2012,2013,2014,2016,2019,2024","2015,2017,2018,2020,2021,2022,2023,2025",2.2369746534003427,1.0795814683134384,1,0.004629629629629629,False,False
374,"2010,2014,2015,2016,2017,2018,2021,2023","2011,2012,2013,2019,2020,2022,2024,2025",1.475439204929673,1.416235691096917,60,0.2777777777777778,False,False
375,"2010,2012,2014,2016,2019,2021,2022,2023","2011,2013,2015,2017,2018,2020,2024,2025",1.4161440734274997,1.775785166063487,4,0.018518518518518517,False,False
376,"2012,2013,2018,2019,2020,2021,2023,2025","2010,2011,2014,2015,2016,2017,2022,2024",2.685173828763723,0.8140717283845289,14,0.06481481481481481,False,False
377,"2010,2012,2014,2015,2017,2019,2022,2023","2011,2013,2016,2018,2020,2021,2024,2025",0.9458413305562619,2.4346108874375894,6,0.027777777777777776,False,False
378,"2011,2013,2014,2016,2020,2021,2023,2024","2010,2012,2015,2017,2018,2019,2022,2025",2.8632240443644394,0.40117526188345853,142,0.6574074074074074,True,False
379,"2010,2017,2018,2019,2020,2021,2022,2023","2011,2012,2013,2014,2015,2016,2024,2025",1.6021586338716425,1.580198537567385,9,0.041666666666666664,False,False
380,"2010,2011,2014,2016,2017,2020,2023,2025","2012,2013,2015,2018,2019,2021,2022,2024",2.3109176926375072,0.9465743182533901,9,0.041666666666666664,False,False
381,"2013,2015,2018,2021,2022,2023,2024,2025","2010,2011,2012,2014,2016,2017,2019,2020",1.0373686715366137,1.7250000685933,72,0.3333333333333333,False,False
382,"2010,2012,2013,2015,2018,2020,2021,2022","2011,2014,2016,2017,2019,2023,2024,2025",1.4510861360480063,1.6028105817903495,50,0.23148148148148148,False,False
383,"2010,2014,2015,2019,2020,2022,2023,2025","2011,2012,2013,2016,2017,2018,2021,2024",1.5844401448444643,1.5976409419621973,4,0.018518518518518517,False,False
384,"2014,2015,2017,2018,2019,2020,2022,2025","2010,2011,2012,2013,2016,2021,2023,2024",0.9704156584556123,2.4204370150735843,1,0.004629629629629629,False,False
385,"2014,2016,2017,2019,2020,2022,2023,2024","2010,2011,2012,2013,2015,2018,2021,2025",1.3810615150873962,1.596443999226718,15,0.06944444444444445,False,False
386,"2010,2012,2013,2014,2017,2018,2019,2020","2011,2015,2016,2021,2022,2023,2024,2025",2.2700086504809436,1.0592966038408047,25,0.11574074074074074,False,False
387,"2012,2013,2016,2017,2020,2022,2023,2024","2010,2011,2014,2015,2018,2019,2021,2025",1.4605671255617385,1.3864665842020094,65,0.30092592592592593,False,False
