model,benchmark_label,annual_fee,financing_multiplier,benchmark_history_start,overlap_start,overlap_end,overlap_days,daily_return_corr,daily_return_mae_bps,overlap_actual_growth_multiple,overlap_synthetic_growth_multiple,overlap_log_return_gap,anchor_date,anchor_price,actual_final_price
hybrid_sox_to_soxx,Hybrid SOX -> SOXX,0.0075,0.7849591927515576,1994-05-04,2010-03-12,2026-04-17,4050,0.9971483613814595,18.039820840831982,157.57311267412229,155.19850505064392,-0.015184582712402417,2010-03-11,0.6008639335632324,94.68000030517578
modern_soxx_proxy,Modern SOXX proxy,0.0075,3.0279544916411396,2001-07-13,2010-03-12,2026-04-17,4050,0.9969779821649426,22.583684193640863,157.57311267412229,156.6834052174682,-0.0056623158670428,2010-03-11,0.6008639335632324,94.68000030517578
legacy_sox,Legacy PHLX SOX,0.0075,0.7095692945076735,1994-05-04,2010-03-12,2026-04-17,4050,0.9964214450173025,22.588397614063023,157.57311267412229,155.1985757617077,-0.015184127095593247,2010-03-11,0.6008639335632324,94.68000030517578
