proxy_label,beta,overlap_start,overlap_end,overlap_days,daily_return_corr,daily_return_mae_bps,target_growth_multiple,proxy_growth_multiple,overlap_log_return_gap
raw VUSTX,1.0,2002-07-30,2026-04-17,5968,0.9644139098903596,13.321579299147835,2.402405049235096,3.609182773515901,0.4070110287588665
scaled VUSTX,1.0709125623234148,2002-07-30,2026-04-17,5968,0.9644139098903588,11.68474199845719,2.402405049235096,3.8944750072851377,0.48308854448762883
