model,annual_fee,financing_multiplier,overlap_start,overlap_end,overlap_days,daily_return_corr,daily_return_mae_bps,overlap_actual_growth_multiple,overlap_synthetic_growth_multiple,overlap_log_return_gap,anchor_date,anchor_price,actual_final_price
theoretical_excess_cash,0.0105,2.0,2009-04-17,2026-04-17,4277,0.9967444855874328,14.492254615341832,0.36865955145871704,0.4391951624108567,0.1750702822002358,2009-04-16,99.52271270751953,36.689998626708984
calibrated,0.0105,2.8684935349938314,2009-04-17,2026-04-17,4277,0.9967425097644678,14.50245999343946,0.36865955145871704,0.35648431047296353,-0.03358336439481835,2009-04-16,99.52271270751953,36.689998626708984
fee_only,0.0105,0.0,2009-04-17,2026-04-17,4277,0.996729770411775,14.586089721589325,0.36865955145871704,0.7100484635237024,0.65545963280275,2009-04-16,99.52271270751953,36.689998626708984
