uvix_entry_rsi,uvix_exit_rsi_gap,uvix_exit_rsi,bb_window,uvix_bb_min_z,calmar_like,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share,low_rsi_entries,low_rsi_exits,low_rsi_day_share,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct
68.0,2.0,66.0,23,1.65,1.984527096635284,1.2860393772918997,0.6418789116926081,-0.6480331659226761,628147.9085383463,137,136,0.09879577291717867,11,11,0.005898255099533055,112,0.7053571428571429,3.7908074239634644,3.3686812272956668
68.0,2.0,66.0,20,1.6,1.9825864106289817,1.284781748395174,0.6492222031127985,-0.6480331659226762,622591.3057705961,143,142,0.10567707053330057,11,11,0.005898255099533055,120,0.6833333333333333,3.2756818836992148,2.606165631665691
68.0,2.0,66.0,22,1.6,1.9819341179835677,1.2843590411270571,0.6452284007894511,-0.6480331659226757,620734.0283230135,142,141,0.1042025067584173,11,11,0.005898255099533055,113,0.6814159292035398,3.6825419314785113,3.177100810077671
68.0,2.0,66.0,22,1.65,1.9795248976130517,1.2827977864229467,0.6431930941400461,-0.6480331659226759,613919.1895863914,133,132,0.09781273040058983,11,11,0.005898255099533055,109,0.6788990825688074,3.70459823650655,2.8787123381178725
68.0,2.0,66.0,23,1.6,1.9618236991453295,1.271326822739284,0.645424348572368,-0.6480331659226763,565959.0022054865,143,142,0.10518554927500615,11,11,0.005898255099533055,114,0.6754385964912281,3.673946390664826,2.974217480594854
68.0,1.5,66.5,23,1.65,1.957069681348381,1.268246061535475,0.6420238216096926,-0.6480331659226765,553690.4043605957,137,136,0.09756696977144262,11,11,0.005898255099533055,112,0.7053571428571429,3.688678127010455,3.0279065740977718
68.0,1.5,66.5,20,1.6,1.9540564365999937,1.266293379001477,0.64875011968542,-0.6480331659226761,546043.8393811177,143,142,0.1042025067584173,11,11,0.005898255099533055,120,0.6833333333333333,3.2117618336230773,2.4930991520680346
68.0,1.5,66.5,22,1.6,1.9534094222825358,1.2658740922649376,0.6447532465828572,-0.6480331659226762,544414.9137940188,142,141,0.10272794298353403,11,11,0.005898255099533055,113,0.6814159292035398,3.6126585521592434,2.8787123381178725
68.0,1.5,66.5,22,1.65,1.9521064167852695,1.2650297014873289,0.6433376762514436,-0.6480331659226759,541148.2864247544,133,132,0.09658392725485378,11,11,0.005898255099533055,109,0.6788990825688074,3.599658041472266,2.508148605051219
68.0,1.5,66.5,23,1.6,1.9345429950403525,1.2536480216895352,0.645568257464685,-0.6480331659226759,498873.0592319508,143,142,0.1039567461292701,11,11,0.005898255099533055,114,0.6754385964912281,3.5716227317816887,2.784581458829294
68.0,2.0,66.0,21,1.6,1.9338880491380217,1.25322359502294,0.6476506985518404,-0.6480331659226761,497358.1924140016,144,143,0.1039567461292701,11,11,0.005898255099533055,119,0.6638655462184874,3.1362494845859192,2.47804969908485
68.0,2.0,66.0,19,1.65,1.9315948924232365,1.2517375534171018,0.6441245323608698,-0.6480331659226766,492088.1365555364,128,127,0.09486360285082329,11,11,0.005898255099533055,110,0.7,3.852993244852105,3.295573230926341
68.0,2.0,66.0,25,1.55,1.925598047503547,1.2491556203628642,0.6498568100336585,-0.6487104730825519,483056.01303180534,150,149,0.11599901695748341,11,11,0.005898255099533055,112,0.6696428571428571,3.4086609925658324,2.3761872713871757
68.0,2.5,65.5,22,1.6,1.9256426432611948,1.2478802985482633,0.647687837433359,-0.6480331659226766,478652.2806500872,139,138,0.10813467682477267,11,11,0.005898255099533055,111,0.6756756756756757,3.43820283851744,3.177100810077671
68.0,2.5,65.5,22,1.65,1.9232718955336112,1.2463439753927528,0.6456601079801991,-0.6480331659226762,473397.31160584505,130,129,0.10174490046694519,11,11,0.005898255099533055,107,0.6728971962616822,3.451537239229701,2.8787123381178725
68.0,1.0,67.0,23,1.65,1.9232231563818967,1.2463123908059623,0.6397177500769798,-0.648033165922676,473289.8469551734,139,138,0.09437208159252888,11,11,0.005898255099533055,114,0.7192982456140351,3.841903846753416,2.8393606198509724
68.0,1.0,67.0,23,1.6,1.9210163895351062,1.2448823326997838,0.6437277255164845,-0.6480331659226761,468448.0654107576,146,145,0.10100761857950356,11,11,0.005898255099533055,117,0.6923076923076923,3.7827567380046756,2.7691540160745154
68.0,1.0,67.0,20,1.6,1.9202390493532893,1.2443785904807618,0.6464682771417181,-0.648033165922676,466753.6282662277,145,144,0.10100761857950356,11,11,0.005898255099533055,122,0.6967213114754098,3.3627582650777676,2.4930991520680346
68.0,1.0,67.0,22,1.65,1.9196460060803726,1.2439942787710843,0.6411777186716515,-0.6480331659226759,465464.7875716921,135,134,0.09412632096338167,11,11,0.005898255099533055,111,0.6936936936936937,3.7846078263296445,2.7546227585550254
68.0,1.0,67.0,22,1.6,1.9195982915876382,1.2439633581972984,0.6424570137295277,-0.6480331659226766,465361.2365329656,144,143,0.0995330548046203,11,11,0.005898255099533055,115,0.6956521739130435,3.765873953901852,2.8000089015840723
68.0,2.0,66.0,20,1.55,1.917111540022077,1.2436503340797405,0.6505322224414024,-0.6487104730825515,464314.1546705178,147,146,0.11182108626198083,11,11,0.005898255099533055,115,0.6608695652173913,3.2008282647681083,2.47804969908485
68.0,3.0,65.0,22,1.65,1.9165898836888295,1.2420138101022453,0.6456931441118522,-0.6480331659226759,458875.78373182577,130,129,0.10199066109609241,11,11,0.005898255099533055,107,0.6728971962616822,3.419542363613038,2.8787123381178725
68.0,2.5,65.5,23,1.65,1.9134674375285672,1.239990361431587,0.6445335151091364,-0.6480331659226757,452234.22163599153,135,134,0.10321946424182846,11,11,0.005898255099533055,110,0.6909090909090909,3.4936876227008162,3.250208806446997
68.0,2.0,66.0,25,1.7,1.9129307009536158,1.2396425383296563,0.6377749201789048,-0.6480331659226765,451101.6851711948,124,123,0.09314327844679282,11,11,0.005898255099533055,98,0.7040816326530612,4.521718611008024,3.5726626047255294
68.0,2.0,66.0,21,1.65,1.9079446256199646,1.2364113961456602,0.6464262831555053,-0.6480331659226759,440707.2679842255,135,134,0.09879577291717867,11,11,0.005898255099533055,113,0.6548672566371682,3.27553371406201,2.508148605051219
68.0,2.5,65.5,23,1.6,1.9077822376590154,1.2363061633612191,0.6478760264040738,-0.6480331659226761,440372.5477490465,141,140,0.10936347997050873,11,11,0.005898255099533055,112,0.6696428571428571,3.445399780936532,2.974217480594854
68.0,3.0,65.0,23,1.65,1.9068043252486806,1.2356724436859543,0.6445665679238383,-0.6480331659226759,438361.87446782377,135,134,0.10346522487097567,11,11,0.005898255099533055,110,0.6909090909090909,3.4625653346009706,3.250208806446997
68.0,1.5,66.5,21,1.6,1.905752140448861,1.2349905930389915,0.6471766948616922,-0.6480331659226759,436208.11022610235,144,143,0.10248218235438683,11,11,0.005898255099533055,119,0.6638655462184874,3.0717922912318305,2.4632379378166647
68.0,1.5,66.5,19,1.65,1.9039371503670757,1.2338144192701739,0.6442612916848564,-0.6480331659226759,432516.23833374487,128,127,0.09388056033423446,11,11,0.005898255099533055,110,0.7,3.754233957405849,2.6540787533176458
68.0,2.5,65.5,20,1.6,1.9030590074778893,1.2332453535535626,0.6516393783489787,-0.6480331659226762,430740.5481301311,138,137,0.11010076185795035,11,11,0.005898255099533055,116,0.6724137931034483,2.9912053344580873,2.606165631665691
68.0,3.0,65.0,23,1.6,1.8959729281165179,1.2286533391110335,0.6478006136948179,-0.6480331659226761,416659.99848410033,141,140,0.10985500122880315,11,11,0.005898255099533055,112,0.6607142857142857,3.375780285409322,2.823933177096194
68.0,1.0,67.0,19,1.65,1.8943302123031844,1.2275888047818078,0.6417992536864205,-0.6480331659226761,413458.03965017066,129,128,0.09191447530105677,11,11,0.005898255099533055,111,0.7117117117117117,3.959878801560985,2.8000089015840723
68.0,2.0,66.0,25,1.35,1.8909443365985716,1.2266753951676317,0.6606615512995633,-0.6487104730825519,410729.05568644084,163,162,0.1297616121897272,11,11,0.005898255099533055,120,0.675,3.11235007702635,2.4706438184507573
68.5,2.5,66.0,20,1.6,1.892706068796976,1.2265363059235663,0.6436499533708578,-0.6480331659226759,410314.9856817695,125,124,0.09658392725485378,11,11,0.005898255099533055,105,0.6666666666666666,3.43323580349231,2.704182658280163
68.0,3.0,65.0,22,1.6,1.8916478965579335,1.2258505752174083,0.6475027613829105,-0.6480331659226759,408279.2768713642,139,138,0.10862619808306709,11,11,0.005898255099533055,111,0.6756756756756757,3.449334888764942,3.177100810077671
69.0,1.0,68.0,24,1.55,1.8662129959183726,1.2257354708889747,0.6380256801511223,-0.6568036304375773,407938.5000433267,122,121,0.08134676824772671,11,11,0.005898255099533055,97,0.6597938144329897,4.043514976012165,2.9803039583226276
68.0,2.0,66.0,24,1.65,1.891455988396694,1.2257262123641142,0.6402096129063257,-0.6480331659226761,407911.1009361012,131,130,0.09904153354632587,11,11,0.005898255099533055,105,0.6857142857142857,4.064791922033526,3.177100810077671
68.0,1.5,66.5,20,1.55,1.889124423636794,1.2254947985692284,0.6500601930707469,-0.6487104730825523,407226.82977636455,147,146,0.11034652248709757,11,11,0.005898255099533055,115,0.6608695652173913,3.134129082079964,2.4632379378166647
68.5,1.0,67.5,20,1.6,1.890488340991272,1.2250991447524822,0.6413618115795996,-0.6480331659226763,406059.40834312607,128,127,0.08970262963873188,11,11,0.005898255099533055,108,0.6851851851851852,3.51689553664606,2.721607094548928
68.0,1.5,66.5,25,1.7,1.8860305539657845,1.2222103509133455,0.6379196440999292,-0.6480331659226759,397630.35278010217,124,123,0.09191447530105677,11,11,0.005898255099533055,98,0.7040816326530612,4.405753724606945,3.295573230926341
68.0,2.0,66.0,24,1.55,1.880819292293387,1.2201071728864337,0.6502415626114184,-0.6487104730825519,391597.15760269936,148,147,0.11427869255345294,11,11,0.005898255099533055,112,0.6785714285714286,3.5613969159389067,2.594418795196851
68.0,1.5,66.5,21,1.65,1.881083287593024,1.2190043582231436,0.6465692644672582,-0.6480331659226763,388468.0376993448,135,134,0.09756696977144262,11,11,0.005898255099533055,113,0.6548672566371682,3.1743082161970806,2.4632379378166647
68.0,1.5,66.5,25,1.55,1.8786347675067827,1.2186900487786545,0.6489784027849217,-0.6487104730825517,387580.52230093314,150,149,0.11427869255345294,11,11,0.005898255099533055,112,0.6696428571428571,3.2917390744252213,2.101646934760193
68.0,1.0,67.0,21,1.6,1.8724018500240418,1.213378498750556,0.6448882573821476,-0.6480331659226763,372866.98144593893,146,145,0.09928729417547309,11,11,0.005898255099533055,121,0.6776859504132231,3.2263501732339357,2.344669770414476
68.0,2.0,66.0,26,1.55,1.867791938721164,1.2116561921875837,0.651018266356621,-0.6487104730825523,368209.6371845698,147,146,0.11698205947407225,11,11,0.005898255099533055,111,0.6936936936936937,3.715234629980566,2.9201489742100906
68.0,2.0,66.0,25,1.45,1.8676892405332701,1.2115895707975302,0.6588138667402015,-0.6487104730825521,368030.58513340453,159,158,0.1250921602359302,11,11,0.005898255099533055,117,0.6666666666666666,3.0834947593052893,2.4632379378166647
68.0,2.0,66.0,29,1.45,1.8675309460709264,1.2114868835219772,0.6606659286790115,-0.6487104730825524,367754.7621517785,162,161,0.1273040058982551,11,11,0.005898255099533055,119,0.6722689075630253,3.0012933329384692,2.4632379378166647
68.0,3.0,65.0,20,1.6,1.8692855853925023,1.2113590559155263,0.6514551856588633,-0.6480331659226761,367411.6819643983,138,137,0.11059228311624478,11,11,0.005898255099533055,116,0.6724137931034483,3.001857554953542,2.606165631665691
69.0,3.0,66.0,24,1.55,1.84405333561731,1.211180925553974,0.6425412457917271,-0.6568036304375776,366934.09345370147,116,115,0.0926517571884984,11,11,0.005898255099533055,92,0.6413043478260869,4.075075812279739,3.2087335467704703
68.0,2.0,66.0,27,1.4,1.8661018030930911,1.210559783504722,0.6602234475791925,-0.6487104730825517,365273.2902657922,162,161,0.12877856967313836,11,11,0.005898255099533055,119,0.6722689075630253,3.042445696050682,2.4632379378166647
