series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,signal_window,below_entry_drawdown_pct
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.0
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.1
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.2
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.3
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.4
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.5
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.6
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.7
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.8
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,55.9
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.0
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.1
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.2
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.3
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.4
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.5
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.6
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.7
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.8
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,56.9
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.0
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.1
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.2
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.3
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.4
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.5
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.6
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.7
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.8
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,57.9
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.0
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.1
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.2
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.3
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.4
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.5
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.6
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.7
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.8
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,58.9
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.0
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.1
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.2
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.3
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.4
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.5
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.6
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.7
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.8
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,59.9
strategy,45.72793833662148,0.4606323119374289,-0.1317582735968673,2.802084409550234e+40,99.27210304524412,3199,0.0,0.4570913855224369,2,60.0
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.0
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.1
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.2
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.3
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.4
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.5
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.6
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.7
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.8
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,55.9
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.0
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.1
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.2
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.3
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.4
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.5
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.6
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.7
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.8
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,56.9
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.0
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.1
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.2
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.3
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.4
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.5
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.6
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.7
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.8
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,57.9
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.0
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.1
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.2
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.3
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.4
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.5
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.6
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.7
strategy,30.038026830716618,0.4699665777662273,-0.1802051427982396,1.3708518559961575e+36,63.91524046984093,2241,0.0,0.434070434070434,3,58.8
