Date,gspc_open_implied_rsi14,GSPC_BB20_Z,GSPC_OPEN,GSPC_SMA160_PREV_CLOSE,TQQQ_OPEN,TQQQ_PEAK_OPEN,TQQQ_RUNNING_DRAWDOWN_PCT,DRAWDOWN_ALPHA_PCT,signal_below_sma,drawdown_trigger,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2005-12-20,55.42438504556664,-0.3767137352168651,1259.9200439453125,1216.6254974365233,0.505230764794786,189.56233862213458,99.7334751362179,93.5,False,False,TQQQ,TQQQ,,,0.0011039907511394276,1.0011039907511394
2005-12-21,55.1701674048655,-0.4895762445642368,1259.6199951171875,1217.150309753418,0.5085195979452357,189.56233862213458,99.73174017495168,93.5,False,False,TQQQ,TQQQ,,,0.009804835615196517,1.0109196508141716
2005-12-22,57.39366668175636,0.07502046382216802,1262.7900390625,1217.713809967041,0.5115177001199969,189.56233862213458,99.73015858327237,93.5,False,False,TQQQ,TQQQ,,,0.02270105619785423,1.0338685946188193
2005-12-23,60.904718572800164,1.007542288689895,1268.1199951171875,1218.3186225891113,0.5250318592468086,189.56233862213458,99.72302944611093,93.5,False,False,TQQQ,TQQQ,,,-0.0009433671100399499,1.0328932769905528
2005-12-27,61.25312487348271,1.096476013411663,1268.6600341796875,1218.8799980163574,0.524201032647113,189.56233862213458,99.72346773285382,93.5,False,False,TQQQ,TQQQ,,,-0.02611394556152069,1.0059203581843608
2005-12-28,50.39795704819007,-1.0531266181568848,1256.5400390625,1219.4444984436036,0.5096785144612092,189.56233862213458,99.73112881062457,93.5,False,False,TQQQ,TQQQ,,,-0.002459411273815215,1.003446386314882
2005-12-29,51.63924491346078,-0.7741610668042498,1258.1700439453125,1219.9886238098145,0.5072361097033288,189.56233862213458,99.73241725471934,93.5,False,False,TQQQ,TQQQ,,,-0.021304374637319712,0.982068588572365
2005-12-30,48.62447013545032,-1.6293655633365631,1254.4200439453125,1220.5827491760253,0.4886214465540102,189.56233862213458,99.74223706559772,93.5,False,False,TQQQ,TQQQ,,,-0.01859339729955367,0.9638085971296271
2006-01-03,44.09281310563122,-2.2809380196048674,1248.2900390625,1221.1717491149902,0.4940399766430372,189.56233862213458,99.73937862328876,93.5,False,False,TQQQ,TQQQ,,,0.06314655357562926,1.0246697883449252
2006-01-04,58.14730890204584,1.087398424803895,1268.800048828125,1221.816187286377,0.5204049976596246,189.56233862213458,99.72547025878544,93.5,False,False,TQQQ,TQQQ,,,0.028209455913856818,1.0535751655655023
2006-01-05,60.572486566866786,1.627370015285609,1273.4599609375,1222.4390617370605,0.5330294556385342,189.56233862213458,99.71881046651305,93.5,False,False,TQQQ,TQQQ,,,0.016550543838658616,1.0710124075305163
2006-01-06,60.583053866159446,1.466604847226977,1273.47998046875,1222.9885612487792,0.5520491969995217,189.56233862213458,99.70877696434208,93.5,False,False,TQQQ,TQQQ,,,0.0520635940797336,1.1267731627705433
2006-01-09,66.38440655172644,2.486330903046125,1285.449951171875,1223.5783737182617,0.567643344090139,189.56233862213458,99.70055056916044,93.5,False,False,TQQQ,TQQQ,,,0.011762395995437602,1.140026714908082
2006-01-10,68.35393488862886,2.4300130127310924,1290.1500244140625,1224.2088111877442,0.565492604385171,189.56233862213458,99.70168515091366,93.5,False,False,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,,-0.07434510136224903,1.0552713132325688
2006-01-11,67.94817261423357,2.008073226315542,1289.719970703125,1224.8077484130858,0.5815374762529016,189.56233862213458,99.69322098446352,93.5,False,False,TQQQ,TQQQ,exit_uvix_gspc_profit,,0.01638121773064638,1.0725579423795366
2006-01-12,69.87772015929455,2.02737181646434,1294.1800537109375,1225.4334365844727,0.5872878287198134,189.56233862213458,99.69018749558134,93.5,False,False,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,,0.014640736708890323,1.0882609808189445
2006-01-13,62.500637554543445,1.2321653793565743,1286.06005859375,1226.0337493896484,0.5805959860251311,189.56233862213458,99.69371764969492,93.5,False,False,TQQQ,TQQQ,exit_uvix_rsi_and_gspc_profit,,0.01920026054666879,1.1091558751934416
2006-01-17,63.297137853386545,1.2430497741120103,1287.6099853515625,1226.5961868286133,0.5663675127848334,189.56233862213458,99.70122360965709,93.5,False,False,TQQQ,TQQQ,,,-0.01803558256099147,1.0891516028333816
2006-01-18,59.20779112670943,0.8281781357619926,1282.9300537109375,1227.1221244812011,0.5413611329135771,189.56233862213458,99.71441524891044,93.5,False,False,TQQQ,TQQQ,,,-0.03434731478315467,1.051742169884286
2006-01-19,55.111179909935814,0.41658191125596233,1277.9300537109375,1227.6623123168945,0.557244218326524,189.56233862213458,99.706036429822,93.5,False,False,TQQQ,TQQQ,,,0.023053227384868924,1.0759882212768839
2006-01-20,59.41178198533488,0.853501580185886,1285.0400390625,1228.1799377441407,0.5552972716078055,189.56233862213458,99.7070635044682,93.5,False,False,TQQQ,TQQQ,,,-0.09303849789721452,0.9758798934141869
2006-01-23,44.27957421785999,-0.9119611770460287,1261.489990234375,1228.5374374389648,0.5138940509579328,189.56233862213458,99.72890498466454,93.5,False,False,TQQQ,TQQQ,,,-0.00033438267590135684,0.9755535760840688
2006-01-24,45.75173805925021,-0.7435014578446437,1263.8199462890625,1228.961186981201,0.5150637558116915,189.56233862213458,99.72828792915539,93.5,False,False,TQQQ,TQQQ,,,0.01756122449610298,0.9926854914416572
2006-01-25,47.69357550559707,-0.5092110913874442,1266.8599853515625,1229.3946243286132,0.5255881340500527,189.56233862213458,99.7227359939372,93.5,False,False,TQQQ,TQQQ,,,-0.016596247187733226,0.976210637646015
2006-01-26,46.410674004625186,-0.6527301973691865,1264.6800537109375,1229.8159996032714,0.5189926553374081,189.56233862213458,99.7262153130681,93.5,False,False,TQQQ,TQQQ,,,0.0239385288935543,0.9995796842014992
2006-01-27,52.2201442632629,-0.03785041996617991,1273.8299560546875,1230.310749053955,0.5297262160775573,189.56233862213458,99.72055302760666,93.5,False,False,TQQQ,TQQQ,,,0.03639909916926931,1.0359634842543366
2006-01-30,57.57387762236565,0.6519493499706805,1283.719970703125,1230.8281860351562,0.542353882214476,189.56233862213458,99.71389154293165,93.5,False,False,TQQQ,TQQQ,,,0.003907619921081684,1.040011635802922
2006-01-31,58.32677985614367,0.6938980716073987,1285.199951171875,1231.372435760498,0.5433055136039908,189.56233862213458,99.7133895279236,93.5,False,False,TQQQ,TQQQ,,,-0.004921777003351502,1.0348929304506094
2006-02-01,54.71253047501754,0.1419378158370529,1280.0799560546875,1231.867810821533,0.527731062553324,189.56233862213458,99.72160553283462,93.5,False,False,TQQQ,TQQQ,,,0.003786186666584257,1.0388112282652238
2006-02-02,56.07582352382115,0.32789833763114795,1282.4599609375,1232.3587478637696,0.5384230840992581,189.56233862213458,99.71596516058365,93.5,False,False,TQQQ,TQQQ,,,-0.04791765499729961,0.9890338302218897
2006-02-03,48.413043902897,-0.8957789133388838,1270.8399658203125,1232.7603729248046,0.5045552516939308,189.56233862213458,99.73383149028369,93.5,False,False,TQQQ,TQQQ,,,-0.03799365315759162,0.9514568219153149
2006-02-06,44.569187184763685,-1.489339560192385,1264.030029296875,1233.0920608520507,0.49583045128663383,189.56233862213458,99.73843409250452,93.5,False,False,TQQQ,TQQQ,,,-0.0127930532621362,0.9392847841159294
2006-02-07,45.249742604575246,-1.247555269879058,1265.02001953125,1233.3924362182618,0.488917927536985,189.56233862213458,99.74208066270401,93.5,False,False,TQQQ,TQQQ,,,-0.010511908146856874,0.9294111087415625
2006-02-08,39.805817818768595,-1.9358416551249533,1254.780029296875,1233.634186553955,0.49662352399464915,189.56233862213458,99.73801572210786,93.5,False,False,TQQQ,TQQQ,,,0.03363936052512617,0.9606759041045771
2006-02-09,47.083625491631345,-0.8546832505922793,1265.6500244140625,1233.9594367980958,0.5061155675769345,189.56233862213458,99.73300837536839,93.5,False,False,TQQQ,TQQQ,,,-0.02963122662370754,0.9322098986781193
2006-02-10,46.07923050348265,-0.9475968250729708,1263.8199462890625,1234.2713119506836,0.48750322990361283,189.56233862213458,99.7428269594862,93.5,False,False,TQQQ,TQQQ,,,0.017341798008317477,0.9483760944423494
2006-02-13,48.15196776439296,-0.555013564185066,1266.989990234375,1234.6854370117187,0.4860969250639936,189.56233862213458,99.74356882880994,93.5,False,False,TQQQ,TQQQ,,,-0.03251008364905372,0.9175443082812658
2006-02-14,45.68786399331944,-0.8984597063060735,1262.8599853515625,1235.1309997558594,0.48145215533050245,189.56233862213458,99.74601908858584,93.5,False,False,TQQQ,TQQQ,,,0.02918588508240827,0.9443236510207805
2006-02-15,53.54229834151223,0.5438265485563069,1275.530029296875,1235.6612503051758,0.48976331350206737,189.56233862213458,99.74163469544531,93.5,False,False,TQQQ,TQQQ,,,0.02001989007008298,0.963228906704796
2006-02-16,55.96197377594802,1.0273242233001045,1280.0,1236.1514381408692,0.506966286946423,189.56233862213458,99.7325595945738,93.5,False,False,TQQQ,TQQQ,,,0.027522640648189878,0.9897395097659809
2006-02-17,60.59947917714665,1.9687178880145433,1289.3800048828125,1236.7110008239747,0.5115894720280499,189.56233862213458,99.73012072136976,93.5,False,False,TQQQ,TQQQ,,,-0.024003701370027053,0.9659820981394414
2006-02-21,59.071103794903735,1.540635033477647,1287.239990234375,1237.3104385375977,0.5045857425012659,189.56233862213458,99.73381540543922,93.5,False,False,TQQQ,TQQQ,,,-0.0351723741706601,0.9320062143415216
2006-02-22,56.07487181465785,0.9999066625850976,1283.030029296875,1237.8641265869142,0.48819671882516097,189.56233862213458,99.7424611226187,93.5,False,False,TQQQ,TQQQ,,,0.039374618741242484,0.9687036036956878
2006-02-23,60.958185810716905,1.725882772996929,1292.6700439453125,1238.4121269226075,0.5033620097783357,189.56233862213458,99.73446096232136,93.5,False,False,TQQQ,TQQQ,,,-0.00955196490109056,0.9594505808736266
