start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,0.0,1.0092372147976603,0.6403142713947022,-0.665327402800347,78161.35761147125,11,11,0.006635536986974687,0.002703366920619317
2010-02-12,30.0,0.5,1.0192023116267221,0.6405370131074183,-0.6653274028003466,84661.41179678502,11,11,0.006881297616121897,0.002703366920619317
2010-02-12,30.0,1.0,1.0268524017049248,0.6406425691592547,-0.6621446903430855,89991.86711328187,11,11,0.0071270582452691075,0.002703366920619317
2010-02-12,30.0,1.5,1.0268524017049248,0.6406425691592547,-0.6621446903430855,89991.86711328187,11,11,0.0071270582452691075,0.002703366920619317
2010-02-12,30.0,2.0,1.017218078000301,0.6408027744066598,-0.6621446903430858,83328.02408296388,10,10,0.007618579503563529,0.002457606291472106
2010-02-12,30.0,2.5,1.017218078000301,0.6408027744066598,-0.6621446903430858,83328.02408296388,10,10,0.007618579503563529,0.002457606291472106
2010-02-12,30.0,3.0,1.0287810423237547,0.6412423355492476,-0.6621446903430857,91384.54948162843,10,10,0.00811010076185795,0.002457606291472106
2010-02-12,30.0,3.5,1.0311227529900848,0.6413263637160542,-0.6621446903430857,93102.68914209648,10,10,0.008355861391005161,0.002457606291472106
2010-02-12,30.0,4.0,1.0311227529900848,0.6413263637160542,-0.6621446903430857,93102.68914209648,10,10,0.008355861391005161,0.002457606291472106
2010-02-12,30.0,4.5,1.0346444368074779,0.6418635105525294,-0.6621446903430857,95743.73265659042,10,10,0.010321946424182845,0.002457606291472106
2010-02-12,30.0,5.0,1.034363570539921,0.6420291685157279,-0.6621446903430857,95530.54866613272,10,10,0.010567707053330056,0.002457606291472106
2010-02-12,30.0,5.5,1.034363570539921,0.6420291685157279,-0.6621446903430857,95530.54866613272,10,10,0.010567707053330056,0.002457606291472106
2010-02-12,30.0,6.0,1.0263559423709814,0.6422433402857782,-0.6621446903430855,89636.60694446941,9,9,0.01204227082821332,0.0022118456623248955
