rank,n_tqqq_pct,cagr,max_drawdown,tqqq_triggered_periods,uvix_entries,low_rsi_entries
1,51.0,1.1067277787824632,-0.8131799847047726,5,160,30
2,29.0,1.095297853168013,-0.9096628720620302,11,160,24
3,28.0,1.0941727822790388,-0.9096628720620302,11,160,24
4,28.5,1.0941727822790388,-0.9096628720620302,11,160,24
5,17.0,1.0936085291603819,-0.9096628720620303,17,160,18
