Date,signal_source,signal_price,signal_sma,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
1992-08-18,TECH_UNDERLIER,1.4536589812236966,1.5604545214635404,below,flat,0.0,1.0,-0.009472442855853514,0.9905275571441465
1992-08-19,TECH_UNDERLIER,1.4492596988767388,1.559520446967963,below,below,-0.013749166172201352,0.9862508338277987,-0.009506449450755804,0.981111156992575
1992-08-20,TECH_UNDERLIER,1.4554217232571904,1.5585359467528823,below,below,-0.03023664810724464,0.9564299144198708,0.012328131948866583,0.9932064247924847
1992-08-21,TECH_UNDERLIER,1.442227404141092,1.5574295234243034,below,below,0.005413496271488573,0.961607544195523,-0.027623047983349344,0.965771036063071
1992-08-24,TECH_UNDERLIER,1.4179955757839942,1.5560410336390675,below,below,-0.027712961203499774,0.9349585516302398,-0.050842382944844916,0.9166689352105127
1992-08-25,TECH_UNDERLIER,1.4259514314168211,1.5545793360302638,below,below,-0.04187791893775558,0.8958044331949072,0.01639328374585994,0.9316961491664341
1992-08-26,TECH_UNDERLIER,1.4396391153579118,1.553112420547901,below,below,0.022449451296732193,0.915914751189313,0.02835957573135006,0.9581186566673267
1992-08-27,TECH_UNDERLIER,1.4497766068501698,1.5517505023665064,below,below,0.03069532867320967,0.94402905551371,0.02068769409355299,0.9779399223417862
1992-08-28,TECH_UNDERLIER,1.4546184399470032,1.5503722739029766,below,below,0.03872160058852927,0.9805833715452784,0.009581755213578807,0.9873103032912515
1992-08-31,TECH_UNDERLIER,1.4528584290654114,1.5488434565172096,below,below,0.005362487732389596,0.9858417378457752,-0.004067214400666106,0.9832947006077792
1992-09-01,TECH_UNDERLIER,1.4629781193143632,1.5473607894462755,below,below,0.02176820367143627,1.0073017415830046,0.020459970180020496,1.0034128808603866
1992-09-02,TECH_UNDERLIER,1.4779184881444698,1.5460936049448546,below,below,0.029771454984801524,1.0372905800386552,0.03020201496741615,1.0337179717066303
1992-09-03,TECH_UNDERLIER,1.481866086141478,1.544846194758576,below,below,0.07256072086429287,1.1125571322720005,0.007578278088067285,1.041551773960856
1992-09-04,TECH_UNDERLIER,1.4792356729392346,1.543743867680517,below,below,0.0104078851165757,1.1241364990903142,-0.00573139799915932,1.0355822262075558
1992-09-08,TECH_UNDERLIER,1.4792356729392346,1.5428894477138717,below,below,-0.010602365212524575,1.11221799337823,-0.000403699302017395,1.0351641623856542
1992-09-09,TECH_UNDERLIER,1.491952183283347,1.5417816076728348,below,below,-0.005374120760136121,1.106240799570219,0.025385082570958756,1.0614418901223115
