series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,n_pct
strategy,0.21260225697695279,0.6814926763585228,-0.957348212580653,63.57218824810055,0.3119655784314049,214,0.2641370418124885,0.0,0.0
strategy,0.561502887512612,0.6680269966642757,-0.9358557963198564,14751.979159882922,0.8405392152060008,270,0.23466568428808252,0.029471357524405967,0.5
strategy,0.5644921994242371,0.667913916494985,-0.9358557963198563,15372.38933217989,0.8451571160345416,267,0.2335605083809173,0.03057653343157119,1.0
strategy,0.5589930702011019,0.6678839114905181,-0.9358557963198562,14249.594925107962,0.8369614248583945,264,0.23190274452016946,0.032234297292319025,1.5
strategy,0.574239992306093,0.6678402282650465,-0.9358557963198562,17572.983820345165,0.8598463644484048,262,0.23079756861300424,0.03333947319948425,2.0
strategy,0.5760830545857625,0.667277383822759,-0.9358557963198562,18021.50613501513,0.8633337028230236,259,0.22729784490698102,0.03683919690550746,2.5
strategy,0.5799288132881337,0.6670384722581204,-0.9358557963198563,18992.80498226601,0.8694083436070861,256,0.22637686498434334,0.03776017682814515,3.0
strategy,0.5905698534933346,0.6667145807049152,-0.9358557963198563,21947.35472793497,0.885791117495776,256,0.22490329710812304,0.03923374470436544,3.5
strategy,0.5913676414159663,0.6664369328778417,-0.9358557963198562,22185.693569340394,0.8873572460372097,256,0.2241665131700129,0.03997052864247559,4.0
strategy,0.615833563987551,0.6653810975131467,-0.9321267104765961,30817.48160196281,0.9255351050536618,254,0.21993000552587955,0.04420703628660895,4.5
strategy,0.6190376376451652,0.6653465336431525,-0.9321267104765962,32160.897652797274,0.9303988318020991,253,0.21919322158776938,0.0449438202247191,5.0
strategy,0.6323230224965568,0.6646865880216153,-0.9259906875058608,38350.9358390684,0.9513100367778053,250,0.21661447780438386,0.047522564008104624,5.5
strategy,0.6414070291871345,0.6640625264704175,-0.9259906875058608,43220.57503448019,0.9658834878039271,248,0.21403573402099835,0.05010130779149015,6.0
strategy,0.6574746548307986,0.6637777040774195,-0.9259906875058608,53310.956810473326,0.990504276947082,247,0.2127463621293056,0.05139067968318291,6.5
strategy,0.6591612832410076,0.6634744202950816,-0.9259906875058608,54491.74835594928,0.9934991660233778,246,0.21182538220666788,0.05231165960582059,7.0
strategy,0.6681740091758106,0.663102339241487,-0.9259906875058608,61236.18626804344,1.007648396988201,245,0.21035181433044758,0.05378522748204089,7.5
strategy,0.6847774592940161,0.6612517549874465,-0.9269139468616184,75797.42768544001,1.0355775302358423,244,0.2059311107017867,0.058205931110701783,8.0
strategy,0.7132441102826528,0.6604509807613745,-0.9269139468616184,108740.75966522706,1.0799349702841199,243,0.20464173881009393,0.05949530300239455,8.5
