Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_monitor_price,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2002-03-14,GSPC,1153.0400390625,1128.2884008789063,False,0.8889883185407867,,False,above,flat,0.0,1.0,-0.035307238094102474,0.9646927619058975
2002-03-15,GSPC,1166.1600341796875,1128.5182006835937,False,0.9217945840503612,,False,above,above,-0.0184278741667196,0.9815721258332804,0.02155299597310794,0.9854847811185418
2002-03-18,GSPC,1165.550048828125,1128.5238012695313,False,0.9410818574418964,,False,above,above,0.0369029207981313,1.0177950042505592,0.009207973490171502,0.9945590988580488
2002-03-19,GSPC,1170.2900390625,1128.4794018554687,False,0.9387009277020982,,False,above,above,0.0209236132705259,1.0390909533081714,0.011879618577280196,1.006374081605046
2002-03-20,GSPC,1151.8499755859375,1128.2186010742187,False,0.8381977363065959,,False,above,above,-0.0025299921797134,1.0364620613222908,-0.09166339815334697,0.9141264134716737
2002-03-21,GSPC,1153.5899658203125,1128.076201171875,False,0.9038811855198936,,False,above,above,-0.1070662534035521,0.9254919516215904,0.0593493502728734,0.9683792221784896
2002-03-22,GSPC,1148.699951171875,1127.9473999023437,False,0.8694263255414617,,False,above,above,0.0783627136750845,0.9980160124351082,-0.04376180315217944,0.9260012012808538
2002-03-25,GSPC,1131.8699951171875,1127.453798828125,False,0.7939354378536331,,False,above,above,-0.0381187931891892,0.9599728464575951,-0.06785088965302505,0.863171195954178
2002-03-26,GSPC,1138.489990234375,1127.3115991210936,False,0.8137950073500021,,False,above,above,-0.0868283895599945,0.8766199501783583,0.02231688652565835,0.8824344895865043
2002-03-27,GSPC,1144.5799560546875,1127.4349975585938,False,0.8085594257227461,,False,above,above,0.0250140862209884,0.8985477971951583,-0.0016597916441189783,0.8809698321942062
2002-03-28,GSPC,1147.3900146484375,1127.4589990234374,False,0.8360047766588407,,False,above,above,-0.0064335386429869,0.8927669552193325,0.03617373159302874,0.9128377984455551
2002-04-01,GSPC,1146.5400390625,1127.8384008789062,False,0.880306940398539,,False,above,above,0.0339435174001738,0.9230706058981202,0.032964901183935816,0.9429294062682745
2002-04-02,GSPC,1136.760009765625,1127.7960009765625,False,0.758563342604361,,False,above,above,0.0529927160425512,0.971986624403705,-0.08788837027835592,0.8600568774638181
2002-04-03,GSPC,1125.4000244140625,1127.75240234375,True,0.7323507010024839,0.7323507010024839,False,wait_mix,above,-0.138296760149433,0.8375640233400887,-0.046801341191754484,0.819805062097319
2002-04-04,GSPC,1126.3399658203125,1127.8930004882814,True,0.7366289556068463,0.7323507010024839,False,wait_mix,wait_mix,0.0030214376341426577,0.8400946708012124,0.012636528362626973,0.830164552016337
2002-04-05,GSPC,1122.72998046875,1127.7839990234374,True,0.704524228698924,0.7323507010024839,False,wait_mix,wait_mix,-0.0011931490961256347,0.8390923126040859,-0.04732895078512201,0.7908737347904029
2002-04-08,GSPC,1125.2900390625,1127.6467993164063,True,0.7293886284861595,0.7323507010024839,False,wait_mix,wait_mix,0.006701765141523008,0.844715712215216,-0.0147461289602523,0.7792114087059072
2002-04-09,GSPC,1117.800048828125,1127.3371997070312,True,0.654482653275223,0.7323507010024839,False,wait_mix,wait_mix,-0.005089859873574512,0.8404162276070339,-0.07597739865377841,0.7200089528710862
2002-04-10,GSPC,1130.469970703125,1127.2853979492188,False,0.6806475209831029,,False,above,wait_mix,0.0012811808449514112,0.8414929527796303,0.008715062971673985,0.7262838762355267
2002-04-11,GSPC,1103.68994140625,1127.346396484375,True,0.62270773458981,0.62270773458981,False,wait_mix,above,0.0399779391813415,0.8751341068673819,-0.10005037796000495,0.6536188999119048
2002-04-12,GSPC,1111.010009765625,1127.2951977539062,True,0.6610083366262316,0.62270773458981,False,wait_mix,wait_mix,0.004933319756685783,0.8794514232465405,0.05060029992745226,0.6866922122856985
