Date,GSPC_OPEN,GSPC_CLOSE,GSPC_SMA200_PREV_CLOSE
2009-01-02,902.989990234375,931.7999877929688,
2009-01-05,929.1699829101562,927.4500122070312,
2009-01-06,931.1699829101562,934.7000122070312,
2009-01-07,927.4500122070312,906.6500244140625,
2009-01-08,905.72998046875,909.72998046875,
2009-01-09,909.9099731445312,890.3499755859375,
2009-01-12,890.4000244140625,870.260009765625,
2009-01-13,869.7899780273438,871.7899780273438,
2009-01-14,867.280029296875,842.6199951171875,
2009-01-15,841.989990234375,843.739990234375,
2009-01-16,844.4500122070312,850.1199951171875,
2009-01-20,849.6400146484375,805.219970703125,
2009-01-21,806.77001953125,840.239990234375,
2009-01-22,839.739990234375,827.5,
2009-01-23,822.1599731445312,831.9500122070312,
2009-01-26,832.5,836.5700073242188,
2009-01-27,837.2999877929688,845.7100219726562,
2009-01-28,845.72998046875,874.0900268554688,
2009-01-29,868.8900146484375,845.1400146484375,
2009-01-30,845.6900024414062,825.8800048828125,
2009-02-02,823.0900268554688,825.4400024414062,
2009-02-03,825.6900024414062,838.510009765625,
2009-02-04,837.77001953125,832.22998046875,
2009-02-05,831.75,845.8499755859375,
2009-02-06,846.0900268554688,868.5999755859375,
2009-02-09,868.239990234375,869.8900146484375,
2009-02-10,866.8699951171875,827.1599731445312,
2009-02-11,827.4099731445312,833.739990234375,
2009-02-12,829.9099731445312,835.1900024414062,
2009-02-13,833.9500122070312,826.8400268554688,
2009-02-17,818.6099853515625,789.1699829101562,
2009-02-18,791.0599975585938,788.4199829101562,
2009-02-19,787.9099731445312,778.9400024414062,
2009-02-20,775.8699951171875,770.0499877929688,
2009-02-23,773.25,743.3300170898438,
2009-02-24,744.6900024414062,773.1400146484375,
2009-02-25,770.6400146484375,764.9000244140625,
2009-02-26,765.760009765625,752.8300170898438,
2009-02-27,749.9299926757812,735.0900268554688,
2009-03-02,729.5700073242188,700.8200073242188,
2009-03-03,704.4400024414062,696.3300170898438,
2009-03-04,698.5999755859375,712.8699951171875,
2009-03-05,708.27001953125,682.5499877929688,
2009-03-06,684.0399780273438,683.3800048828125,
2009-03-09,680.760009765625,676.530029296875,
2009-03-10,679.280029296875,719.5999755859375,
2009-03-11,719.5900268554688,721.3599853515625,
2009-03-12,720.8900146484375,750.739990234375,
2009-03-13,751.969970703125,756.5499877929688,
2009-03-16,758.8400268554688,753.8900146484375,
2009-03-17,753.8800048828125,778.1199951171875,
2009-03-18,776.010009765625,794.3499755859375,
2009-03-19,797.9199829101562,784.0399780273438,
2009-03-20,784.5800170898438,768.5399780273438,
2009-03-23,772.3099975585938,822.9199829101562,
2009-03-24,820.5999755859375,806.1199951171875,
2009-03-25,806.8099975585938,813.8800048828125,
2009-03-26,814.0599975585938,832.8599853515625,
2009-03-27,828.6799926757812,815.9400024414062,
2009-03-30,809.0700073242188,787.530029296875,
2009-03-31,790.8800048828125,797.8699951171875,
2009-04-01,793.5900268554688,811.0800170898438,
2009-04-02,814.530029296875,834.3800048828125,
2009-04-03,835.1300048828125,842.5,
2009-04-06,839.75,835.47998046875,
2009-04-07,834.1199951171875,815.5499877929688,
2009-04-08,816.760009765625,825.1599731445312,
2009-04-09,829.2899780273438,856.5599975585938,
2009-04-13,855.3300170898438,858.72998046875,
2009-04-14,856.8800048828125,841.5,
2009-04-15,839.4400024414062,852.0599975585938,
2009-04-16,854.5399780273438,865.2999877929688,
2009-04-17,865.1799926757812,869.5999755859375,
2009-04-20,868.27001953125,832.3900146484375,
2009-04-21,831.25,850.0800170898438,
2009-04-22,847.260009765625,843.5499877929688,
2009-04-23,844.6199951171875,851.9199829101562,
2009-04-24,853.9099731445312,866.22998046875,
2009-04-27,862.8200073242188,857.510009765625,
2009-04-28,854.47998046875,855.1599731445312,
2009-04-29,856.8499755859375,873.6400146484375,
2009-04-30,876.5900268554688,872.8099975585938,
2009-05-01,872.739990234375,877.52001953125,
2009-05-04,879.2100219726562,907.239990234375,
2009-05-05,906.0999755859375,903.7999877929688,
2009-05-06,903.9500122070312,919.530029296875,
2009-05-07,919.5800170898438,907.3900146484375,
2009-05-08,909.030029296875,929.22998046875,
2009-05-11,922.989990234375,909.239990234375,
