start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
2002-01-01,160,0.0,0.16772571416610282,0.6905836404783189,-0.9700013709911062,42.84957903742678,0.2637956443425577,0.0
2002-01-01,160,0.5,0.16285852538372958,0.6816102427657942,-0.9577628658955954,38.72458391704346,0.23612248239724906,0.027673161945308663
2002-01-01,160,1.0,0.16191775353227245,0.6813455696826662,-0.9554849836591396,37.972449957151696,0.2354674963157033,0.02832814802685443
2002-01-01,160,1.5,0.15940850206646373,0.6807798644155539,-0.9588202116416599,36.03421223201126,0.23383003111183887,0.02996561323071885
2002-01-01,160,2.0,0.16895198732248673,0.6811318677576913,-0.9588202116416599,43.95347312766714,0.23268380546913378,0.03111183887342394
2002-01-01,160,2.5,0.1686624631284559,0.6810345337344129,-0.9586657127408907,43.690410189016056,0.23170132634681512,0.03209431799574259
2002-01-01,160,3.0,0.1776139396037264,0.6805160382884162,-0.9567430581441102,52.5647026208979,0.22973636810217782,0.03405927624037989
2002-01-01,160,3.5,0.16698462041908835,0.6795984005392135,-0.9662202791717098,42.19538351849963,0.22695267725560833,0.0368429670869494
2002-01-01,160,4.0,0.17110228338745226,0.6794778938610386,-0.9632102460140559,45.95531700451705,0.22662518421483543,0.037170460127722287
2002-01-01,160,4.5,0.1710983345867847,0.678814123706338,-0.9649215998855316,45.95156194765844,0.22384149336826592,0.039954150974291794
2002-01-01,160,5.0,0.18108129381943483,0.6777035756978468,-0.9615060481647579,56.4465803511534,0.2225315212051744,0.041264123137383334
2002-01-01,160,5.5,0.16842896934308116,0.6761959094803437,-0.9614691195273031,43.47935694085404,0.21974783035860487,0.04404781398395284
2002-01-01,160,6.0,0.16792186406078957,0.675441084358512,-0.9597300742525104,43.0243498395685,0.21761912559358113,0.04617651874897658
2002-01-01,160,6.5,0.16182592603967594,0.6748578706683862,-0.958607956431093,37.899790080336814,0.2163091534304896,0.04748649091206812
2002-01-01,160,7.0,0.1660557598480228,0.6745909305279251,-0.9591604284997002,41.38895273690613,0.21352546258392008,0.05027018175863763
2002-01-01,160,7.5,0.16516414909869148,0.6741956989590913,-0.9631343297457258,40.6287756882209,0.21139675781889636,0.05239888652366137
2002-01-01,160,8.0,0.1695617074215947,0.6731492507687415,-0.966123245991783,44.51244271777984,0.20975929261503193,0.05403635172752579
