Date,gspc_open_implied_rsi14,GSPC_BB20_Z,GSPC_OPEN,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2005-12-20,55.42438506994479,-0.3767137352168651,1259.9200439453125,0.505230764794786,TQQQ,TQQQ,,,0.0011039907511394276,1.0011039907511394
2005-12-21,55.17016742914156,-0.4895762445642368,1259.6199951171875,0.5085195979452357,TQQQ,TQQQ,,,0.009804835615196517,1.0109196508141716
2005-12-22,57.393666704747545,0.07502046382216802,1262.7900390625,0.5115177001199969,TQQQ,TQQQ,,,0.02270105619785423,1.0338685946188193
2005-12-23,60.904718593779656,1.007542288689895,1268.1199951171875,0.5250318592468086,TQQQ,TQQQ,,,-0.0009433671100399499,1.0328932769905528
2005-12-27,61.25312489426373,1.096476013411663,1268.6600341796875,0.524201032647113,TQQQ,TQQQ,,,-0.02611394556152069,1.0059203581843608
2005-12-28,50.39795706558346,-1.0531266181568848,1256.5400390625,0.5096785144612092,TQQQ,TQQQ,,,-0.002459411273815215,1.003446386314882
2005-12-29,51.63924493038598,-0.7741610668042498,1258.1700439453125,0.5072361097033288,TQQQ,TQQQ,,,-0.021304374637319712,0.982068588572365
2005-12-30,48.624470151462674,-1.6293655633365631,1254.4200439453125,0.4886214465540102,TQQQ,TQQQ,,,-0.01859339729955367,0.9638085971296271
2006-01-03,44.09281312025384,-2.2809380196048674,1248.2900390625,0.4940399766430372,TQQQ,TQQQ,,,0.06314655357562926,1.0246697883449252
2006-01-04,58.14730891275434,1.087398424803895,1268.800048828125,0.5204049976596246,TQQQ,TQQQ,,,0.028209455913856818,1.0535751655655023
2006-01-05,60.57248657691606,1.627370015285609,1273.4599609375,0.5330294556385342,TQQQ,TQQQ,,,0.016550543838658616,1.0710124075305163
2006-01-06,60.58305387620586,1.466604847226977,1273.47998046875,0.5520491969995217,TQQQ,TQQQ,,,0.0520635940797336,1.1267731627705433
2006-01-09,66.38440656021527,2.486330903046125,1285.449951171875,0.567643344090139,TQQQ,TQQQ,,,0.011762395995437602,1.140026714908082
2006-01-10,68.35393489659508,2.4300130127310924,1290.1500244140625,0.565492604385171,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,,-0.07434510136224903,1.0552713132325688
2006-01-11,67.94817262215265,2.008073226315542,1289.719970703125,0.5815374762529016,TQQQ,TQQQ,exit_uvix_gspc_profit,,0.01638121773064638,1.0725579423795366
2006-01-12,69.87772016671383,2.02737181646434,1294.1800537109375,0.5872878287198134,TQQQ,UVIX,enter_uvix_high_rsi_bb20z,,0.014640736708890323,1.0882609808189445
2006-01-13,62.50063756125839,1.2321653793565743,1286.06005859375,0.5805959860251311,TQQQ,TQQQ,exit_uvix_rsi_and_gspc_profit,,0.01920026054666879,1.1091558751934416
2006-01-17,63.29713785995051,1.2430497741120103,1287.6099853515625,0.5663675127848334,TQQQ,TQQQ,,,-0.01803558256099147,1.0891516028333816
2006-01-18,59.20779113288939,0.8281781357619926,1282.9300537109375,0.5413611329135771,TQQQ,TQQQ,,,-0.03434731478315467,1.051742169884286
2006-01-19,55.11117991572554,0.41658191125596233,1277.9300537109375,0.557244218326524,TQQQ,TQQQ,,,0.023053227384868924,1.0759882212768839
2006-01-20,59.41178199053447,0.853501580185886,1285.0400390625,0.5552972716078055,TQQQ,TQQQ,,,-0.09303849789721452,0.9758798934141869
2006-01-23,44.27957422182821,-0.9119611770460287,1261.489990234375,0.5138940509579328,TQQQ,TQQQ,,,-0.00033438267590135684,0.9755535760840688
2006-01-24,45.75173806310479,-0.7435014578446437,1263.8199462890625,0.5150637558116915,TQQQ,TQQQ,,,0.01756122449610298,0.9926854914416572
2006-01-25,47.69357550930248,-0.5092110913874442,1266.8599853515625,0.5255881340500527,TQQQ,TQQQ,,,-0.016596247187733226,0.976210637646015
2006-01-26,46.41067400823813,-0.6527301973691865,1264.6800537109375,0.5189926553374081,TQQQ,TQQQ,,,0.0239385288935543,0.9995796842014992
2006-01-27,52.2201442664551,-0.03785041996617991,1273.8299560546875,0.5297262160775573,TQQQ,TQQQ,,,0.03639909916926931,1.0359634842543366
2006-01-30,57.57387762517637,0.6519493499706805,1283.719970703125,0.542353882214476,TQQQ,TQQQ,,,0.003907619921081684,1.040011635802922
2006-01-31,58.326779858901226,0.6938980716073987,1285.199951171875,0.5433055136039908,TQQQ,TQQQ,,,-0.004921777003351502,1.0348929304506094
2006-02-01,54.71253047761958,0.1419378158370529,1280.0799560546875,0.527731062553324,TQQQ,TQQQ,,,0.003786186666584257,1.0388112282652238
2006-02-02,56.07582352633946,0.32789833763114795,1282.4599609375,0.5384230840992581,TQQQ,TQQQ,,,-0.04791765499729961,0.9890338302218897
2006-02-03,48.41304390509746,-0.8957789133388838,1270.8399658203125,0.5045552516939308,TQQQ,TQQQ,,,-0.03799365315759162,0.9514568219153149
2006-02-06,44.569187186801564,-1.489339560192385,1264.030029296875,0.49583045128663383,TQQQ,TQQQ,,,-0.0127930532621362,0.9392847841159294
2006-02-07,45.24974260658599,-1.247555269879058,1265.02001953125,0.488917927536985,TQQQ,TQQQ,,,-0.010511908146856874,0.9294111087415625
