Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2010-02-12,,False,0.0040921642723332,0.011378651264158221,0.0040921642723332,above,above,1.0040921642723333
2010-02-16,42.89942053232351,False,0.0387361734718203,-0.11195891869985246,0.0387361734718203,above,above,1.0429868525292818
2010-02-17,50.45027437819684,False,0.016970007341968,-0.04762388712603754,0.016970007341968,above,above,1.06068634707428
2010-02-18,52.085659615318576,False,0.018958140529343,-0.08797946525216509,0.018958140529343,above,above,1.0807949878996699
2010-02-19,54.603369859168076,False,0.0,-0.04564720741345956,0.0,above,above,1.0807949878996699
2010-02-22,55.446114068514724,False,-0.0070202970429855,-0.02662248163902308,-0.0070202970429855,above,above,1.0732074860420444
2010-02-23,54.91981398899999,False,-0.0390419217520106,0.050342228725314304,-0.0390419217520106,above,above,1.031307403348319
2010-02-24,49.11581343639164,False,0.0302401827409999,-0.04505479548356766,0.0302401827409999,above,above,1.0624943276877181
2010-02-25,53.33017314821124,False,-0.000570093957283,0.008449087742354375,-0.000570093957283,above,above,1.0618886060918558
2010-02-26,52.3213678192642,False,0.0124749905321726,-0.04343537592563789,0.0124749905321726,above,above,1.0751356563990737
2010-03-01,52.96706583798146,False,0.0428941151417276,-0.04682110193816751,0.0428941151417276,above,above,1.1212526490376327
2010-03-02,57.45816750523209,False,0.006012254372556,-0.012371910474851247,0.006012254372556,above,above,1.1279939051795491
2010-03-03,58.448364393677764,False,0.0055541550957773,-0.01830253750811988,0.0055541550957773,above,above,1.1342589582760079
2010-03-04,58.639749050725726,False,0.0110391116532393,-0.012159429472851804,0.0110391116532393,above,above,1.1467801695601036
2010-03-05,60.35238992675458,False,0.0442018205390131,-0.0834456311372858,0.0442018205390131,above,above,1.1974699408126983
2010-03-08,66.04970659890442,False,0.0053325197466285,-0.04194446393444711,0.0053325197466285,above,above,1.2038554729180762
2010-03-09,65.9200331038461,False,0.017701847459578,0.021982862832436063,0.017701847459578,above,above,1.22516593886305
2010-03-10,66.608527423863,False,0.0244705390703208,0.004528864683380049,0.0244705390703208,above,above,1.2551464098376246
2010-03-11,68.42630258756365,False,0.009209433282397,0.02409098383764125,0.009209433282397,above,above,1.2667055969586645
2010-03-12,70.004199422233,True,0.0022812056695482,-0.01873727470279101,-0.01873727470279101,UVIX,above,1.242970986220887
2010-03-15,69.80135630927887,True,-0.0067338287575156,0.0048357641492299906,0.0048357641492299906,UVIX,above,1.2489817007545871
2010-03-16,69.99610660128025,True,0.018908568995122,-0.061057285096685114,-0.061057285096685114,UVIX,above,1.1727222689710717
2010-03-17,73.19955925528352,True,0.0069346294724568,-0.07350370335354865,-0.07350370335354865,UVIX,above,1.0865228391965216
2010-03-18,75.33817925033263,True,0.0101422782995466,-0.023957745470796037,-0.023957745470796037,UVIX,above,1.0604922015668448
2010-03-19,74.97545143211346,True,-0.0176892755135952,0.023655185421993026,0.023655185421993026,UVIX,above,1.085578341233486
2010-03-22,69.36316487501269,True,0.0270119002152924,-0.03254095767829184,-0.03254095767829184,UVIX,above,1.050252582374937
2010-03-23,71.64155529479288,True,0.0209144811868615,-0.04111485499564243,-0.04111485499564243,UVIX,above,1.0070715997417925
2010-03-24,74.5273091142391,True,-0.0142242165726449,0.05568994332259564,0.05568994332259564,UVIX,above,1.0631553600532087
2010-03-25,68.71717717783295,True,-0.0062616949663917,0.002872089383984153,0.002872089383984153,UVIX,above,1.0662088372763434
2010-03-26,66.98217205123797,True,0.0052072490382153,-0.007413918848465919,-0.007413918848465919,UVIX,above,1.0583040514812594
2010-03-29,67.36564547477346,True,0.0137160397102695,-0.03937033849875187,-0.03937033849875187,UVIX,above,1.0166382627398418
2010-03-30,70.23569863830971,True,0.0104854867219106,-0.019502223857576877,-0.019502223857576877,UVIX,above,0.9968115557577114
2010-03-31,70.25696361763556,True,-0.0134790023744365,-0.020326172884950693,-0.020326172884950693,UVIX,above,0.9765501917416636
2010-04-01,66.34073804079614,True,-0.0019779815388388,-0.010132729978338964,-0.010132729978338964,UVIX,above,0.9666550723384502
2010-04-05,70.35822958173289,True,0.0289126329517612,-0.07480840215550581,-0.07480840215550581,UVIX,above,0.8943411509412958
2010-04-06,73.96357237956815,True,0.0076171412281582,-0.06410208764479668,-0.06410208764479668,UVIX,above,0.8370120160993086
2010-04-07,74.6739340984562,True,-0.0056480147521915,0.03501441607363271,0.03501441607363271,UVIX,above,0.86631950308964
2010-04-08,67.71977072254091,True,0.0035831591833239,-0.01882891457706686,-0.01882891457706686,UVIX,above,0.8500076471695182
2010-04-09,69.4676675227375,True,0.0180197807541577,-0.030077659136184258,-0.030077659136184258,UVIX,above,0.8244414068948035
2010-04-12,72.63872744197889,True,0.0040196675047736,0.0007274749143859147,0.0007274749143859147,UVIX,above,0.8250411673367005
2010-04-13,73.42946569332176,True,0.0150788345045298,0.0036129068826955078,0.0036129068826955078,UVIX,above,0.8280219642486785
2010-04-14,73.74702892631248,True,0.0352421086965484,-0.04305982024819049,-0.04305982024819049,UVIX,above,0.7923674873065768
2010-04-15,78.2948885067942,True,0.0133746349475722,0.004175917570484475,0.004175917570484475,UVIX,above,0.795676348619101
2010-04-16,78.59992831183092,True,-0.0355954605970915,0.07635671953464258,0.07635671953464258,UVIX,above,0.8564315844109582
2010-04-19,60.933390065053764,False,-0.001573373103519,-0.024991802117035493,-0.001573373103519,above,above,0.8550840979910419
