series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,below_entry_drawdown_pct
strategy,0.21769722362699917,0.6763138730455086,-0.9473188682073698,104.39025667686485,0.3218878575515344,226,0.25050437121721586,0.0,0.0
strategy,0.5567074339765148,0.6636970377284268,-0.9358558472147311,34350.466538901856,0.8387975270793806,284,0.2234364492266308,0.02706792199058507,0.5
strategy,0.5594272597554595,0.6635932169129776,-0.935855847214731,35795.11194091252,0.8430273931338599,281,0.22242770679219906,0.02807666442501681,1.0
strategy,0.5544235255074801,0.6635655314653032,-0.935855847214731,33180.648397263234,0.8355218877677194,278,0.22091459314055145,0.029589778076664425,1.5
strategy,0.568293144640057,0.663525746379779,-0.935855847214731,40919.268266796185,0.8564748960242845,276,0.2199058507061197,0.030598520511096166,2.0
strategy,0.5699689209108929,0.6630087280319792,-0.9358558472147311,41963.66716371927,0.8596703132442042,273,0.21671149966375253,0.03379287155346335,2.5
strategy,0.5734650679115101,0.662789354011088,-0.9358558472147311,44225.368335485204,0.8652297512641044,270,0.21587088096839274,0.03463349024882313,3.0
strategy,0.5828142241095686,0.6623796088667976,-0.9358558472147311,50861.41179879599,0.8798794774293403,269,0.21351714862138535,0.03698722259583053,3.5
strategy,0.5835388219777027,0.6621245513228424,-0.9358558472147311,51413.74487540705,0.8813127693450798,269,0.2128446536650975,0.03765971755211836,4.0
strategy,0.6029172033397137,0.6611818273001577,-0.9321267643302942,68507.65408565148,0.9118780620478343,267,0.20880968392737054,0.04169468728984533,4.5
strategy,0.6058180268365769,0.6611501997605217,-0.9321267643302942,71494.08507609948,0.91630922452419,266,0.20813718897108271,0.04236718224613315,5.0
strategy,0.6178406809604919,0.660544541064056,-0.9259907462281534,85254.61879910935,0.9353505215034047,263,0.20578345662407532,0.04472091459314055,5.5
strategy,0.626056365007128,0.6599717330948675,-0.9259907462281535,96079.88874913483,0.9486108777285098,261,0.20342972427706793,0.04707464694014795,6.0
strategy,0.6445333984893562,0.6596159651684884,-0.9259907462281534,125440.04701227794,0.9771343213694356,260,0.20208473436449226,0.0484196368527236,6.5
strategy,0.6460607459122119,0.6593374563485167,-0.9259907462281535,128218.43546819656,0.979863558018025,259,0.20124411566913247,0.04926025554808339,7.0
