label,n_pct,cagr,annualized_vol,max_drawdown,final_multiple,trade_count,below_regime_share,wait_regime_share,is_optimal
n=41.5%,41.5,1.0298756860710752,0.5973519598369517,-0.8755292896259699,4195600.831563529,221,0.0928347762018788,0.17130226561060968,True
n=20%,20.0,0.9701495469072428,0.6410941042458361,-0.913158695085033,2205053.48616329,232,0.1633818382759256,0.1007552035365629,False
n=30%,30.0,1.000647722458567,0.6185756982318715,-0.9096628720620302,3069867.5068067755,224,0.12120095781911955,0.14293608399336893,False
n=50%,50.0,0.9907924798916901,0.5778373907626427,-0.8696403815131784,2760100.7121233833,219,0.06502118253822067,0.1991158592742678,False
n=60%,60.0,0.9566162886374137,0.5427151924478448,-0.8551072004638582,1900813.3581891372,216,0.035918216982869774,0.22821882482961872,False
