Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2002-08-20,GSPC,937.4299926757812,1055.5630641937255,True,937.4299926757812,False,wait_mix,flat,0.0,1.0,-0.08512320412274742,0.9148767958772526
2002-08-21,GSPC,949.3599853515625,1054.2798763275146,True,937.4299926757812,False,wait_mix,wait_mix,0.020992235353286523,1.0209922353532865,0.09307791639949396,1.0000316217997522
2002-08-22,GSPC,962.7000122070312,1053.0138137817382,True,937.4299926757812,False,wait_mix,wait_mix,-0.009900857626996624,1.0108835365927846,0.03441898874573654,1.0344516989358585
2002-08-23,GSPC,940.8599853515625,1051.5660011291504,True,937.4299926757812,False,wait_mix,wait_mix,-0.014858410254129897,0.9958634142869432,-0.10874344826650975,0.9219618541284239
2002-08-26,GSPC,947.9500122070312,1050.2101261138916,True,937.4299926757812,False,wait_mix,wait_mix,0.014854447511317795,1.0106564151029103,0.0195063357756699,0.9399459516274122
2002-08-27,GSPC,934.8200073242188,1048.7983139038085,True,937.4299926757812,False,wait_mix,wait_mix,0.005672822449269801,1.0163896895030045,-0.10030873940086565,0.8456611581147194
2002-08-28,GSPC,917.8699951171875,1047.3153762817383,True,937.4299926757812,False,wait_mix,wait_mix,-0.004856296935730688,1.0114537993683628,-0.08346464594731715,0.7750783489612761
2002-08-29,GSPC,917.7999877929688,1045.8231884002685,True,937.4299926757812,False,wait_mix,wait_mix,0.0027804561253744744,1.0142661022803496,0.041510506424034144,0.8072522437449631
2002-08-30,GSPC,916.0700073242188,1044.3886260986328,True,937.4299926757812,False,wait_mix,wait_mix,0.017584421736709255,1.0321013851760954,-0.07643031176434081,0.7455537030830719
2002-09-03,GSPC,878.02001953125,1042.76118850708,True,937.4299926757812,False,wait_mix,wait_mix,0.008086736908985585,1.0404477175414142,-0.14812650758018736,0.6351174368319005
2002-09-04,GSPC,893.4000244140625,1041.181251525879,True,937.4299926757812,False,wait_mix,wait_mix,0.02453880888680855,1.0659790652388792,0.09309559043762698,0.6942440696109985
2002-09-05,GSPC,879.1500244140625,1039.6286270141602,True,937.4299926757812,False,wait_mix,wait_mix,0.00193184796610905,1.0680383747279758,-0.10152770150343983,0.6237590649409998
