label,n_pct,cagr,annualized_vol,max_drawdown,final_multiple,trade_count,below_regime_share,wait_regime_share,is_optimal
n=20%,20.0,0.9593915662970132,0.622726671714752,-0.9131741859409475,7831217.567674132,242,0.1467720242098184,0.10373234700739745,False
n=30%,30.0,1.0570911017313156,0.6039305936309953,-0.8948607014835461,24690767.490075205,238,0.1168459986550101,0.13365837256220578,False
n=40%,40.0,1.0571391181687546,0.5824196615288765,-0.8793419479563324,24704372.001438454,233,0.082044384667115,0.1684599865501009,False
n=50.5%,50.5,1.1048165150822316,0.5572228619003011,-0.8551072004638584,42422827.26680267,232,0.061701412239408206,0.18880295897780766,True
n=60%,60.0,0.9747280217301424,0.515642024603337,-0.8576081054861922,9413204.398651661,227,0.025050437121721586,0.22545393409549427,False
