overlap_start,overlap_end,overlap_days,daily_return_corr,daily_return_mae_bps,actual_growth_multiple,modeled_growth_multiple,proxy,legacy_proxy,modern_proxy,legacy_beta,financing_multiplier,annual_fee,history_start
2008-12-30,2026-04-24,4356,0.9947311939285793,21.68569942027391,620.5901648475888,620.5901648476615,TECL,FSPTX,XLK,0.8416060912161761,3.142980544202146,0.0087,1990-01-02
2010-03-11,2026-04-24,4056,0.997151359477401,18.055308725495024,213.55917730534733,213.55917730522899,SOXL,FSELX,^SOX/SOXX,1.0569794994367914,0.6911880841653328,0.0075,1990-01-02
