start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
2010-02-12,160,29.5,0.4903032927548643,0.5433018473463086,-0.618351973990943,627.8207956448492,0.08896534775129024,0.10616859179159499
2010-02-12,160,30.0,0.4903032927548643,0.5433018473463086,-0.618351973990943,627.8207956448492,0.08896534775129024,0.10616859179159499
2010-02-12,160,29.0,0.48867714714676214,0.544871729753944,-0.6183519739909427,616.850398164737,0.08994839026787908,0.10518554927500615
2010-02-12,160,16.5,0.4832884529792416,0.5711805319269555,-0.6567483387682806,581.7683932381894,0.12066846891128041,0.07446547063160482
2010-02-12,160,28.0,0.4798473994983361,0.5477891049384591,-0.6183519739909427,560.3548140431946,0.09412632096338167,0.10100761857950356
2010-02-12,160,27.5,0.47784845723996794,0.5477701271002905,-0.6183519739909425,548.2572945666242,0.09461784222167609,0.10051609732120914
2010-02-12,160,28.5,0.47764424182210186,0.5459709415696485,-0.6183519739909431,547.0352817799709,0.09191447530105677,0.10321946424182846
2010-02-12,160,16.0,0.47696239703689547,0.5715278929982428,-0.6796377941698857,542.9736452585157,0.12091422954042762,0.07421971000245761
2010-02-12,160,27.0,0.4768279101005679,0.5477831687348291,-0.6183519739909425,542.1758763735934,0.09486360285082329,0.10027033669206194
2010-02-12,160,26.5,0.4747636845437264,0.5479540117815662,-0.6183519739909425,530.0681311538343,0.09535512410911771,0.09977881543376751
