series,cagr,annualized_vol,max_drawdown,final_multiple,sharpe_like,trade_count,below_regime_share,wait_regime_share,signal_window,below_entry_drawdown_pct
strategy,2.613929989672492,0.487678089836885,-0.4952290378357871,28557855622488.273,5.359949614604955,557,0.008226390259953932,0.33580125041131953,30,59.25
strategy,2.613929989672492,0.487678089836885,-0.4952290378357871,28557855622488.273,5.359949614604955,557,0.008226390259953932,0.33580125041131953,30,59.5
strategy,2.613929989672492,0.487678089836885,-0.4952290378357871,28557855622488.273,5.359949614604955,557,0.008226390259953932,0.33580125041131953,30,59.75
strategy,2.613929989672492,0.487678089836885,-0.4952290378357871,28557855622488.273,5.359949614604955,557,0.008226390259953932,0.33580125041131953,30,60.0
strategy,2.589089007168973,0.4883212897079744,-0.5716871392722834,24181805373755.19,5.302019514072995,557,0.00839091806515301,0.33563672260612043,30,58.75
strategy,2.589089007168973,0.4883212897079744,-0.5716871392722834,24181805373755.19,5.302019514072995,557,0.00839091806515301,0.33563672260612043,30,59.0
strategy,2.570939710867755,0.4903965355915726,-0.5716871392722833,21399040064943.03,5.242573151065173,557,0.00970714050674564,0.3343205001645278,30,57.0
strategy,2.570939710867755,0.4903965355915726,-0.5716871392722833,21399040064943.03,5.242573151065173,557,0.00970714050674564,0.3343205001645278,30,57.25
strategy,2.570939710867755,0.4903965355915726,-0.5716871392722833,21399040064943.03,5.242573151065173,557,0.00970714050674564,0.3343205001645278,30,57.5
strategy,2.570939710867755,0.4903965355915726,-0.5716871392722833,21399040064943.03,5.242573151065173,557,0.00970714050674564,0.3343205001645278,30,57.75
