Date,signal_price,signal_sma,signal_below_sma,trigger_reference_tqqq_close,target_regime_at_close,close_position,strategy_return
2010-02-12,1075.510009765625,1051.8008735656738,False,,above,above,0.0040918741192776
2010-02-16,1094.8699951171875,1052.9006858825683,False,,above,above,0.038736176261662
2010-02-17,1099.510009765625,1053.9774360656738,False,,above,above,0.0169701471902148
2010-02-18,1106.75,1055.1488735198975,False,,above,above,0.0189580028791909
2010-02-19,1109.1700439453125,1056.3103736877442,False,,above,above,0.0
2010-02-22,1108.010009765625,1057.6328113555908,False,,above,above,-0.0070202975127159
2010-02-23,1094.5999755859375,1058.8570613861084,False,,above,above,-0.0390419243827868
2010-02-24,1105.239990234375,1060.2583736419679,False,,above,above,0.0302402549825022
2010-02-25,1102.93994140625,1061.6544982910157,False,,above,above,-0.0005700939572831
2010-02-26,1104.489990234375,1063.0408107757569,False,,above,above,0.0124750586337902
2010-03-01,1115.7099609375,1064.5194355010985,False,,above,above,0.042893977731534
2010-03-02,1118.31005859375,1065.8773109436036,False,,above,above,0.0060123837523682
2010-03-03,1118.7900390625,1067.2082485198976,False,,above,above,0.0055542188502628
2010-03-04,1122.969970703125,1068.3975608825683,False,,above,above,0.0110389827327135
2010-03-05,1138.699951171875,1069.6348106384278,False,,above,above,0.0442019466596661
2010-03-08,1138.5,1070.8730606079102,False,,above,above,0.0053325794934868
2010-03-09,1140.449951171875,1072.0563102722167,False,,above,above,0.0177017841988975
2010-03-10,1145.6099853515625,1073.2502475738524,False,,above,above,0.0244703000785868
2010-03-11,1150.239990234375,1074.476309967041,False,,above,above,0.0092095495753365
2010-03-12,1149.989990234375,1075.5619350433349,False,,above,above,0.0022814340298933
2010-03-15,1150.510009765625,1076.6322475433349,False,,above,above,-0.0067338272232765
2010-03-16,1159.4599609375,1077.7402473449706,False,,above,above,0.0189083352725938
2010-03-17,1166.2099609375,1078.9064346313476,False,,above,above,0.0069346294724565
2010-03-18,1165.8299560546875,1080.0981842041015,False,,above,above,0.010142166510572
2010-03-19,1159.9000244140625,1081.1803718566894,False,,above,above,-0.0176891668046309
2010-03-22,1165.81005859375,1082.2949348449706,False,,above,above,0.0270116748964377
2010-03-23,1174.1700439453125,1083.3670600891114,False,,above,above,0.0209148148643814
2010-03-24,1167.719970703125,1084.379997253418,False,,above,above,-0.0142243224933341
2010-03-25,1165.72998046875,1085.3988098144532,False,,above,above,-0.0062619129654156
2010-03-26,1166.5899658203125,1086.4582469940185,False,,above,above,0.0052071404941853
2010-03-29,1173.219970703125,1087.4753719329833,False,,above,above,0.0137164806729361
2010-03-30,1173.27001953125,1088.5139347076415,False,,above,above,0.0104852703098359
2010-03-31,1169.4300537109375,1089.608185195923,False,,above,above,-0.0134786842360081
2010-04-01,1178.0999755859375,1090.6849975585938,False,,above,above,-0.0019783050522419
2010-04-05,1187.43994140625,1091.7769348144532,False,,above,above,0.0289125278857105
2010-04-06,1189.43994140625,1092.9353717803956,False,,above,above,0.0076173531380308
2010-04-07,1182.449951171875,1094.20237159729,False,,above,above,-0.0056480147521916
2010-04-08,1186.43994140625,1095.4321838378905,False,,above,above,0.0035830542315302
2010-04-09,1194.3699951171875,1096.669121170044,False,,above,above,0.0180199917927901
2010-04-12,1196.47998046875,1097.8510585784911,False,,above,above,0.0040196670918495
2010-04-13,1197.300048828125,1098.9208713531493,False,,above,above,0.0150789352764395
2010-04-14,1210.6500244140625,1100.0776218414308,False,,above,above,0.0352416984128343
2010-04-15,1211.6700439453125,1101.225559616089,False,,above,above,0.0133750270062176
2010-04-16,1192.1300048828125,1102.2506221771241,False,,above,above,-0.0355959341497124
2010-04-19,1197.52001953125,1103.2914974212647,False,,above,above,-0.0015731743242727
2010-04-20,1207.1700439453125,1104.4054973602294,False,,above,above,0.0147853555561852
2010-04-21,1205.93994140625,1105.563747024536,False,,above,above,0.0175998099518261
2010-04-22,1208.6700439453125,1106.8801849365234,False,,above,above,0.0148029131966198
2010-04-23,1217.280029296875,1108.2709976196288,False,,above,above,0.0132380330291441
2010-04-26,1212.050048828125,1109.57606048584,False,,above,above,-0.0074322902653809
2010-04-27,1183.7099609375,1110.6217475891112,False,,above,above,-0.0617178461264625
2010-04-28,1191.3599853515625,1111.659059906006,False,,above,above,0.0023514917048466
2010-04-29,1206.780029296875,1112.742872619629,False,,above,above,0.0510412680829293
2010-04-30,1186.68994140625,1113.6338096618651,False,,above,above,-0.0589270784635376
2010-05-03,1202.260009765625,1114.6308723449706,False,,above,above,0.0408401818267496
2010-05-04,1173.5999755859375,1115.4074974060059,False,,above,above,-0.0884068007292306
2010-05-05,1165.8699951171875,1116.1152473449706,False,,above,above,-0.0164326090223491
2010-05-06,1128.1500244140625,1116.4864349365234,False,,above,above,-0.0979663045442504
2010-05-07,1110.8800048828125,1116.7701225280762,True,0.228559126371703,wait_mix,above,-0.0727727993860051
2010-05-10,1159.72998046875,1117.3415596008301,False,,above,wait_mix,-0.0360368829954533
2010-05-11,1155.7900390625,1117.9111221313476,False,,above,above,-0.0006600444364108
2010-05-12,1171.6700439453125,1118.536184692383,False,,above,above,0.0538810971808829
2010-05-13,1157.43994140625,1119.1397468566895,False,,above,above,-0.0452057145572142
2010-05-14,1135.6800537109375,1119.6703720092773,False,,above,above,-0.0615337309781566
2010-05-17,1136.93994140625,1120.2488716125488,False,,above,above,0.0135150814784961
2010-05-18,1120.800048828125,1120.610247039795,False,,above,above,-0.0382218012020034
2010-05-19,1115.050048828125,1120.9504974365234,True,0.2352330598951065,wait_mix,above,-0.0263927381485205
2010-05-20,1071.5899658203125,1121.0411849975585,True,0.2352330598951065,wait_mix,wait_mix,0.02874240438249905
2010-05-21,1087.68994140625,1121.4026847839355,True,0.2352330598951065,wait_mix,wait_mix,-8.841599550149862e-06
2010-05-24,1073.6500244140625,1121.7054351806642,True,0.2352330598951065,wait_mix,wait_mix,0.0007587644167737998
2010-05-25,1074.030029296875,1121.9152481079102,True,0.2352330598951065,wait_mix,wait_mix,0.0093088527443284
2010-05-26,1067.949951171875,1121.99793548584,True,0.2352330598951065,wait_mix,wait_mix,-0.00020830088489879987
2010-05-27,1103.06005859375,1122.282186126709,True,0.2352330598951065,wait_mix,wait_mix,-0.036045408005316
2010-05-28,1089.4100341796875,1122.4317489624023,True,0.2352330598951065,wait_mix,wait_mix,0.014459426364845599
2010-06-01,1070.7099609375,1122.4268737792968,True,0.2352330598951065,wait_mix,wait_mix,0.0094459371849371
2010-06-02,1098.3800048828125,1122.5655616760255,True,0.2352330598951065,wait_mix,wait_mix,-0.015348465259823049
2010-06-03,1102.8299560546875,1122.7508117675782,True,0.2352330598951065,wait_mix,wait_mix,-0.01959514882887845
2010-06-04,1064.8800048828125,1122.5811866760255,True,0.2352330598951065,wait_mix,wait_mix,0.04797145176577185
2010-06-07,1050.469970703125,1122.293123626709,True,0.2352330598951065,wait_mix,wait_mix,0.0203573288556231
2010-06-08,1062.0,1122.1326232910155,True,0.2352330598951065,wait_mix,wait_mix,-0.010090815624232
2010-06-09,1055.68994140625,1121.8687477111816,True,0.2352330598951065,wait_mix,wait_mix,-0.0016956254318412
2010-06-10,1086.8399658203125,1121.8423721313477,True,0.2352330598951065,wait_mix,wait_mix,-0.03635185458106315
2010-06-11,1091.5999755859375,1121.9061218261718,True,0.2352330598951065,wait_mix,wait_mix,0.02507412151691605
2010-06-14,1089.6300048828125,1121.8856216430663,True,0.2352330598951065,wait_mix,wait_mix,-0.00996034518654465
2010-06-15,1115.22998046875,1122.108309173584,True,0.2352330598951065,wait_mix,wait_mix,-0.0024523759421514997
2010-06-16,1114.6099853515625,1122.406184387207,True,0.2352330598951065,wait_mix,wait_mix,0.005933334487897401
2010-06-17,1116.0400390625,1122.7351219177247,True,0.2352330598951065,wait_mix,wait_mix,0.0197385607944176
2010-06-18,1117.510009765625,1123.2031219482421,True,0.2352330598951065,wait_mix,wait_mix,0.0008434864017933001
2010-06-21,1113.199951171875,1123.497434234619,True,0.2352330598951065,wait_mix,wait_mix,-0.013917525462869701
2010-06-22,1095.31005859375,1123.866934967041,True,0.2352330598951065,wait_mix,wait_mix,0.0232108457079119
2010-06-23,1092.0400390625,1124.1741851806642,True,0.2352330598951065,wait_mix,wait_mix,0.00816041294563715
2010-06-24,1073.68994140625,1124.35093460083,True,0.2352330598951065,wait_mix,wait_mix,-0.007971156291920899
2010-06-25,1076.760009765625,1124.5400596618651,True,0.2352330598951065,wait_mix,wait_mix,0.0122148942652455
2010-06-28,1074.5699462890625,1124.5896842956543,True,0.2352330598951065,wait_mix,wait_mix,0.008440368064722249
2010-06-29,1041.239990234375,1124.4143089294435,True,0.2352330598951065,wait_mix,wait_mix,0.01821363355244595
2010-06-30,1030.7099609375,1124.024496459961,True,0.2352330598951065,wait_mix,wait_mix,0.012719084665470299
2010-07-01,1027.3699951171875,1123.6142463684082,True,0.2352330598951065,wait_mix,wait_mix,-0.0168642102094
2010-07-02,1022.5800170898438,1123.1396839141846,True,0.2352330598951065,wait_mix,wait_mix,-0.0061933761949219
