Date,gspc_open_implied_rsi14,GSPC_OPEN,GSPC_SMA200_PREV_CLOSE,TQQQ_OPEN,base_target_regime_at_open,tqqq_running_drawdown_pct,selected_leg,action,strategy_return,strategy_equity
2010-02-12,43.0378122589776,1075.949951171875,1023.0816491699219,0.2004484585818023,above,0.0,TQQQ,,0.004092164272333276,1.0040921642723333
2010-02-16,44.48138382896311,1079.1300048828125,1024.0909991455078,0.2117622635212514,above,0.0,TQQQ,,0.038736173471820345,1.0429868525292818
2010-02-17,50.908889597757366,1096.1400146484375,1025.2012991333008,0.2177911924413176,above,0.0,TQQQ,,0.016970007341968074,1.06068634707428
2010-02-18,51.894853623923495,1099.030029296875,1026.3112490844726,0.2183371301338427,above,0.0,TQQQ,,0.01895814052934308,1.0807949878996699
2010-02-19,54.0708642844092,1105.489990234375,1027.3087991333007,0.2211896419188025,above,0.0,TQQQ,,0.0,1.0807949878996699
2010-02-22,55.7495079333542,1110.0,1028.3356494140626,0.225333123005568,above,0.0,TQQQ,,-0.007020297042985568,1.0732074860420442
2010-02-23,54.669295747765624,1107.489990234375,1029.2780493164062,0.2199244149037374,above,2.4003164868473092,TQQQ,,-0.0390419217520106,1.0313074033483187
2010-02-24,49.66688732781187,1095.8900146484375,1030.2140991210938,0.2162525403214021,above,4.029848147953608,TQQQ,,0.030240182740999932,1.062494327687718
2010-02-25,51.599956256622306,1101.239990234375,1031.0941491699218,0.2119356614335032,above,5.945624590546206,TQQQ,,-0.0005700939572830244,1.0618886060918555
2010-02-26,52.38885222080758,1103.0999755859375,1032.0626489257813,0.2181627947848259,above,3.1821012930109305,TQQQ,,0.012474990532172603,1.0751356563990735
2010-03-01,53.348942640123695,1105.3599853515625,1033.0433489990235,0.2243413251449817,above,0.4401473903868913,TQQQ,,0.042894115141727696,1.1212526490376324
2010-03-02,57.95909571186113,1117.010009765625,1034.2022988891601,0.2330741484674836,above,0.0,TQQQ,,0.006012254372556036,1.127993905179549
2010-03-03,58.86472895239853,1119.3599853515625,1035.3284991455077,0.2350348661967643,above,0.0,TQQQ,,0.005554155095777391,1.1342589582760076
2010-03-04,58.78030234093101,1119.1199951171875,1036.5080493164062,0.2345385162617609,above,0.2111814059910122,TQQQ,,0.011039111653239342,1.1467801695601034
2010-03-05,61.24140687428907,1125.1199951171875,1037.5743490600587,0.2413363396235486,above,0.0,TQQQ,,0.044201820539013115,1.197469940812698
2010-03-08,65.85538710725993,1138.4000244140625,1038.727198791504,0.2469689561331623,above,0.0,TQQQ,,0.005332519746628517,1.203855472918076
2010-03-09,65.27130290266851,1137.56005859375,1039.9023489379883,0.2466954786563391,above,0.11073354364252719,TQQQ,,0.017701847459578035,1.2251659388630498
2010-03-10,66.43804878531058,1140.219970703125,1041.1629486083984,0.2527997428949531,above,0.0,TQQQ,,0.024470539070320818,1.2551464098376244
2010-03-11,67.16713398531223,1143.9599609375,1042.4559985351561,0.2570670747794923,above,0.0,TQQQ,,0.009209433282397095,1.2667055969586642
2010-03-12,70.50812620706434,1151.7099609375,1043.6555484008788,0.2638895979872641,above,0.0,UVIX,enter_uvix_high_rsi,-0.010230582567048896,1.2537464607608357
2010-03-15,68.5521245885098,1148.530029296875,1044.9401983642579,0.2598700116770095,above,1.5232075613865415,TQQQ,exit_uvix,0.03950380002512888,1.303274210228945
2010-03-16,70.12376771009264,1150.8299560546875,1046.1585983276368,0.2624014310995993,above,0.5639354104956418,UVIX,enter_uvix_high_rsi,-0.01727307552445445,1.2807626563665866
2010-03-17,73.36380738221656,1159.93994140625,1047.360198059082,0.2655026951282031,above,0.0,UVIX,,-0.0735037033535485,1.1866218580067143
2010-03-18,75.26156717782348,1166.1300048828125,1048.4768978881837,0.2675119985546472,above,0.0,UVIX,,-0.023957745470795877,1.1581930735625066
2010-03-19,75.26238926893018,1166.6800537109375,1049.582347717285,0.2645347096236503,above,1.1129552868966774,UVIX,,0.023655185421993297,1.185590345472096
2010-03-22,66.9512374911291,1157.25,1050.7230477905273,0.2614335451970694,above,2.27221709322174,TQQQ,exit_uvix,0.13477846082712786,1.3453823874063278
2010-03-23,71.89290650080268,1166.469970703125,1051.8397979736328,0.2735408927162865,above,0.0,UVIX,enter_uvix_high_rsi,-0.03262001363169098,1.3014959955892964
2010-03-24,73.1182584187542,1172.699951171875,1053.010198059082,0.2754026165336184,above,0.0,UVIX,,0.05568994332259547,1.3739762338182493
2010-03-25,69.63035080799919,1170.030029296875,1054.1530978393555,0.280091067697814,above,0.0,UVIX,,0.0028720893839842,1.3779224163732453
