Date,gspc_open_implied_rsi14,uvix_high_rsi_state,close_to_open_return,open_to_close_return,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2010-02-12,43.0378122589776,False,-0.0272104352751004,0.0321781818828266,0.004092164272333276,above,above,1.0040921642723333
2010-02-16,44.48138382896311,False,0.0235078426410877,0.0148785678001617,0.038736173471820345,above,above,1.0429868525292818
2010-02-17,50.908889597757366,False,0.0133924423195286,0.0035302858725203,0.016970007341968074,above,above,1.06068634707428
2010-02-18,51.894853623923495,False,-0.0010199826983322,0.0199985213734683,0.01895814052934308,above,above,1.0807949878996699
2010-02-19,54.0708642844092,False,-0.0067978619080868,0.006844389120171,0.0,above,above,1.0807949878996699
2010-02-22,55.7495079333542,False,0.0118075042330167,-0.0186080862192008,-0.007020297042985568,above,above,1.0732074860420442
2010-02-23,54.669295747765624,False,-0.0054973742635479,-0.0337299737782212,-0.0390419217520106,above,above,1.0313074033483187
2010-02-24,49.66688732781187,False,0.0176285076198476,0.0123932014745242,0.030240182740999932,above,above,1.062494327687718
2010-02-25,51.599956256622306,False,-0.0319593342316779,0.0324255389100638,-0.0005700939572830244,above,above,1.0618886060918555
2010-02-26,52.38885222080758,False,-0.0029477683883308,0.0154683560514914,0.012474990532172603,above,above,1.0751356563990735
2010-03-01,53.348942640123695,False,0.0126566005956867,0.0298595935959475,0.042894115141727696,above,above,1.1212526490376324
2010-03-02,57.95909571186113,False,0.0088040250448135,-0.002767406357378,0.006012254372556036,above,above,1.127993905179549
2010-03-03,58.86472895239853,False,0.0112108517741742,-0.0055939833601194,0.005554155095777391,above,above,1.1342589582760076
2010-03-04,58.78030234093101,False,0.003501758076621,0.0075110516906964,0.011039111653239342,above,above,1.1467801695601034
2010-03-05,61.24140687428907,False,0.0213126927882603,0.0224114787884048,0.044201820539013115,above,above,1.197469940812698
2010-03-08,65.85538710725993,False,0.0009074640355419,0.0044210437728631,0.005332519746628517,above,above,1.203855472918076
2010-03-09,65.27130290266851,False,-0.0055040455828387,0.0233343262376737,0.017701847459578035,above,above,1.2251659388630498
2010-03-10,66.43804878531058,False,0.0013776540696508,0.0230611147620674,0.024470539070320818,above,above,1.2551464098376244
2010-03-11,67.16713398531223,False,-0.0060415052185256,0.0153436371649258,0.009209433282397095,above,above,1.2667055969586642
2010-03-12,70.50812620706434,True,0.0110270244099659,-0.0210257554583377,-0.010230582567048896,UVIX,above,1.2537464607608357
2010-03-15,68.5521245885098,True,0.0396029633712693,-0.0334427665628183,0.004835764149229815,UVIX,above,1.2598092829480068
2010-03-16,70.12376771009264,True,-0.0351546622395474,-0.0268463989443752,-0.061057285096685066,UVIX,above,1.1828887483916
