signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
QQQ,2010-02-12,160,14.0,0.4894784716263916,0.5858705484141558,-0.7321678567208875,622.2336689071285,0.12337183583189973,0.05160973212091423
QQQ,2010-02-12,160,13.0,0.4831726757087751,0.5882529637467545,-0.7321678567208876,581.0356053998198,0.12951585156058,0.045465716392233964
QQQ,2010-02-12,160,12.5,0.48240924482139635,0.5882759935869409,-0.7321678567208875,576.2252659054059,0.1297616121897272,0.04521995576308675
QQQ,2010-02-12,160,14.5,0.48181904532591013,0.584056480029366,-0.7321678567208874,572.532080196956,0.12165151142786926,0.053330056524944706
QQQ,2010-02-12,160,11.5,0.47411485271866627,0.5880407094735607,-0.7321678567208876,526.3151007124137,0.13025313344802164,0.04472843450479233
QQQ,2010-02-12,160,12.0,0.47411485271866627,0.5880407094735607,-0.7321678567208876,526.3151007124137,0.13025313344802164,0.04472843450479233
QQQ,2010-02-12,160,10.0,0.4734873084907638,0.5902358166223313,-0.7538881099788342,522.7089293959966,0.13516834603096584,0.03981322192184812
QQQ,2010-02-12,160,15.0,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
QQQ,2010-02-12,160,15.5,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
QQQ,2010-02-12,160,16.0,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
