Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
1992-08-18,GSPC,421.3399963378906,412.2885627746582,False,,False,above,flat,0.0,1.0,-0.009471988372371634,0.9905280116276284
1992-08-19,GSPC,418.19000244140625,412.29437522888185,False,,False,above,above,-0.009471988372371634,0.9905280116276284,-0.009505991693975736,0.9811120605764458
1992-08-20,GSPC,418.260009765625,412.2876253128052,False,,False,above,above,-0.009505991693975736,0.9811120605764458,0.012329290983193332,0.9932084766584133
1992-08-21,GSPC,414.8500061035156,412.2681879043579,False,,False,above,above,0.012329290983193332,0.9932084766584133,-0.027623960871378205,0.9657721245620802
1992-08-24,GSPC,410.7200012207031,412.22643795013425,True,410.7200012207031,False,cash_wait,above,-0.027623960871378205,0.9657721245620802,-0.05084168991395367,0.9166706376775546
1992-08-25,GSPC,411.6099853515625,412.18587532043455,True,410.7200012207031,False,cash_wait,cash_wait,0.0,0.9657721245620802,0.016393281029469617,0.9316978770524659
1992-08-26,GSPC,413.510009765625,412.1602504730225,False,,False,above,cash_wait,0.0,0.9657721245620802,0.028360042439267274,0.9581208683862491
1992-08-27,GSPC,413.5299987792969,412.1504379272461,False,,False,above,above,0.028360042439267274,0.9931614630013221,0.02068652122962557,0.9779410560706686
1992-08-28,GSPC,414.8399963378906,412.15356292724607,False,,False,above,above,0.02068652122962557,1.013706518690145,0.009582218869841046,0.9873119013117413
1992-08-31,GSPC,414.0299987792969,412.1135004043579,False,,False,above,above,0.009582218869841046,1.0234200764220187,-0.004066062491481916,0.9832974294224239
1992-09-01,GSPC,416.07000732421875,412.0841255187988,False,,False,above,above,-0.004066062491481916,1.0192587864362497,0.020459498024934547,1.0034152012376154
1992-09-02,GSPC,417.9800109863281,412.08268814086915,False,,False,above,above,0.020459498024934547,1.0401123095642395,0.030201775730829872,1.0337201221102994
1992-09-03,GSPC,417.9800109863281,412.07718830108644,False,,False,above,above,0.030201775730829872,1.0715255482725743,0.0075771465151792654,1.0415527709312182
1992-09-04,GSPC,417.0799865722656,412.0816883087158,False,,False,above,above,0.0075771465151792654,1.0796446543465934,-0.0057311734724815105,1.0355834513202675
