comparison,overlap_start,overlap_end,days,daily_return_corr,daily_return_mae_bps,actual_final_multiple,proxy_final_multiple
uvix_vs_synth_longvol_2x,2022-03-30,2026-04-24,1021,0.9936991366746456,59.049942085033855,0.0007739413755336103,0.0009995239830056957
uvix_vs_return_stitched_longvol_2x,2022-03-31,2026-04-24,1020,1.0,0.0,0.0007739413755336089,0.0007739413755336089
