dataset,vol_label,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.4,0.9318651180216928,648523.1914618947,-0.7299946144203822,279,532,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.5,0.9318651180216928,648523.1914618947,-0.7299946144203822,279,532,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.6,0.9318651180216928,648523.1914618947,-0.7299946144203822,279,532,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.7,0.9318651180216928,648523.1914618947,-0.7299946144203822,279,532,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.3,0.9307882773856333,641215.971446901,-0.7299946144203819,279,533,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.2,0.928842706615205,628211.7811045244,-0.7299946144203819,279,535,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.8,0.927475576195967,619224.3179590545,-0.7299946144203817,279,529,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,65.9,0.927475576195967,619224.3179590545,-0.7299946144203817,279,529,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.4,66.0,0.9157812603803814,547185.8953668044,-0.7299946144203819,279,525,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,69.5,65.4,0.913460262953899,533869.7880433451,-0.7299946144203818,277,529,2005-12-20,2026-04-17
