dataset,vol_label,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
strict_uvix,UVIX,71.0,68.0,0.5276516957063702,5.561172256622139,-0.43648406430558284,57,78,2022-03-30,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,71.0,68.0,0.9541185757604413,28009.617717735284,-0.7334224374093581,183,284,2011-01-03,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,71.0,68.0,0.944853111967394,26046.923659397227,-0.7357105409736145,183,284,2011-01-03,2026-04-17
