dataset,vol_label,execution_timing,entry,exit,cagr,final_multiple,max_drawdown,trade_count,vol_days,start_date,end_date
strict_uvix,UVIX,near_close,71.0,68.0,0.527651966353244,5.561176246164515,-0.4364840643055826,57,78,2022-03-30,2026-04-17
synthetic_uvix_longvol_2x,UVIX_LONGVOL_2X_SYNTH,near_close,71.0,68.0,0.8282076564922871,211427.80896640048,-0.7334224553725813,240,356,2005-12-20,2026-04-17
stitched_uvix_longvol_2x,UVIX_LONGVOL_2X_STITCHED,near_close,71.0,68.0,0.8216840825858787,196612.6083946681,-0.7357105587826549,240,356,2005-12-20,2026-04-17
