execution_timing,episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
near_close,0,1,2011-01-03,2011-01-18,11,2011-01-19,12,69.4,66.5,1.148921343323697,1.148921343323697,-0.21623180342283455,3832,True,0.0,0.0,114.89213433236971,114.89213433236971,-21.623180342283455
near_close,1,2,2011-01-26,2011-01-27,2,2011-01-28,3,69.4,66.5,1.0928942652301221,1.0928942652301221,0.14077065152175283,3841,True,0.0,0.0,109.28942652301221,109.28942652301221,14.077065152175283
near_close,2,3,2011-02-08,2011-02-18,9,2011-02-22,10,69.3,67.7,1.0778824699342944,1.0736392438816549,0.34023025254000183,3834,False,-0.10000000000000853,1.2000000000000028,107.78824699342944,107.36392438816549,34.02302525400018
near_close,3,4,2012-01-25,2012-01-25,1,2012-01-26,2,69.4,66.5,1.1046512244063882,1.1046512244063882,0.044321572890844596,3842,True,0.0,0.0,110.46512244063882,110.46512244063882,4.43215728908446
near_close,4,5,2012-02-03,2012-02-14,8,2012-02-15,9,69.4,66.5,1.069662618087695,1.069662618087695,0.37597075196387686,3835,True,0.0,0.0,106.96626180876949,106.96626180876949,37.597075196387685
near_close,5,6,2012-02-16,2012-02-28,8,2012-02-29,9,69.4,66.5,1.1333862340507905,1.1333862340507905,-0.1326671015186518,3835,True,0.0,0.0,113.33862340507905,113.33862340507905,-13.26671015186518
near_close,6,7,2012-03-01,2012-03-01,1,2012-03-02,2,69.4,65.4,1.1050224185950568,1.1045909458849792,0.04477768811300753,3842,False,0.0,-1.0999999999999943,110.50224185950567,110.45909458849792,4.477768811300753
near_close,7,8,2012-03-13,2012-03-21,7,2012-03-22,8,69.4,66.5,1.1433473399146243,1.1433473399146243,-0.1944650281243614,3836,True,0.0,0.0,114.33473399146243,114.33473399146243,-19.44650281243614
near_close,8,9,2012-03-26,2012-03-27,2,2012-03-28,3,69.6,67.7,1.0925270883490787,1.0745051681816538,0.30502134585064633,3841,False,0.19999999999998863,1.2000000000000028,109.25270883490788,107.45051681816537,30.50213458506463
near_close,9,10,2012-09-13,2012-09-24,8,2012-09-25,9,69.3,67.7,1.1203406964541256,1.1007279034342066,0.09684009393246118,3835,False,-0.10000000000000853,1.2000000000000028,112.03406964541256,110.07279034342065,9.684009393246118
near_close,10,11,2013-01-22,2013-01-30,7,2013-01-31,8,69.4,66.5,1.1013532018586778,1.1013532018586778,0.08867078763768044,3836,True,0.0,0.0,110.13532018586778,110.13532018586778,8.867078763768044
near_close,11,12,2013-02-01,2013-02-01,1,2013-02-04,2,69.4,65.4,1.1002961980103723,1.0877212457163719,0.18116785469571006,3842,False,0.0,-1.0999999999999943,110.02961980103723,108.77212457163719,18.116785469571006
near_close,12,13,2013-02-19,2013-02-19,1,2013-02-20,2,69.4,66.5,1.0852719600647611,1.0852719600647611,0.20249743504329443,3842,True,0.0,0.0,108.52719600647612,108.52719600647612,20.249743504329444
near_close,13,14,2013-03-14,2013-03-15,2,2013-03-18,3,69.4,66.5,1.0941469822335135,1.0941469822335135,0.13041353511287834,3841,True,0.0,0.0,109.41469822335135,109.41469822335135,13.041353511287834
