method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,average_tqqq_weight,weight_changes,total_turnover
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",0,0.41608080544251336,0.4020930336319135,0.4457051422826285,-0.5316048869501026,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,37702991.84121797,0.6649613013249377,54,60.763536591864685
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",1,0.41195425197017665,0.4086563118964357,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,34513311.2146069,0.6648301193755739,54,60.74721931334652
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.03,"{""reentry_band_vs_spy_sma150"": -0.03}",0,0.36665542902871606,0.3279556296938304,0.4794471557862245,-0.6837622403420343,-0.36370381980889077,0.5098486914717906,0.04689283457770266,12854035.614353858,0.7297651843106389,146,151.51946376428663
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.03,"{""reentry_band_vs_spy_sma150"": -0.03}",1,0.3431183405078142,0.3024739893170194,0.4814194858258018,-0.7650436206217055,-0.399064783596804,0.4895834567008366,0.035706076300868306,7594741.790893723,0.7296340023612751,146,151.49538510952914
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.02,"{""reentry_band_vs_spy_sma150"": -0.02}",0,0.37099706178990943,0.36359428752942136,0.47130535715341226,-0.6849428469433047,-0.3661093563299286,0.5957170369484981,0.10643188382440472,14150214.677088492,0.7173028991210809,156,161.77837463008274
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.02,"{""reentry_band_vs_spy_sma150"": -0.02}",1,0.33312076577572736,0.31078695976741666,0.4734722812422988,-0.7384799465701767,-0.40743189724367934,0.6750657790150252,0.16467177298810265,6056617.92001676,0.7171717171717171,156,161.75774215975963
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.01,"{""reentry_band_vs_spy_sma150"": -0.01}",0,0.3577522375974902,0.33621848222329076,0.46359613484495066,-0.7055723513183974,-0.24620662544111305,0.46504862416257975,0.015829543454872974,10545392.251072919,0.7041847041847041,132,138.03601753951182
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.01,"{""reentry_band_vs_spy_sma150"": -0.01}",1,0.34329266195379504,0.34168259397605216,0.4646791747539056,-0.7151997084267492,-0.431376806731791,0.510654033459178,0.0503564299159065,7624655.265160146,0.7040535222353405,132,138.03304508682317
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.00,"{""reentry_band_vs_spy_sma150"": 0.0}",0,0.37423412906785103,0.3631299019807157,0.45752762330817215,-0.5974607170732527,-0.2310135761888068,0.46504862416257975,0.015829543454872974,15197973.407726696,0.6915912370457825,132,138.26923677190774
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.00,"{""reentry_band_vs_spy_sma150"": 0.0}",1,0.3701326629898738,0.3791764565305018,0.4589263552376287,-0.6138187053035711,-0.3707790080622211,0.510654033459178,0.0503564299159065,13882465.831826145,0.6914600550964187,132,138.2428719730109
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.01,"{""reentry_band_vs_spy_sma150"": 0.01}",0,0.37966747214388796,0.35693836651483446,0.451343127115509,-0.5889375340570833,-0.2310135761888068,0.44381635933654917,0.0011076007636754426,17127445.38896195,0.6792601338055884,110,116.49209897601978
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.01,"{""reentry_band_vs_spy_sma150"": 0.01}",1,0.39308816175673456,0.38215881637493054,0.4527740959188537,-0.5581243686000283,-0.3707790080622211,0.5035365075253364,0.04540762035122725,22963328.973521333,0.6791289518562246,110,116.47906134093485
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.02,"{""reentry_band_vs_spy_sma150"": 0.02}",0,0.4139180453603135,0.4068188882422521,0.44739413917698506,-0.5231260810188005,-0.2310135761888068,0.39813986200852547,-0.030563385893075057,35997281.37466339,0.6715203987931261,76,82.63340608189702
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.02,"{""reentry_band_vs_spy_sma150"": 0.02}",1,0.39435472006175276,0.381761822731578,0.44993424323615966,-0.5884587110170767,-0.3707790080622211,0.3958414126247751,-0.02947268506204026,23604193.987215284,0.6713892168437623,76,82.61870533449536
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.04_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.05}",0,0.40227750051359434,0.3845153000248096,0.45199748506373433,-0.5792799589131755,-0.2310135761888068,0.4286744696665792,-0.009391422010590178,28023495.22242142,0.6776859504132231,140,146.50922008964187
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.04_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.05}",1,0.40525666566729823,0.40907155690255714,0.4556683504656977,-0.5808036696279634,-0.3707790080622211,0.5877116233244541,0.10393450483983813,29884069.82346872,0.6775547684638594,140,146.4844035166249
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.04_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.08}",0,0.3865953609912194,0.3589742714966684,0.4538278582386265,-0.6400639451462187,-0.2310135761888068,0.4286744696665792,-0.009391422010590178,19933419.19012325,0.6792601338055884,150,156.4497389179451
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.04_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.08}",1,0.395551711163451,0.3929965116958205,0.45660358654298505,-0.6448225191966888,-0.3707790080622211,0.5877116233244541,0.10393450483983813,24225732.700010374,0.6791289518562246,150,156.4442859789898
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.06_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.05}",0,0.39553082184540944,0.365635443947691,0.4488978899289626,-0.5970097223062302,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,24214751.453100804,0.6677161222615768,82,88.70209364647187
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.06_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.05}",1,0.4129371054128359,0.3990624207175655,0.45022120527907006,-0.6149627710584818,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,35248468.23540662,0.667584940312213,82,88.69485995094415
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.06_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.08}",0,0.3887790158887261,0.3547136998476996,0.4496199525363204,-0.5970097223062304,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,20906518.09406391,0.6682408500590319,88,94.68117612753784
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.06_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.08}",1,0.4080563444698915,0.39107004359879016,0.45043899904461826,-0.6149627710584816,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,31741054.01130126,0.6681096681096681,88,94.6855162896521
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.08_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.05}",0,0.40952942708198026,0.3922114116360236,0.4462753691441151,-0.5316048869501024,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,32762436.764038432,0.6652236652236653,58,64.75934222874426
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.08_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.05}",1,0.4141039451139217,0.41096772049331576,0.44806140121723015,-0.5986999094008923,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,36140913.7479478,0.6650924832743015,58,64.7425181257612
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.08_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.08}",0,0.40952942708198026,0.3922114116360236,0.4462753691441151,-0.5316048869501024,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,32762436.764038432,0.6652236652236653,58,64.75934222874426
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.08_0.08,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.08}",1,0.4141039451139217,0.41096772049331576,0.44806140121723015,-0.5986999094008923,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,36140913.7479478,0.6650924832743015,58,64.7425181257612
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.10_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.1, ""spy_trend_floor"": 0.05}",0,0.41556365883958923,0.4020930336319135,0.44571855691778306,-0.5316048869501024,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,37288159.93002721,0.6650924832743015,56,62.76080831459778
B_drawdown_rebound,B: Rebound from recent low,rebound_5_0.10_0.05,"{""ndx_low_lookback"": 5, ""rebound_threshold"": 0.1, ""spy_trend_floor"": 0.05}",1,0.4127043078648789,0.4086563118964357,0.4480229656623937,-0.5986999094008923,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,35072983.28142417,0.6649613013249377,56,62.74608793307884
