method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,average_tqqq_weight,weight_changes,total_turnover
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",0,0.41608080544251336,0.4020930336319135,0.4457051422826285,-0.5316048869501026,-0.2310135761888068,0.33408353067595264,-0.07497850818989038,37702991.84121797,0.6649613013249377,54,60.763536591864685
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",1,0.41195425197017665,0.4086563118964357,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.3356841873010221,-0.07129995128262956,34513311.2146069,0.6648301193755739,54,60.74721931334652
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.00,"{""entry_tolerance"": 0.0, ""exit_tolerance"": 0.03}",0,0.36742346857183117,0.33195341367792364,0.46610381647743454,-0.6583594748009733,-0.2310135761888068,0.46504862416257975,0.015829543454872974,13074650.17828375,0.7056277056277056,84,89.99125807976534
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.00,"{""entry_tolerance"": 0.0, ""exit_tolerance"": 0.03}",1,0.34513393633420475,0.31995227134754023,0.4685423293764642,-0.6880259372787018,-0.394528818511214,0.510654033459178,0.0503564299159065,7947655.447426171,0.7054965236783418,84,89.9704554134232
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.01,"{""entry_tolerance"": 0.01, ""exit_tolerance"": 0.03}",0,0.3603735875460936,0.30757016815527427,0.4617135351793373,-0.6884160382302577,-0.25945045233332686,0.44381635933654917,0.0011076007636754426,11179828.341178512,0.6951331496786042,78,84.19587171444351
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.01,"{""entry_tolerance"": 0.01, ""exit_tolerance"": 0.03}",1,0.3490797726452888,0.3025268602986131,0.46379059347659124,-0.6795004725183718,-0.3707790080622211,0.5035365075253364,0.04540762035122725,8685009.426284518,0.6950019677292405,78,84.17759875109547
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.02,"{""entry_tolerance"": 0.02, ""exit_tolerance"": 0.03}",0,0.3963565434984957,0.3718577754067707,0.4540278087146426,-0.5933584454913726,-0.25945045233332686,0.39813986200852547,-0.030563385893075057,24652509.13386102,0.6813590449954087,66,72.43311423492875
A_asymmetric_reentry,A: Faster re-entry,asym_entry_0.02,"{""entry_tolerance"": 0.02, ""exit_tolerance"": 0.03}",1,0.38792322807272583,0.3689520374865187,0.4558798695212247,-0.6187762433256292,-0.3707790080622211,0.3958414126247751,-0.02947268506204026,20519802.086911824,0.6812278630460449,66,72.41687395392535
B_exit_confirmation,B: Confirmed exit,confirm_exit_2d,"{""exit_confirmation_days"": 2}",0,0.41222493388799797,0.4065565566411278,0.45007606160094665,-0.5972177554779933,-0.3392857563953485,0.3997128914229351,-0.02947268506204026,34714283.71120899,0.6683720320083957,48,54.68708861603207
B_exit_confirmation,B: Confirmed exit,confirm_exit_2d,"{""exit_confirmation_days"": 2}",1,0.3897521756261235,0.40211120006631473,0.45601183133575546,-0.6089668868857527,-0.3356541340963066,0.30589190520592235,-0.09201449899995273,21354837.576092646,0.6682408500590319,48,54.673383569151035
B_exit_confirmation,B: Confirmed exit,confirm_exit_3d,"{""exit_confirmation_days"": 3}",0,0.39370635317836067,0.4007822337885989,0.4578541063768733,-0.5985047696451806,-0.33154928761238533,0.3684924564504415,-0.05112018513917882,23273996.463916577,0.6713892168437623,48,54.62213885381403
B_exit_confirmation,B: Confirmed exit,confirm_exit_3d,"{""exit_confirmation_days"": 3}",1,0.41476584962328555,0.4012626842675442,0.4614631359957796,-0.5672706519745582,-0.33154928761238533,0.31707052994259555,-0.08424201098501294,36656836.5013448,0.6712580348943985,48,54.59304938692206
B_exit_confirmation,B: Confirmed exit,confirm_exit_5d,"{""exit_confirmation_days"": 5}",0,0.42896781680067564,0.40331080278649334,0.4680692661848348,-0.5672706519745585,-0.33154928761238533,0.29674712236810064,-0.10086667734693044,49607465.4319538,0.6774235865144956,48,54.48238268035327
B_exit_confirmation,B: Confirmed exit,confirm_exit_5d,"{""exit_confirmation_days"": 5}",1,0.430330620759551,0.4215034701237148,0.46880043199295224,-0.5672706519745583,-0.4311910488267453,0.14556248644980374,-0.2034914038141875,51060672.16804068,0.6772924045651318,48,54.47416847404319
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.10,"{""riskoff_tqqq_weight"": 0.1}",0,0.41530564510683887,0.4066518916384372,0.4486778372234788,-0.5107655840901886,-0.28121698867333866,0.4199990749610769,-0.056303461603918414,37082846.59133181,0.6984520529975076,55,64.34007850247278
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.10,"{""riskoff_tqqq_weight"": 0.1}",1,0.41180528791154436,0.4124641893977201,0.4509528241761784,-0.5746204719029955,-0.5031615148760108,0.4215046681873531,-0.05294528356064332,34403190.69626581,0.6983208710481438,55,64.284834144907
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.20,"{""riskoff_tqqq_weight"": 0.2}",0,0.4075525815342189,0.4071032927769993,0.462512573595913,-0.5427223139819396,-0.5427223139819406,0.5097324104624714,-0.037573395572745416,31398881.301534206,0.7319428046700774,55,67.93690709443979
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.20,"{""riskoff_tqqq_weight"": 0.2}",1,0.40472447348597185,0.4121700444146137,0.4646495807289131,-0.6709958745574445,-0.6709958745574447,0.5111285880060883,-0.034546933993036544,29543161.637298167,0.7318116227207135,55,67.84298362304526
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.30,"{""riskoff_tqqq_weight"": 0.3}",0,0.3929984948417007,0.40347286700121865,0.4862833915765216,-0.7379484785906525,-0.7379484785906525,0.6033494941216235,-0.018796459780341723,22918601.871289924,0.7654335563426472,55,69.38458409272317
C_partial_riskoff,C: Partial TQQQ off,partial_riskoff_0.30,"{""riskoff_tqqq_weight"": 0.3}",1,0.3908784596006931,0.40780603872553267,0.488203120465483,-0.800857084818625,-0.800857084818625,0.6046219471853247,-0.016112628304170817,21885308.512105595,0.7653023743932834,55,69.26445072191349
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",0,0.331053825262966,0.35174480367709404,0.4817113204131243,-0.7440475432347056,-0.4659315379540441,0.6313832931502643,0.13116200960770108,5778549.629520447,0.7344877344877345,238,243.44740635681563
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",1,0.3101983896175897,0.3454390356733241,0.48507459913416356,-0.7661347051199052,-0.6788132830306539,0.6997352252718045,0.1818244174218111,3581597.984961532,0.7343565525383707,238,243.42620358194222
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",0,0.3518471875465028,0.36708689099975955,0.49588357383034104,-0.742807726729737,-0.571687538057265,0.6624766027594302,0.13116200960770108,9241171.758320339,0.7514102059556605,268,273.14222079748913
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",1,0.2910673954526872,0.3524990981895746,0.4978553415611348,-0.7915210636345438,-0.791521063634543,0.7287757299191531,0.1818244174218111,2293946.3676957954,0.7512790240062968,268,273.13482160078445
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",0,0.29686904066864206,0.36801159607524236,0.505319656183542,-0.8941930040919622,-0.8941930040919623,0.7100832054452837,0.13116200960770108,2627623.776697029,0.7615112160566706,292,296.98631783042026
D_shallow_rebound,D: Shallow rebound,rebound_10_0.05_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.05}",1,0.248934222206318,0.3584637622692728,0.5092508834522613,-0.9399699195460879,-0.9399699195460879,0.7369354927460421,0.1818244174218111,839714.8322188223,0.7613800341073068,292,296.98085992521044
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",0,0.3053766253346477,0.30760425160205074,0.48761807190783696,-0.7653772687683255,-0.4659315379540441,0.6313832931502643,0.13116200960770108,3203143.906389743,0.7419651056014692,264,269.2797172821062
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",1,0.31210929433788426,0.35427925893195056,0.4894216135118088,-0.7940583155139431,-0.7022200327948794,0.6997352252718045,0.1818244174218111,3743247.732443102,0.7418339236521054,264,269.2582331443841
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",0,0.312486904545654,0.30058242695459403,0.5028629970319147,-0.7909570838270333,-0.571687538057265,0.6624766027594302,0.13116200960770108,3776015.3881706535,0.761248852157943,300,304.91538206347207
