candidate_id,label,delay,year,annual_return
downside_70_0.25,Downside: highest worst-delay CAGR,0,2006,-0.007919074523392022
downside_70_0.25,Downside: highest worst-delay CAGR,0,2007,-0.03305313913875496
downside_70_0.25,Downside: highest worst-delay CAGR,0,2008,0.07844311829155215
downside_70_0.25,Downside: highest worst-delay CAGR,0,2009,1.0120942199865421
downside_70_0.25,Downside: highest worst-delay CAGR,0,2010,0.2875864865538156
downside_70_0.25,Downside: highest worst-delay CAGR,0,2011,-0.03817491043008281
downside_70_0.25,Downside: highest worst-delay CAGR,0,2012,0.5228695775765473
downside_70_0.25,Downside: highest worst-delay CAGR,0,2013,1.3973341234426861
downside_70_0.25,Downside: highest worst-delay CAGR,0,2014,0.570908293769264
downside_70_0.25,Downside: highest worst-delay CAGR,0,2015,-0.14435386983037923
downside_70_0.25,Downside: highest worst-delay CAGR,0,2016,0.13268202210339464
downside_70_0.25,Downside: highest worst-delay CAGR,0,2017,1.1806179685418834
downside_70_0.25,Downside: highest worst-delay CAGR,0,2018,0.02055172062915611
downside_70_0.25,Downside: highest worst-delay CAGR,0,2019,0.4792082385984575
downside_70_0.25,Downside: highest worst-delay CAGR,0,2020,0.7828618853678413
downside_70_0.25,Downside: highest worst-delay CAGR,0,2021,0.8298131140963454
downside_70_0.25,Downside: highest worst-delay CAGR,0,2022,-0.5386959003215066
downside_70_0.25,Downside: highest worst-delay CAGR,0,2023,0.7100353630065541
downside_70_0.25,Downside: highest worst-delay CAGR,0,2024,0.5826772248162537
downside_70_0.25,Downside: highest worst-delay CAGR,0,2025,0.04691325052966944
downside_70_0.25,Downside: highest worst-delay CAGR,0,2026,0.11006295684470091
downside_70_0.25,Downside: highest worst-delay CAGR,1,1996,0.8343878613137627
downside_70_0.25,Downside: highest worst-delay CAGR,1,1997,0.33005555646261886
downside_70_0.25,Downside: highest worst-delay CAGR,1,1998,1.4897856104855514
downside_70_0.25,Downside: highest worst-delay CAGR,1,1999,2.4368399456240457
downside_70_0.25,Downside: highest worst-delay CAGR,1,2000,0.35692980363889903
downside_70_0.25,Downside: highest worst-delay CAGR,1,2001,0.03709045650476828
downside_70_0.25,Downside: highest worst-delay CAGR,1,2002,0.08517898892944653
downside_70_0.25,Downside: highest worst-delay CAGR,1,2003,0.7386926783502008
downside_70_0.25,Downside: highest worst-delay CAGR,1,2004,0.10012005215727982
downside_70_0.25,Downside: highest worst-delay CAGR,1,2005,-0.049836942161382236
downside_70_0.25,Downside: highest worst-delay CAGR,1,2006,0.05435624259368166
downside_70_0.25,Downside: highest worst-delay CAGR,1,2007,0.15419317181348235
downside_70_0.25,Downside: highest worst-delay CAGR,1,2008,0.14221432885646879
downside_70_0.25,Downside: highest worst-delay CAGR,1,2009,1.0318139067673675
downside_70_0.25,Downside: highest worst-delay CAGR,1,2010,0.2606433221489415
downside_70_0.25,Downside: highest worst-delay CAGR,1,2011,0.10911884992101584
downside_70_0.25,Downside: highest worst-delay CAGR,1,2012,0.5228695775765473
downside_70_0.25,Downside: highest worst-delay CAGR,1,2013,1.3973341234426861
downside_70_0.25,Downside: highest worst-delay CAGR,1,2014,0.570908293769264
downside_70_0.25,Downside: highest worst-delay CAGR,1,2015,-0.242530841173198
downside_70_0.25,Downside: highest worst-delay CAGR,1,2016,0.08525347809064177
downside_70_0.25,Downside: highest worst-delay CAGR,1,2017,1.1806179685418834
downside_70_0.25,Downside: highest worst-delay CAGR,1,2018,0.07945670497974877
downside_70_0.25,Downside: highest worst-delay CAGR,1,2019,0.49871041166300145
downside_70_0.25,Downside: highest worst-delay CAGR,1,2020,0.7787288530690506
downside_70_0.25,Downside: highest worst-delay CAGR,1,2021,0.8298131140963454
downside_70_0.25,Downside: highest worst-delay CAGR,1,2022,-0.5085741985413601
downside_70_0.25,Downside: highest worst-delay CAGR,1,2023,0.7409501805751257
downside_70_0.25,Downside: highest worst-delay CAGR,1,2024,0.5826772248162537
downside_70_0.25,Downside: highest worst-delay CAGR,1,2025,0.020868397084597978
downside_70_0.25,Downside: highest worst-delay CAGR,1,2026,0.06580260888283984
downside_55_0.20,Downside: broad-neighborhood representative,0,1996,0.775272514324856
downside_55_0.20,Downside: broad-neighborhood representative,0,1997,0.21279712773317683
downside_55_0.20,Downside: broad-neighborhood representative,0,1998,0.8917228872110088
downside_55_0.20,Downside: broad-neighborhood representative,0,1999,1.8636065068347571
downside_55_0.20,Downside: broad-neighborhood representative,0,2000,-0.1746808171459816
downside_55_0.20,Downside: broad-neighborhood representative,0,2001,0.03709045650476828
downside_55_0.20,Downside: broad-neighborhood representative,0,2002,0.08517898892944653
downside_55_0.20,Downside: broad-neighborhood representative,0,2003,1.3883057291177288
downside_55_0.20,Downside: broad-neighborhood representative,0,2004,0.019002190602954938
downside_55_0.20,Downside: broad-neighborhood representative,0,2005,-0.049836942161382236
downside_55_0.20,Downside: broad-neighborhood representative,0,2006,-0.007919074523392022
downside_55_0.20,Downside: broad-neighborhood representative,0,2007,-0.03305313913875496
downside_55_0.20,Downside: broad-neighborhood representative,0,2008,0.07844311829155215
downside_55_0.20,Downside: broad-neighborhood representative,0,2009,1.3808316642771215
downside_55_0.20,Downside: broad-neighborhood representative,0,2010,0.3700546152394484
downside_55_0.20,Downside: broad-neighborhood representative,0,2011,0.013534945902814233
downside_55_0.20,Downside: broad-neighborhood representative,0,2012,0.5228695775765473
downside_55_0.20,Downside: broad-neighborhood representative,0,2013,1.3973341234426861
downside_55_0.20,Downside: broad-neighborhood representative,0,2014,0.570908293769264
downside_55_0.20,Downside: broad-neighborhood representative,0,2015,-0.14435386983037923
downside_55_0.20,Downside: broad-neighborhood representative,0,2016,0.13268202210339464
downside_55_0.20,Downside: broad-neighborhood representative,0,2017,1.1806179685418834
