method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_hard_requirements,solves_2026,passes_all_requirements,tqqq_2026_capture_ratio,keeps_full_max_drawdown_near_60pct,strong_2026_solution
Baseline,Baseline,baseline,"{""ma_window"": 150, ""tolerance"": 0.03, ""vol_threshold"": 0.32, ""vol_window"": 40}",0.41195425197017665,0.414017528706345,0.4020930336319135,0.33408353067595264,-0.07497850818989038,0.44801752701271347,-0.5986999094008929,-0.3707790080622211,0.6648301193755739,0.6649613013249377,60.74721931334652,60.763536591864685,0.41195425197017665,0.41608080544251336,0.0041265534723367026,True,True,False,False,-0.6624692340401152,True,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.01,"{""reentry_band_vs_spy_sma150"": 0.01}",0.37966747214388796,0.38637781695031126,0.35693836651483446,0.44381635933654917,0.0011076007636754426,0.4527740959188537,-0.5889375340570833,-0.3707790080622211,0.6791289518562246,0.6792601338055884,116.47906134093485,116.49209897601978,0.37966747214388796,0.39308816175673456,0.013420689612846592,True,True,True,True,0.009786156690074708,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_20_0.08_0.05,"{""ndx_low_lookback"": 20, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.05}",0.401907037749204,0.4038990419187538,0.398153161330552,0.46504862416257975,0.015829543454872974,0.45460194930858544,-0.5227222553884431,-0.3707790080622211,0.6804407713498623,0.680571953299226,110.42417533741497,110.44369439267115,0.401907037749204,0.4058910460883036,0.003984008339099621,True,True,True,True,0.13986121864676365,True,False
C_ndx_short_trend,C: Nasdaq short trend,short_3_confirm_5_floor_0.08,"{""confirmation_days"": 5, ""ndx_sma"": 3, ""spy_floor_vs_sma150"": -0.08}",0.4040720911506859,0.40577893481615135,0.39864092805949713,0.5328691900415947,0.06580260888283984,0.45142298894475946,-0.5891477182119333,-0.3707790080622211,0.6737504919323101,0.6738816738816739,102.59239121851186,102.59805421317179,0.4040720911506859,0.4074857784816168,0.003413687330930948,True,True,True,True,0.5813959887552668,True,True
D_staged_reentry,D: Staged re-entry,score_4_weight_1.00,"{""reentry_weight"": 1.0, ""score_threshold"": 4}",0.35985237946871385,0.37603971195094577,0.33024861084067525,0.5790301640465889,0.09486160676870292,0.4620714594591169,-0.6841226657639596,-0.3707790080622211,0.6984126984126984,0.6985438803620622,318.1047454998006,318.12639121192484,0.35985237946871385,0.3922270444331777,0.03237466496446384,True,True,True,True,0.8381454565183061,False,False
E_timed_rebound,E: Timed rebound window,timed_10_10_0.50,"{""holding_days"": 10, ""ndx_sma_cross"": 10, ""reentry_weight"": 0.5}",0.3756017678230479,0.37796419694050687,0.33087571777293445,0.4773359264753394,0.024349263887904815,0.46273150203009755,-0.6109423349247123,-0.3707790080622211,0.7028728846910665,0.7030040666404302,98.30430290598292,98.33632817892328,0.3756017678230479,0.38032662605796586,0.004724858234917972,True,True,True,True,0.21513682502736017,False,False
