start_year,available,start_date,end_date,trading_days,calendar_years,note,buy_hold_total_return,buy_hold_cagr,buy_hold_volatility,strategy_delay_0_total_return,strategy_delay_0_cagr,strategy_delay_0_volatility,strategy_delay_1_total_return,strategy_delay_1_cagr,strategy_delay_1_volatility
1995,False,,2026-04-17,0,,N/A: current simulation starts in 1996,,,,,,,,,
1996,True,1996-01-02,2026-04-17,7623,30.28946521831386,,39.27049207083934,0.12976544946260127,0.8203289080728264,37701.991841217736,0.4160808054425129,0.4457051422826285,34512.3112146066,0.4119542519701762,0.44801752701271347
1997,True,1997-01-02,2026-04-17,7369,29.287391253756066,,16.176596621075177,0.10196086162430662,0.8248831673099959,21236.861532237108,0.40522718241864153,0.4476933244284317,18813.62036599432,0.3994262761049996,0.45011791380950034
1998,True,1998-01-02,2026-04-17,7116,28.28805519620526,,11.914194852700446,0.09465409931143487,0.825363176199663,10910.437135213533,0.38912583761914976,0.4339545794706875,10679.516649322295,0.38807583257432055,0.43652667163555003
1999,True,1999-01-04,2026-04-17,6864,27.283243324640477,,1.9517108894039232,0.040469601953199374,0.8195370674634013,4095.3133153950066,0.35644866636541495,0.42425420191532465,4573.774133189575,0.36195206599478724,0.42651452726140304
2000,True,2000-01-03,2026-04-17,6612,26.286645174096662,,-0.47174484472178735,-0.02398524007872649,0.8116110883878738,1497.2105716631922,0.32070419930295846,0.41848457869468575,1424.8109749647451,0.31821800167020275,0.42141204929144377
2001,True,2001-01-02,2026-04-17,6360,25.287309116545856,,4.8794313067261506,0.0725653724444042,0.7548889728279069,1378.4023166297968,0.33094692616456256,0.42373837761458205,1975.4372895816352,0.3500114011348967,0.42577414875311004
2002,True,2002-01-02,2026-04-17,6112,24.28797305899505,,49.00173881033041,0.17476690751563462,0.6915168098255103,1329.0694341347053,0.3446775562785003,0.4319288553749223,1904.7520751301531,0.36473709728995174,0.4340050549225475
2003,True,2003-01-02,2026-04-17,5860,23.288637001444247,,364.77045031673805,0.2884353421101926,0.6529932388987901,1224.6682516926126,0.3571031784947456,0.44080758550926913,1755.1638168190213,0.3782235342005056,0.4429274748157965
2004,True,2004-01-02,2026-04-17,5608,22.28930094389344,,135.5530408456787,0.24680744641660435,0.6472419320260869,512.1957088866463,0.3231092144147232,0.4334770110253653,736.2069051707044,0.34478599526545395,0.4357381395569695
2005,True,2005-01-03,2026-04-17,5356,21.284489072328657,,113.59389909122828,0.2495242796660313,0.6514050893828499,495.0740108655388,0.33857805639026695,0.43070497664301516,647.8331675902589,0.35556778034526193,0.4330428332004997
2006,True,2006-01-03,2026-04-17,5104,20.28515301477785,,119.6044564097243,0.2665001858237741,0.660835113596444,521.0935572826623,0.3613732611645013,0.43138790239239194,681.8650748285143,0.3795091979619285,0.433834710704304
2007,True,2007-01-03,2026-04-17,4853,19.28581695722705,,111.34339268805816,0.277391791223528,0.6691452794949528,522.8630587930412,0.3835527648404906,0.43341414866465167,625.9819778209621,0.3965036742158412,0.4361615328716147
2008,True,2008-01-02,2026-04-17,4602,18.28921880668323,,77.38680446998985,0.26932128303602787,0.6746387190926901,483.43700412110366,0.4022349150545339,0.43243649273335266,526.6462635544774,0.4088008273203365,0.4343110406216181
2009,True,2009-01-02,2026-04-17,4349,17.287144842125436,,705.9965121005104,0.4616004913571148,0.622463765363992,400.5908043422921,0.41455439741339406,0.4434939127867901,436.4106139424398,0.4215628910864633,0.4454273312120013
2010,True,2010-01-04,2026-04-17,4097,16.282332970560656,,242.34535262112126,0.40137025920358216,0.6101963590526321,165.7323345356543,0.36920396569066294,0.44292903326551464,185.08988315666647,0.37847179381413887,0.4451055781294768
2011,True,2011-01-03,2026-04-17,3845,15.285734820016838,,158.6871631190542,0.39360265679979944,0.613095543236395,137.70146846491838,0.38081646125767166,0.4438868528738482,149.83591359963108,0.38841344758662877,0.44621282325187256
