method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_requirements,positive_2026_both_delays,tqqq_2026_capture_ratio,strong_solution
downside_deviation,Downside-deviation strategy,downside_20_0.10,"{""downside_threshold"": 0.1, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.13922672490570354,0.14111356183594437,0.16743683963505362,0.40317548077264087,0.02713095254180642,0.2625532140432134,-0.5780581403208089,-0.2310135761888068,0.32401941492850583,0.32401941492850583,247.1928796983859,247.21616995528814,0.13922672490570354,0.1430003987661852,0.0037736738604816633,False,False,True,0.23971430991437934,False
downside_deviation,Downside-deviation strategy,downside_20_0.11,"{""downside_threshold"": 0.11, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.16313734599050123,0.16392010311790783,0.215676853198298,0.3465478620422582,-0.04294593994965179,0.2857328676928066,-0.48491530908275726,-0.26061434011962425,0.38134592680047225,0.38134592680047225,232.31242036943087,232.34588174807016,0.16313734599050123,0.16470286024531444,0.0015655142548132162,False,False,False,-0.3794469192628544,False
downside_deviation,Downside-deviation strategy,downside_20_0.12,"{""downside_threshold"": 0.12, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.15671025403485817,0.16562395786823336,0.22288277391907152,0.06764143017158464,-0.10873874173571485,0.3070268042626946,-0.5581768326021836,-0.310675536294966,0.4233241505968779,0.4233241505968779,241.68695410384422,241.69325525512488,0.15671025403485817,0.17453766170160856,0.017827407666750394,False,False,False,-0.9607562578560052,False
downside_deviation,Downside-deviation strategy,downside_20_0.13,"{""downside_threshold"": 0.13, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.16663003362135465,0.17412424055963238,0.20231037635382276,-0.01650206731087467,-0.13173407312794794,0.3270640169290031,-0.5097470101581292,-0.36992701410564477,0.46648301193755737,0.46648301193755737,244.9457435122983,244.95957629465727,0.16663003362135465,0.18161844749791012,0.014988413876555473,False,False,False,-1.1639304732635782,False
downside_deviation,Downside-deviation strategy,downside_20_0.14,"{""downside_threshold"": 0.14, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.15840464798270304,0.1817862280440936,0.1859672394185714,0.18830018309864283,-0.15663932075503262,0.3474330498068866,-0.5550061318956967,-0.39898064663515787,0.5064935064935064,0.5066246884428702,254.27350669064637,255.25972385282682,0.15840464798270304,0.20516780810548418,0.046763160122781144,False,False,False,-1.3839796675914908,False
downside_deviation,Downside-deviation strategy,downside_20_0.15,"{""downside_threshold"": 0.15, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.18447633152390885,0.19749765022672006,0.23604655193847623,0.09200930909218763,-0.08955129183166177,0.37154408294000596,-0.5906161320710006,-0.3787579501985514,0.5520136429227338,0.5521448248720976,226.45781043055138,226.50712006140776,0.18447633152390885,0.21051896892953126,0.026042637405622404,False,False,False,-0.7912264079298231,False
downside_deviation,Downside-deviation strategy,downside_20_0.16,"{""downside_threshold"": 0.16, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.21529645208890225,0.21733916752777016,0.22609552319391657,0.15347256437571155,-0.00360917035213415,0.39174555601096295,-0.5857587508306279,-0.2462545404006139,0.5832349468713105,0.5833661288206743,205.92188204285495,205.97057089449282,0.21529645208890225,0.21938188296663808,0.0040854308777358295,False,False,False,-0.03188866218361204,False
downside_deviation,Downside-deviation strategy,downside_20_0.17,"{""downside_threshold"": 0.17, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.2657359916797637,0.2684695828138891,0.26841314221472756,0.35487807262066995,0.06580260888283984,0.4093574794326171,-0.5891477182119341,-0.2462545404006139,0.6103896103896104,0.6105207923389742,173.51133757914195,173.5171542914552,0.2657359916797637,0.2712031739480145,0.005467182268250825,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_20_0.18,"{""downside_threshold"": 0.18, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.3089647349110849,0.3140593539079777,0.2981171878958164,0.43133973233368983,0.06580260888283984,0.42004849663054955,-0.589147718211934,-0.2971110161675493,0.6301980847435393,0.630329266692903,155.18740289864394,155.21058429759296,0.3089647349110849,0.31915397290487046,0.010189237993785571,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_20_0.19,"{""downside_threshold"": 0.19, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.29678155890474067,0.30453178343110987,0.31735499659795785,0.43133973233368983,0.06580260888283984,0.4296672420308672,-0.5891477182119338,-0.32586039382857424,0.64449691722419,0.6446280991735537,148.97250363236333,148.99512864806132,0.29678155890474067,0.31228200795747907,0.015500449052738396,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_20_0.20,"{""downside_threshold"": 0.2, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.27643111831285005,0.30464952625785224,0.29244922234945414,0.43133973233368983,0.06580260888283984,0.44166685454830507,-0.5891477182119333,-0.43951513747819215,0.6572215663124754,0.6573527482618392,152.7879132961445,152.7928378727218,0.27643111831285005,0.33286793420285443,0.05643681589000438,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_20_0.21,"{""downside_threshold"": 0.21, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.28000052540217735,0.31645290399599957,0.27948254811057716,0.45628347202388775,0.06580260888283984,0.4536902687909332,-0.589147718211934,-0.5655719965484008,0.6686343959071231,0.6687655778564869,144.59884852628466,144.60667020829686,0.28000052540217735,0.3529052825898218,0.07290475718764444,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_20_0.22,"{""downside_threshold"": 0.22, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0.2875820361395698,0.30072610833798985,0.3093967585253161,0.45628347202388775,0.06580260888283984,0.4617019271298047,-0.6319829053529604,-0.6319829053529598,0.6775547684638594,0.6776859504132231,136.45314966612153,136.46705625349145,0.2875820361395698,0.3138701805364099,0.02628814439684013,False,False,True,0.5813959887552668,False
