ndx_sma,confirmation_days,worst_floor_2026_ytd,worst_floor_full_cagr,worst_floor_max_drawdown,strong_solution_rate
3.0,1.0,0.07227285803877526,0.3217768642921146,-0.8057613487534613,0.0
3.0,2.0,0.13116200960770108,0.33630600723277415,-0.7362660428141907,0.0
3.0,3.0,0.12641135270986203,0.3671580401026271,-0.6117053522254985,0.6666666666666666
3.0,4.0,0.10643188382440472,0.38658361779314854,-0.5918871951628607,1.0
3.0,5.0,0.06580260888283984,0.40179117286988286,-0.6001888905527861,0.6666666666666666
5.0,1.0,0.09757627587925288,0.3016208977176049,-0.9052697160586108,0.0
5.0,2.0,0.13116200960770108,0.34073651433386964,-0.775269050378797,0.0
5.0,3.0,0.12641135270986203,0.34069939477675226,-0.6858365454505634,0.0
5.0,4.0,0.10643188382440472,0.3505546654024472,-0.682463188440882,0.3333333333333333
5.0,5.0,0.06580260888283984,0.3735917586264481,-0.6150147250253706,0.0
7.0,1.0,0.16972361473210773,0.3575279236405018,-0.8201462836643146,0.0
7.0,2.0,0.13116200960770108,0.35452129368780283,-0.7263949090578214,0.0
7.0,3.0,0.12641135270986203,0.35958360283623025,-0.7102831572262063,0.0
7.0,4.0,0.10643188382440472,0.37060694318628973,-0.6850344400051684,0.0
7.0,5.0,0.06580260888283984,0.3841043566217359,-0.5524169406688786,1.0
10.0,1.0,0.13116200960770108,0.3706165383058906,-0.7745589845894527,0.0
10.0,2.0,0.12641135270986203,0.37672114098474974,-0.6847372647314356,0.0
10.0,3.0,0.10643188382440472,0.3826159320889635,-0.6311138047637237,0.3333333333333333
10.0,4.0,0.06580260888283984,0.3942966282347413,-0.5843261806598669,1.0
10.0,5.0,0.015829543454872974,0.40317782238483346,-0.5389917715467143,0.0
12.0,1.0,0.13116200960770108,0.3830305389662525,-0.7395694933983641,0.0
12.0,2.0,0.12641135270986203,0.3679693469706671,-0.6760086920037318,0.0
12.0,3.0,0.10643188382440472,0.37995416328724896,-0.6271454318291916,0.3333333333333333
12.0,4.0,0.06580260888283984,0.388647705061097,-0.560523333602724,1.0
12.0,5.0,0.015829543454872974,0.41433273280797134,-0.5313647752042363,0.0
15.0,1.0,0.12641135270986203,0.3520307760690107,-0.7681668559114618,0.0
15.0,2.0,0.10643188382440472,0.3800492621443414,-0.7057934166365396,0.0
15.0,3.0,0.06580260888283984,0.38225872975780417,-0.5723345942150235,1.0
15.0,4.0,0.015829543454872974,0.3951365429271354,-0.4869194786344796,0.0
15.0,5.0,0.0011076007636754426,0.41132739785494987,-0.5017270386643671,0.0
18.0,1.0,0.10643188382440472,0.37684795941382454,-0.6906187249918319,0.0
18.0,2.0,0.06580260888283984,0.3696071532814029,-0.5811308969063576,1.0
18.0,3.0,0.015829543454872974,0.36907743636541435,-0.5092499722812077,0.0
18.0,4.0,0.0011076007636754426,0.3866543595283325,-0.5052058685917786,0.0
18.0,5.0,-0.00360917035213415,0.39153845404218957,-0.5259333465429179,0.0
20.0,1.0,0.06580260888283984,0.3769910902945688,-0.6138476836796558,0.0
20.0,2.0,0.015829543454872974,0.3713264718710043,-0.5739962354790562,0.0
20.0,3.0,0.0011076007636754426,0.37334811587773964,-0.5871807902695161,0.0
20.0,4.0,-0.00360917035213415,0.3800509253128119,-0.5807195305094779,0.0
20.0,5.0,-0.030563385893075057,0.39775159280694594,-0.5303439607636595,0.0
25.0,1.0,0.015829543454872974,0.412674619305647,-0.5864030157654805,0.0
25.0,2.0,0.0011076007636754426,0.4022566211940555,-0.5197213224727101,0.0
25.0,3.0,-0.00360917035213415,0.3888015567841989,-0.5447410565187035,0.0
25.0,4.0,-0.030563385893075057,0.3888727695660852,-0.6003619717069892,0.0
25.0,5.0,-0.07497850818989038,0.41354903358322526,-0.5162092647910836,0.0
30.0,1.0,0.015829543454872974,0.41517287005245307,-0.5945858770164946,0.0
30.0,2.0,0.0011076007636754426,0.4022893697293499,-0.580958431267847,0.0
30.0,3.0,-0.00360917035213415,0.3941766896452912,-0.5494226999491465,0.0
30.0,4.0,-0.030563385893075057,0.3986859984653963,-0.5523340492671923,0.0
30.0,5.0,-0.07497850818989038,0.39996128307911216,-0.5475588308524157,0.0
