method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_hard_requirements,solves_2026,passes_all_requirements,tqqq_2026_capture_ratio,keeps_full_max_drawdown_near_60pct,strong_2026_solution
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.00,"{""reentry_band_vs_spy_sma150"": 0.0}",0.3701326629898738,0.3721833960288624,0.3631299019807157,0.46504862416257975,0.015829543454872974,0.4589263552376287,-0.6138187053035711,-0.3707790080622211,0.6914600550964187,0.6915912370457825,138.2428719730109,138.26923677190774,0.3701326629898738,0.37423412906785103,0.004101466077977234,True,True,True,True,0.13986121864676365,False,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.01,"{""reentry_band_vs_spy_sma150"": 0.01}",0.37966747214388796,0.38637781695031126,0.35693836651483446,0.44381635933654917,0.0011076007636754426,0.4527740959188537,-0.5889375340570833,-0.3707790080622211,0.6791289518562246,0.6792601338055884,116.47906134093485,116.49209897601978,0.37966747214388796,0.39308816175673456,0.013420689612846592,True,True,True,True,0.009786156690074708,True,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_+0.02,"{""reentry_band_vs_spy_sma150"": 0.02}",0.39435472006175276,0.40413638271103314,0.381761822731578,0.3958414126247751,-0.030563385893075057,0.44993424323615966,-0.5884587110170767,-0.3707790080622211,0.6713892168437623,0.6715203987931261,82.61870533449536,82.63340608189702,0.39435472006175276,0.4139180453603135,0.019563325298560752,True,True,False,False,-0.2700414202824578,True,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.01,"{""reentry_band_vs_spy_sma150"": -0.01}",0.34329266195379504,0.3505224497756426,0.33621848222329076,0.46504862416257975,0.015829543454872974,0.4646791747539056,-0.7151997084267492,-0.431376806731791,0.7040535222353405,0.7041847041847041,138.03304508682317,138.03601753951182,0.34329266195379504,0.3577522375974902,0.014459575643695155,True,True,True,True,0.13986121864676365,False,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.02,"{""reentry_band_vs_spy_sma150"": -0.02}",0.33312076577572736,0.3520589137828184,0.31078695976741666,0.5957170369484981,0.10643188382440472,0.4734722812422988,-0.7384799465701767,-0.40743189724367934,0.7171717171717171,0.7173028991210809,161.75774215975963,161.77837463008274,0.33312076577572736,0.37099706178990943,0.037876296014182076,True,True,True,True,0.9403741186211909,False,False
A_relaxed_reentry,A: Relaxed SPY re-entry,relaxed_-0.03,"{""reentry_band_vs_spy_sma150"": -0.03}",0.3431183405078142,0.35488688476826513,0.3024739893170194,0.4895834567008366,0.035706076300868306,0.4814194858258018,-0.7650436206217055,-0.399064783596804,0.7296340023612751,0.7297651843106389,151.49538510952914,151.51946376428663,0.3431183405078142,0.36665542902871606,0.02353708852090186,True,True,True,True,0.3154794298881971,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.04_0.05,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.05}",0.37628585756775057,0.3839923047436786,0.3678367707334509,0.6313832931502643,0.13116200960770108,0.4650917145666281,-0.6297448416214464,-0.39016590941324203,0.6982815164633347,0.6984126984126984,182.09779560298563,182.10656265197994,0.37628585756775057,0.3916987519196067,0.01541289435185611,True,True,True,True,1.1588760317812212,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.04_0.08,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.08}",0.378138375810533,0.38297085793614816,0.36958647495359265,0.6313832931502643,0.13116200960770108,0.4674003385125481,-0.6735797063089948,-0.39016590941324203,0.7015610651974288,0.7016922471467926,190.00751447605137,190.01165373896697,0.378138375810533,0.3878033400617633,0.009664964251230312,True,True,True,True,1.1588760317812212,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.06_0.05,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.05}",0.38455322109238943,0.3865527620680248,0.35538473766355616,0.46504862416257975,0.015829543454872974,0.45559885598327,-0.6456253262887084,-0.3707790080622211,0.6787354060081333,0.6788665879574971,134.46557540653885,134.47305379051699,0.38455322109238943,0.3885523030436602,0.003999081951270744,True,True,True,True,0.13986121864676365,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.06_0.08,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.08}",0.3784339608463605,0.3799348627928649,0.34548124706566985,0.46504862416257975,0.015829543454872974,0.45601489555267694,-0.6233479218885606,-0.3707790080622211,0.6796536796536796,0.6797848616030434,138.4440277269518,138.44432481849773,0.3784339608463605,0.38143576473936935,0.0030018038930088586,True,True,True,True,0.13986121864676365,False,False
