year,Baseline,10% TQQQ sleeve,difference_sleeve_minus_baseline,complete_year
1996,0.8343878613137627,0.9124464461137771,0.07805858480001437,True
1997,0.7615833562871897,0.7220994039379596,-0.03948395234923008,True
1998,1.334654419731046,1.5480276838406741,0.2133732641096282,True
1999,2.2085418148101095,2.5017655040704794,0.2932236892603699,True
2000,-0.27859538854047994,-0.3354788210720676,-0.056883432531587674,True
2001,0.03709045650476828,-0.05436338007975772,-0.091453836584526,True
2002,0.08517898892944653,-0.04620403652341332,-0.13138302545285985,True
2003,1.3821857941121434,1.4413351314957876,0.05914933738364425,True
2004,0.13620409990546922,0.14510069273168158,0.008896592826212357,True
2005,-0.049836942161382236,-0.049836942161382236,0.0,True
2006,0.08913030834118474,0.09106535950015537,0.0019350511589706354,True
2007,0.18826194958212739,0.21579365896649372,0.027531709384366332,True
2008,0.20629506174697054,0.0301780052962779,-0.17611705645069264,True
2009,1.3505340888101567,1.4573458003006698,0.10681171149051316,True
2010,0.23372397670895695,0.2686602923253274,0.03493631561637045,True
2011,0.07097519138013952,0.07306267479016526,0.0020874834100257367,True
2012,0.5228695775765473,0.5228695775765473,0.0,True
2013,1.3973341234426861,1.3973341234426861,0.0,True
2014,0.570908293769264,0.570908293769264,0.0,True
2015,-0.2568450514044197,-0.2187639136291366,0.0380811377752831,True
2016,0.08043917234032483,0.08944353800140314,0.009004365661078317,True
2017,1.1806179685418834,1.1806179685418834,0.0,True
2018,0.20532877221812096,0.16592088074621114,-0.03940789147190982,True
2019,0.5946770968111939,0.6618442243719045,0.06716712756071064,True
2020,0.9882882196120784,1.0703002882642796,0.08201206865220123,True
2021,0.8298131140963454,0.8298131140963454,0.0,True
2022,-0.28017416120155114,-0.3375386588064493,-0.057364497604898146,True
2023,0.7249336405890832,0.825649282390704,0.10071564180162085,True
2024,0.5826772248162537,0.5826772248162537,0.0,True
2025,0.09898547851326245,0.1357665720139396,0.03678109350067715,True
2026,-0.07129995128262956,-0.05294528356064332,0.01835466772198624,False
