period,asset,start,end,trading_days,cagr,annualized_volatility,beta_to_spy,correlation_to_spy,mean_return_on_tqqq_up_days,mean_return_on_tqqq_down_days,mean_return_during_base_risk_on
full_1996_2026,TECL,1996-01-03,2026-04-17,7622,0.04104601485974246,0.7703582375838891,3.4314333722658055,0.8577218877271989,0.03036686617866567,-0.03376757223524949,0.002295387952360208
full_1996_2026,TQQQ,1996-01-03,2026-04-17,7622,0.12796533419491873,0.8203362698162675,3.589890102662055,0.8426609975489534,0.033792250102836985,-0.03684999971792363,0.0027866971355140283
actual_overlap_2010_2026,TECL,2010-02-11,2026-04-17,4070,0.389755771268544,0.6499076441048109,3.48796576620755,0.920852675484485,0.02643176307024746,-0.028586383345120238,0.002306795846922431
actual_overlap_2010_2026,TQQQ,2010-02-11,2026-04-17,4070,0.42181715786084295,0.6100607954594959,3.3106242560966574,0.9311215145777868,0.025825584762158394,-0.02783559070480263,0.002399195676781505
