method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,average_tqqq_weight,weight_changes,total_turnover
total_volatility,Current total-volatility strategy,total_vol_40_32,"{""threshold"": 0.32, ""volatility_type"": ""total"", ""window"": 40}",0,0.4074857784816168,0.39864092805949713,0.4486110119256818,-0.515613801804461,-0.2310135761888068,0.6009538392908733,0.11006295684470091,31353775.164276827,0.6738816738816739,96,102.59805421317179
total_volatility,Current total-volatility strategy,total_vol_40_32,"{""threshold"": 0.32, ""volatility_type"": ""total"", ""window"": 40}",1,0.4040720911506859,0.41281527736027623,0.45142298894475946,-0.5891477182119333,-0.3707790080622211,0.5328691900415947,0.06580260888283984,29130391.051281646,0.6737504919323101,96,102.59239121851186
downside_deviation,Downside-deviation strategy,downside_20_0.10,"{""downside_threshold"": 0.1, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0,0.1430003987661852,0.16743683963505362,0.2569509599216462,-0.5485343252769439,-0.20748496513192483,0.40317548077264087,0.02713095254180642,57305.17800853548,0.32401941492850583,235,247.21616995528814
downside_deviation,Downside-deviation strategy,downside_20_0.10,"{""downside_threshold"": 0.1, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",1,0.13922672490570354,0.16959960144004382,0.2625532140432134,-0.5780581403208089,-0.2310135761888068,0.5737402949811319,0.09768884459287364,51843.17691576027,0.32401941492850583,235,247.1928796983859
downside_deviation,Downside-deviation strategy,downside_20_0.11,"{""downside_threshold"": 0.11, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0,0.16470286024531444,0.22223171302224776,0.280933905117695,-0.44303681697662256,-0.20748496513192483,0.3578176286365642,0.009277171418968777,101302.75129106999,0.38134592680047225,221,232.31242036943087
downside_deviation,Downside-deviation strategy,downside_20_0.11,"{""downside_threshold"": 0.11, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",1,0.16313734599050123,0.215676853198298,0.2857328676928066,-0.48491530908275726,-0.26061434011962425,0.3465478620422582,-0.04294593994965179,97258.5744974825,0.38134592680047225,221,232.34588174807016
downside_deviation,Downside-deviation strategy,downside_20_0.12,"{""downside_threshold"": 0.12, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0,0.17453766170160856,0.23365566495787116,0.30405796400157253,-0.5581768326021836,-0.20748496513192483,0.06764143017158464,-0.09758368751138469,130687.02222615297,0.4233241505968779,231,241.68695410384422
downside_deviation,Downside-deviation strategy,downside_20_0.12,"{""downside_threshold"": 0.12, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",1,0.15671025403485817,0.22288277391907152,0.3070268042626946,-0.546242036656039,-0.310675536294966,0.2372414193160659,-0.10873874173571485,82231.62731550784,0.4233241505968779,231,241.69325525512488
downside_deviation,Downside-deviation strategy,downside_20_0.13,"{""downside_threshold"": 0.13, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",0,0.16663003362135465,0.20231037635382276,0.32298166144738605,-0.46038980755291703,-0.26149633580845166,-0.01650206731087467,-0.13173407312794794,106504.85365590618,0.46648301193755737,235,244.9457435122983
downside_deviation,Downside-deviation strategy,downside_20_0.13,"{""downside_threshold"": 0.13, ""downside_window"": 20, ""volatility_type"": ""downside_deviation_zero_target""}",1,0.18161844749791012,0.21780076846789154,0.3270640169290031,-0.5097470101581292,-0.36992701410564477,0.05671507890808636,-0.10853231456273837,156782.4779817923,0.46648301193755737,235,244.95957629465727
