Report_Date,Price_Date,Price,EPS_4Q_Sum,PE_Ratio,Type
2016-12-09,2016-12-09,2259.530029296875,117.49000000000001,19.23167954121095,trailing
2016-12-09,2016-12-12,2256.9599609375,117.49000000000001,19.20980475731977,trailing
2016-12-09,2016-12-13,2271.719970703125,117.49000000000001,19.335432553435396,trailing
2016-12-09,2016-12-14,2253.280029296875,117.49000000000001,19.178483524528684,trailing
2016-12-09,2016-12-15,2262.030029296875,117.49000000000001,19.25295794788386,trailing
2016-12-16,2016-12-16,2258.070068359375,117.49000000000001,19.21925328418908,trailing
2016-12-16,2016-12-19,2262.530029296875,117.49000000000001,19.25721362921844,trailing
2016-12-16,2016-12-20,2270.760009765625,117.49000000000001,19.327261977748105,trailing
2016-12-16,2016-12-21,2265.179931640625,117.49000000000001,19.279767909103963,trailing
2016-12-16,2016-12-22,2260.9599609375,117.49000000000001,19.243850207996424,trailing
2016-12-23,2016-12-23,2263.7900390625,117.49000000000001,19.267938029300364,trailing
2016-12-23,2016-12-27,2268.8798828125,117.49000000000001,19.31125953538599,trailing
2016-12-23,2016-12-28,2249.919921875,117.49000000000001,19.149884431653756,trailing
2016-12-23,2016-12-29,2249.260009765625,117.49000000000001,19.144267680361093,trailing
2016-12-23,2016-12-30,2238.830078125,117.49000000000001,19.05549474955315,trailing
2016-12-23,2017-01-03,2257.830078125,118.63,19.03253880236871,trailing
2016-12-23,2017-01-04,2270.75,118.63,19.141448200286607,trailing
2016-12-23,2017-01-05,2269.0,118.63,19.126696451150636,trailing
2017-01-06,2017-01-06,2276.97998046875,118.65,19.190728870364516,trailing
2017-01-06,2017-01-09,2268.89990234375,118.65,19.122628759745048,trailing
2017-01-06,2017-01-10,2268.89990234375,118.65,19.122628759745048,trailing
2017-01-06,2017-01-11,2275.320068359375,118.65,19.176738882084912,trailing
2017-01-06,2017-01-12,2270.43994140625,118.65,19.135608440002105,trailing
2017-01-13,2017-01-13,2274.639892578125,118.59,19.18070573048423,trailing
2017-01-13,2017-01-17,2267.889892578125,118.59,19.123786934632978,trailing
2017-01-13,2017-01-18,2271.889892578125,118.59,19.15751659143372,trailing
2017-01-13,2017-01-19,2263.68994140625,118.59,19.088371206731175,trailing
2017-01-20,2017-01-20,2271.31005859375,118.77000000000001,19.12360072908773,trailing
2017-01-20,2017-01-23,2265.199951171875,118.77000000000001,19.072155857302977,trailing
2017-01-20,2017-01-24,2280.070068359375,118.77000000000001,19.19735681030037,trailing
