start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
2010-02-12,160,0.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,0.5,0.39513929446533536,0.600477928574898,-0.7816260700226055,216.3289621439529,0.1663799459326616,0.027279429835340378
2010-02-12,160,1.0,0.3889200164028024,0.6000943214578037,-0.7816260700226056,201.27249512536966,0.16588842467436718,0.0277709510936348
2010-02-12,160,1.5,0.39111408756195787,0.6000346418863615,-0.7816260700226055,206.46824726682965,0.16539690341607274,0.028262472351929222
2010-02-12,160,2.0,0.4083354143345572,0.6006227953039633,-0.7758057673542187,251.84390044462523,0.16367657901204227,0.029982796755959697
2010-02-12,160,2.5,0.3996182897241869,0.5996226937019701,-0.7952055975893066,227.81990357138798,0.16220201523715902,0.03145736053084296
2010-02-12,160,3.0,0.41175833536420403,0.5987831906251387,-0.7848915164940349,261.91139511955083,0.1599901695748341,0.03366920619316786
2010-02-12,160,3.5,0.41417030215366313,0.5985247680407522,-0.7848915164940349,269.23088418948106,0.15925288768739249,0.03440648808060948
2010-02-12,160,4.0,0.41417030215366313,0.5985247680407522,-0.7848915164940349,269.23088418948106,0.15925288768739249,0.03440648808060948
2010-02-12,160,4.5,0.4308244878287333,0.5974808889071853,-0.7860554185445958,325.2564053403029,0.1577783239125092,0.03588105185549275
2010-02-12,160,5.0,0.4408542938677398,0.5965295526272493,-0.7605108023470062,364.0914624551177,0.15704104202506758,0.036618333742934384
2010-02-12,160,5.5,0.41766637492624126,0.5943083683950655,-0.7605108023470064,280.18155179289556,0.15384615384615385,0.03981322192184812
2010-02-12,160,6.0,0.40790724949540724,0.5931226653717921,-0.7605108023470064,250.61044401689128,0.15212582944212338,0.04153354632587859
2010-02-12,160,6.5,0.39451690529813654,0.5922342384125012,-0.7605108023470066,214.77593311575967,0.1506512656672401,0.04300811010076186
2010-02-12,160,7.0,0.4033110267321949,0.5925727580794867,-0.7674856251423747,237.72176137166093,0.14942246252150407,0.04423691324649791
2010-02-12,160,7.5,0.410615876055467,0.5923691833342732,-0.767485625142375,258.50995959743824,0.14843942000491522,0.04521995576308675
2010-02-12,160,8.0,0.4260618705318362,0.5916354733389301,-0.7615720918991099,308.2089995752472,0.14721061685917916,0.04644875890882281
2010-02-12,160,8.5,0.4454094286773582,0.591512588833192,-0.7615720918991095,383.1288525694374,0.14671909560088472,0.04694028016711723
2010-02-12,160,9.0,0.4507895006513083,0.5907669129790333,-0.7615720918991098,406.81606406033023,0.14450724993855985,0.049152125829442124
2010-02-12,160,9.5,0.4642192786592092,0.5897394473315467,-0.7525031349806307,472.0772976357307,0.14204964364708775,0.05160973212091423
2010-02-12,160,10.0,0.49374260875718945,0.5892102054528422,-0.7525031349806308,651.6290221048902,0.14180388301794053,0.05185549275006144
2010-02-12,160,10.5,0.4973560839076483,0.5884741941857112,-0.7477532194184839,677.5535738984433,0.14057507987220447,0.053084295895797495
2010-02-12,160,11.0,0.5147793999927592,0.5881795781331027,-0.7283568870461944,816.7142189645854,0.13959203735561562,0.05406733841238633
2010-02-12,160,11.5,0.5076514133314107,0.5871294596490497,-0.7312339447137461,756.8226705609388,0.1368886704349963,0.056770705333005655
2010-02-12,160,12.0,0.5076514133314107,0.5871294596490497,-0.7312339447137461,756.8226705609388,0.1368886704349963,0.056770705333005655
2010-02-12,160,12.5,0.515122897049187,0.587348252153561,-0.731233944713747,819.7097712127245,0.13664290980584912,0.05701646596215286
2010-02-12,160,13.0,0.5496893350040006,0.5840894820752603,-0.731233944713747,1179.9050311323892,0.13565986728926027,0.057999508478741704
2010-02-12,160,13.5,0.5493216369352354,0.5838119950458739,-0.7322617906738691,1175.392703047337,0.13467682477267143,0.05898255099533055
2010-02-12,160,14.0,0.543569114493534,0.5824997501596203,-0.7602909253193941,1106.8727570553076,0.1322192184811993,0.06144015728680265
2010-02-12,160,14.5,0.5449330132840435,0.5823105825681307,-0.7602909253193944,1122.7710149662014,0.13099041533546327,0.06266896043253871
2010-02-12,160,15.0,0.5392466004909875,0.580447531145685,-0.7602909253193941,1057.8713389163354,0.12607520275251904,0.06758417301548292
2010-02-12,160,15.5,0.5398708287903007,0.5800801406777962,-0.758716430485507,1064.8198157742136,0.1250921602359302,0.06856721553207176
2010-02-12,160,16.0,0.5183909234695911,0.5789672236121103,-0.7587164304855074,848.7295102814056,0.1226345539444581,0.07102482182354387
2010-02-12,160,16.5,0.5045286127315625,0.5746250821043934,-0.7587164304855069,731.9039903391746,0.11231260752027525,0.08134676824772671
2010-02-12,160,17.0,0.49937930230497396,0.5753452356957547,-0.7017937011714848,692.4883333731858,0.1113295650036864,0.08232981076431556
2010-02-12,160,17.5,0.48584501085915455,0.5715254341515962,-0.7017937011714847,598.172226139454,0.10862619808306709,0.08503317768493487
2010-02-12,160,18.0,0.49557805162679003,0.5712291080208943,-0.6686382999105959,664.6786690237409,0.10838043745391988,0.08527893831408208
2010-02-12,160,18.5,0.49557805162679003,0.5712291080208943,-0.6686382999105959,664.6786690237409,0.10838043745391988,0.08527893831408208
2010-02-12,160,19.0,0.5022508029663684,0.57077008550176,-0.6686382999105955,714.2157066106629,0.10813467682477267,0.0855246989432293
2010-02-12,160,19.5,0.5022508029663684,0.57077008550176,-0.6686382999105955,714.2157066106629,0.10813467682477267,0.0855246989432293
2010-02-12,160,20.0,0.5022508029663684,0.57077008550176,-0.6686382999105955,714.2157066106629,0.10813467682477267,0.0855246989432293
2010-02-12,160,20.5,0.5059299058087123,0.5707705606135826,-0.6680971291458669,742.9889940221693,0.10739739493733104,0.08626198083067092
2010-02-12,160,21.0,0.5059299058087123,0.5707705606135826,-0.6680971291458669,742.9889940221693,0.10739739493733104,0.08626198083067092
2010-02-12,160,21.5,0.48860520508313865,0.5679268365295418,-0.664833851499021,616.3692371566669,0.10469402801671172,0.08896534775129024
2010-02-12,160,22.0,0.48860520508313865,0.5679268365295418,-0.664833851499021,616.3692371566669,0.10469402801671172,0.08896534775129024
2010-02-12,160,22.5,0.4879531015936627,0.5679359909108503,-0.6648338514990206,612.0238862737009,0.1044482673875645,0.08921110838043746
