feature,n,win_mean,loss_mean,win_median,loss_median,loss_minus_win_mean,corr_with_episode_return,corr_with_is_win
UVIX_OPEN,97,0.0012606562941622093,0.004843756004952442,2.2902736628266143e-09,4.423632496328449e-09,0.0035830997107902333,-0.15712048349560326,-0.2328121193532877
UVIX_CLOSE,97,0.0012391400690658775,0.004682869540227715,2.3277153363640063e-09,4.444034358243543e-09,0.0034437294711618374,-0.15594818098164276,-0.23144185048857033
^VIX3M_PREV_CLOSE_RET_10D,97,-0.0596040537621924,-0.029702523691551297,-0.057391291079313844,-0.02702101809386165,0.0299015300706411,-0.09022354424961934,-0.22588463768469574
SPY_GLD_PREV_CLOSE_RET_20D,97,0.027407773775869476,0.0459469218847843,0.029957017988627932,0.05003200789364581,0.018539148108914827,-0.0998884357201231,-0.20336324711705467
UVIX_PREV_CLOSE_RET_10D,97,-0.1812112271101704,-0.14070369953683617,-0.18816067653277013,-0.14144050782483086,0.04050752757333423,-0.10218585001707323,-0.20061690307884347
GLD_PREV_CLOSE_RET_20D,97,0.01511723030147504,-0.0015703616866173907,0.010143828088081897,-0.005678514923296019,-0.01668759198809243,0.12399813656549304,0.18831993214140424
^VIX3M_OPEN_GAP_FROM_PREV_CLOSE,97,-0.004406474894381701,0.0018769109517406853,-0.002511262553678284,0.00037052334910608886,0.006283385846122386,-0.17546805643419744,-0.18344920131260442
VIX3M_VIX_PREV_CLOSE_RATIO,97,0.18356660754335064,0.20444789593290436,0.1789396405616932,0.1913036990709175,0.02088128838955372,-0.0390002445588228,-0.18296246216275722
HYG_PREV_CLOSE_RET_20D,97,0.008274723004647542,0.013603821482006243,0.007185725317279346,0.010161382952033615,0.0053290984773587,-0.09970067010494721,-0.18159394728120112
UVIX_OPEN_SMA5_RATIO,97,-0.06803656175347843,-0.04716867921038127,-0.05733555605600493,-0.03603782025579044,0.020867882543097155,-0.08788594857450656,-0.18089784008518878
VIX_VIX3M_PREV_CLOSE_RATIO,97,-0.15372690459452326,-0.16770524622084232,-0.1517801543058127,-0.16058328211968387,-0.013978341626319057,0.03948862653341788,0.1795733788352139
SPY_GLD_PREV_CLOSE_RATIO_SMA20,97,0.014265688572485492,0.022655589475261383,0.015267332987184856,0.023356439820179653,0.008389900902775891,-0.05021293378820497,-0.1654374604827939
