tqqq_drop_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_day_share
0.0,1.1131959110355116,0.6337259345140012,-0.676571553309006,176500.36025955892,116,115,0.08134676824772671
0.5,1.045342593696791,0.634952582039977,-0.6816049710899825,104204.2304346673,106,105,0.0857704595723765
1.0,1.0074554313940474,0.6355750439644948,-0.6816049710899827,77049.6550880022,102,101,0.0879823052347014
1.5,1.00615381943528,0.6356837352835147,-0.6816049710899823,76246.93867881814,101,100,0.08847382649299582
2.0,1.0024349996368058,0.6353565747630048,-0.6816049710899823,73996.51660920023,98,97,0.08945686900958466
2.5,0.9921881525539347,0.6375536565831689,-0.6816049710899821,68113.77439334008,95,94,0.09117719341361515
3.0,0.9780374083668446,0.6375561011243447,-0.6816049710899821,60708.116461038335,93,92,0.09166871467190955
3.5,0.9857716087351649,0.6376708724172219,-0.6816049710899823,64656.522334236404,93,92,0.09191447530105677
4.0,1.0008799267318205,0.6381689931822783,-0.6816049710899826,73074.0762048375,92,91,0.09191447530105677
4.5,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
5.0,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
5.5,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
6.0,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
6.5,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
7.0,0.9864487229470267,0.6376306181345353,-0.6816049710899827,65013.42845984439,91,90,0.09216023593020398
7.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
8.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
8.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
9.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
9.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
10.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
10.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
11.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
11.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
12.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
12.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
13.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
13.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
14.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
14.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
15.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
15.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
16.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
16.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
17.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
17.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
18.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
18.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
19.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
19.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
20.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
20.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
21.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
21.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
22.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
22.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
23.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
23.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
24.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
24.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
25.0,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
25.5,0.994215811870462,0.6377452693256812,-0.6816049710899821,69241.84827801405,91,90,0.0924059965593512
