condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_BB20_Z <= 1.607,97,0.6701030927835051,3.6372703711577916,16,8,8,0.5,4.54501836577146,0.25,0.12307692307692308,81,0.7037037037037037,3.4579621253081787,3.4312482302532477,0.033600610920198615,-0.1793082458496129
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_RATIO <= 6.025%,97,0.6701030927835051,3.6372703711577916,11,4,7,0.36363636363636365,2.5926764354692087,0.125,0.1076923076923077,86,0.6744186046511628,3.770881223397029,3.2087335467704703,0.004315511867657662,0.1336108522392374
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_SLOPE_20D >= 1.678%,97,0.6701030927835051,3.6372703711577916,8,6,2,0.75,-0.7926857851396603,0.1875,0.03076923076923077,89,0.7078651685393258,4.035468677341832,3.4312482302532477,0.03776207575582069,0.3981983061840406
GSPC_CLOSE_RET_20D >= 4.623% AND pre20_tqqq_open_return >= 18.372%,97,0.6701030927835051,3.6372703711577916,17,7,10,0.4117647058823529,7.636491207930673,0.21875,0.15384615384615385,80,0.6875,2.787435943343555,3.2087335467704703,0.017396907216494895,-0.8498344278142365
GSPC_CLOSE_RET_20D >= 4.623% AND days_since_previous_exit <= 3.000,97,0.6701030927835051,3.6372703711577916,10,6,4,0.6,-0.20896211671453865,0.1875,0.06153846153846154,87,0.7011494252873564,4.079366059418979,3.414045651775033,0.03104633250385125,0.4420956882611877
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_CLOSE_RET_10D >= 3.627%,97,0.6701030927835051,3.6372703711577916,12,7,5,0.5833333333333334,0.3097595331875553,0.21875,0.07692307692307693,85,0.7058823529411765,4.107036607106531,3.4312482302532477,0.03577926015767141,0.46976623594873956
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_BB20_Z <= 1.569,97,0.6701030927835051,3.6372703711577916,14,7,7,0.5,-0.03549833050611057,0.21875,0.1076923076923077,83,0.6987951807228916,4.256773525655317,3.4312482302532477,0.02869208793938649,0.6195031544975258
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_RATIO <= 6.322%,97,0.6701030927835051,3.6372703711577916,11,4,7,0.36363636363636365,2.5926764354692087,0.125,0.1076923076923077,86,0.6744186046511628,3.770881223397029,3.2087335467704703,0.004315511867657662,0.1336108522392374
GSPC_CLOSE_RET_20D >= 4.623% AND pre20_tqqq_open_return >= 17.767%,97,0.6701030927835051,3.6372703711577916,19,9,10,0.47368421052631576,6.753777870573891,0.28125,0.15384615384615385,78,0.7051282051282052,2.8781211084795117,3.3772825165347853,0.03502511234470007,-0.7591492626782799
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_SMA160_RATIO <= 5.756%,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,2.5539569979838226,0.125,0.09230769230769231,87,0.6781609195402298,3.7617891496835356,3.0941502907246177,0.008057826756724729,0.124518778525744
