Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2010-02-12,0.2004484585818023,0.19110101065604282,False,,above,above,0.004092164272333276
2010-02-16,0.2117622635212514,0.1916672646035576,False,,above,above,0.038736173471820345
2010-02-17,0.2177911924413176,0.1922447423234312,False,,above,above,0.016970007341968074
2010-02-18,0.2183371301338427,0.19282146525363206,False,,above,above,0.01895814052934308
2010-02-19,0.2211896419188025,0.19343194777328926,False,,above,above,0.0
2010-02-22,0.225333123005568,0.1941072785471442,False,,above,above,-0.007020297042985568
2010-02-23,0.2199244149037374,0.19472128214049933,False,,above,above,-0.0390419217520106
2010-02-24,0.2162525403214021,0.19534759585844305,False,,above,above,0.030240182740999932
2010-02-25,0.2119356614335032,0.19600028234977596,False,,above,above,-0.0005700939572830244
2010-02-26,0.2181627947848259,0.19671306647350634,False,,above,above,0.012474990532172603
2010-03-01,0.2243413251449817,0.19743548636087493,False,,above,above,0.042894115141727696
2010-03-02,0.2330741484674836,0.19819203612246453,False,,above,above,0.006012254372556036
2010-03-03,0.2350348661967643,0.19890706723518078,False,,above,above,0.005554155095777391
2010-03-04,0.2345385162617609,0.19954029478498786,False,,above,above,0.011039111653239342
2010-03-05,0.2413363396235486,0.20020579026876653,False,,above,above,0.044201820539013115
2010-03-08,0.2469689561331623,0.2009151669552652,False,,above,above,0.005332519746628517
2010-03-09,0.2466954786563391,0.20156734697116757,False,,above,above,0.017701847459578035
2010-03-10,0.2527997428949531,0.20227117339702558,False,,above,above,0.024470539070320818
2010-03-11,0.2570670747794923,0.20298103846036963,False,,above,above,0.009209433282397095
2010-03-12,0.2638895979872641,0.2036564638676719,False,,above,above,0.0022812056695482585
2010-03-15,0.2598700116770095,0.20427248778301169,False,,above,above,-0.006733828757515603
2010-03-16,0.2624014310995993,0.20491801840923368,False,,above,above,0.018908568995122055
2010-03-17,0.2655026951282031,0.20558636867453375,False,,above,above,0.006934629472456821
2010-03-18,0.2675119985546472,0.20627042211067392,False,,above,above,0.010142278299546614
2010-03-19,0.2645347096236503,0.20692110680689865,False,,above,above,-0.017689275513595226
2010-03-22,0.2614335451970694,0.20755358291630177,False,,above,above,0.027011900215292428
2010-03-23,0.2735408927162865,0.2082794151576734,False,,above,above,0.020914481186861567
2010-03-24,0.2754026165336184,0.20897605163660088,False,,above,above,-0.014224216572644943
2010-03-25,0.280091067697814,0.20969287688076244,False,,above,above,-0.006261694966391729
2010-03-26,0.2755760561890299,0.2103683743976576,False,,above,above,0.005207249038215345
2010-03-29,0.2772385178890121,0.21105556978848825,False,,above,above,0.013716039710269579
2010-03-30,0.2791488268082483,0.2117850578003321,False,,above,above,0.01048548672191063
2010-03-31,0.2766430813121662,0.21253482801305573,False,,above,above,-0.013479002374436555
2010-04-01,0.2790744652516145,0.21324587197716233,False,,above,above,-0.00197798153883888
2010-04-05,0.2774615473895696,0.21391099572412134,False,,above,above,0.028912632951761275
2010-04-06,0.2812571955398377,0.21469264059126653,False,,above,above,0.007617141228158264
2010-04-07,0.2846070697167064,0.21557311337280147,False,,above,above,-0.005648014752191566
2010-04-08,0.2810837925093422,0.21636225081423038,False,,above,above,0.0035831591833239695
2010-04-09,0.285921805492033,0.21719162112554566,False,,above,above,0.018019780754157777
2010-04-12,0.2911075866955647,0.21802280554155407,False,,above,above,0.004019667504773672
2010-04-13,0.2903387684031547,0.2187796830799907,False,,above,above,0.015078834504529848
2010-04-14,0.2998909400037151,0.21963437738768574,False,,above,above,0.035242108696548424
2010-04-15,0.3057712315459674,0.2205213957203175,False,,above,above,0.013374634947572295
2010-04-16,0.306911742306367,0.22141005607871542,False,,above,above,-0.03559546059709151
2010-04-19,0.2963429673345857,0.2221488745427822,False,,above,above,-0.0015733731035190157
2010-04-20,0.3033141251635642,0.22298999745251522,False,,above,above,0.014785054735754644
2010-04-21,0.309243981226011,0.2238874849620954,False,,above,above,0.017599911740855623
2010-04-22,0.2994193308256137,0.2247759001217018,False,,above,above,0.014802817999693518
2010-04-23,0.3132883545227196,0.2258438398467384,False,,above,above,0.013238130767937228
2010-04-26,0.3173575755928351,0.22685499987943464,False,,above,above,-0.007432290963821253
2010-04-27,0.3117259213233566,0.22773110877723282,False,,above,above,-0.06171766261488265
2010-04-28,0.2998908962089435,0.2284146887768575,False,,above,above,0.002351390562511435
2010-04-29,0.3001634026634915,0.22914986980691915,False,,above,above,0.0510412680829293
2010-04-30,0.3106836160410073,0.23000960036158005,False,,above,above,-0.058927174243170954
2010-05-03,0.2962437863637162,0.2306002104057332,False,,above,above,0.04084008420627527
2010-05-04,0.2932407766183118,0.2313201075262706,False,,above,above,-0.08840672023511842
2010-05-05,0.2691250195905832,0.23172777207468837,False,,above,above,-0.016432503518346797
2010-05-06,0.2676358334018413,0.23219803634870656,False,,above,above,-0.09796646813242393
2010-05-07,0.2399720424199286,0.23234307802940454,False,,above,above,-0.07277244987396725
2010-05-10,0.2574139024773716,0.23264911493979942,False,,above,above,0.1491521246758123
2010-05-11,0.2552311292096585,0.23303202954404706,False,,above,above,-0.0006602713727821286
2010-05-12,0.2660733896663055,0.23348989814376958,False,,above,above,0.05388133650285276
2010-05-13,0.2739629409800893,0.23403899097494713,False,,above,above,-0.0452061455095466
2010-05-14,0.2576377208808326,0.23438965938451392,False,,above,above,-0.06153358949314469
2010-05-17,0.2502683303164811,0.2347275841729512,False,,above,above,0.013515265897702022
2010-05-18,0.2573395332519116,0.23511393699251534,False,,above,above,-0.038221865053618465
2010-05-19,0.2374415118868967,0.2352865478442665,False,,above,above,-0.026392619682778395
2010-05-20,0.2209914723196527,0.23543810314598296,True,0.2209914723196527,wait_mix,above,-0.05305499200339914
2010-05-21,0.1985619883109076,0.23551518891277828,True,0.2209914723196527,wait_mix,wait_mix,0.0003844679780675708
2010-05-24,0.2142431922421827,0.23584853500414676,True,0.2209914723196527,wait_mix,wait_mix,0.0007721117258494559
2010-05-25,0.1988849909258826,0.23597291699402018,True,0.2209914723196527,wait_mix,wait_mix,0.0097384078141185
2010-05-26,0.2166250654993175,0.23623524137257523,True,0.2209914723196527,wait_mix,wait_mix,-0.00020345899871265782
2010-05-27,0.2204950649400647,0.23635886082090946,True,0.2209914723196527,wait_mix,wait_mix,-0.036402248430736694
2010-05-28,0.2306179736333846,0.23664612302463567,True,0.2209914723196527,wait_mix,wait_mix,0.014422598345718685
2010-06-01,0.2235219627238945,0.23678477003111187,True,0.2209914723196527,wait_mix,wait_mix,0.009540208781539272
2010-06-02,0.2232990268929929,0.23692335235639467,True,0.2209914723196527,wait_mix,wait_mix,-0.01524656475246422
2010-06-03,0.2368461033692955,0.23724327999802952,True,0.2209914723196527,wait_mix,wait_mix,-0.019541916338342125
2010-06-04,0.2260781492065235,0.23739809253337835,True,0.2209914723196527,wait_mix,wait_mix,0.047706203374559664
2010-06-07,0.2195032844664128,0.2374322691376288,True,0.2209914723196527,wait_mix,wait_mix,0.020371849819412757
2010-06-08,0.206253504703487,0.23737683025994674,True,0.2209914723196527,wait_mix,wait_mix,-0.01005272714288552
2010-06-09,0.2077674117157106,0.23736906977454128,True,0.2209914723196527,wait_mix,wait_mix,-0.0016533312455816462
2010-06-10,0.2061048184780168,0.2373145113748615,True,0.2209914723196527,wait_mix,wait_mix,-0.03647043123685012
2010-06-11,0.2089831031525857,0.23739744602717078,True,0.2209914723196527,wait_mix,wait_mix,0.02502989985441606
2010-06-14,0.2278893234365756,0.2375947532087105,True,0.2209914723196527,wait_mix,wait_mix,-0.00984309935332972
2010-06-15,0.2251101747531843,0.23767847036768508,True,0.2209914723196527,wait_mix,wait_mix,-0.0024363286064298384
2010-06-16,0.237416767673048,0.23797272242013418,True,0.2209914723196527,wait_mix,wait_mix,0.005938665423996126
2010-06-17,0.2461991028140706,0.23832780857102223,False,,above,wait_mix,0.0029044224348981906
2010-06-18,0.246100104032142,0.23872810532473712,False,,above,above,0.0027359350674167615
2010-06-21,0.2544613608526764,0.23912667148480074,False,,above,above,-0.02627653988493106
2010-06-22,0.2418079572244687,0.23944555421067673,False,,above,above,-0.023661918416906236
2010-06-23,0.2342650719411037,0.23974966190173502,True,0.2342650719411037,wait_mix,above,0.013478172113395637
2010-06-24,0.2275168320534345,0.2400267453385204,True,0.2342650719411037,wait_mix,wait_mix,-0.007916647267860122
2010-06-25,0.2219594584084784,0.2402385864996246,True,0.2342650719411037,wait_mix,wait_mix,0.01234973396499961
2010-06-28,0.2191307575834584,0.24038557857558432,True,0.2342650719411037,wait_mix,wait_mix,0.008320256910901547
2010-06-29,0.2067994170459952,0.24044067516090095,True,0.2342650719411037,wait_mix,wait_mix,0.01815223606524108
2010-06-30,0.1899034898160701,0.24023608141378366,True,0.2342650719411037,below,wait_mix,-0.030813593862988542
2010-07-01,0.1842708646750882,0.24003183156550906,True,0.2342650719411037,below,below,-0.009748182324177512
2010-07-02,0.1819395606052883,0.23981534765235857,True,0.2342650719411037,below,below,-0.005470392676954039
2010-07-06,0.1873730497530678,0.23966328997395733,True,0.2342650719411037,below,below,0.005226279886616725
2010-07-07,0.1829808638841961,0.23942137042130912,True,0.2342650719411037,below,below,0.09449755194775156
2010-07-08,0.2033257270235674,0.23939839597987816,True,0.2342650719411037,below,below,0.016870504968455435
2010-07-09,0.2013907356464053,0.23924642121352901,True,0.2342650719411037,below,below,0.028019260709463367
2010-07-12,0.2067994556602547,0.23920004822380733,True,0.2342650719411037,below,below,0.011355635983024692
2010-07-13,0.2148387036476563,0.23925037577400401,True,0.2342650719411037,below,below,0.03415650689569705
2010-07-14,0.2189573824898097,0.2393405909155521,True,0.2342650719411037,below,below,0.01599617272434606
2010-07-15,0.2196519488426436,0.23936841744694276,True,0.2342650719411037,below,below,0.0034902338577615932
2010-07-16,0.2194032749478245,0.23941037519942404,True,0.2342650719411037,below,below,-0.08048453250048815
2010-07-19,0.2046910080980159,0.2392339443766915,True,0.2342650719411037,below,below,0.022553945141130294
2010-07-20,0.1977931674688255,0.23919909246444543,True,0.2342650719411037,below,below,0.0315925348957915
2010-07-21,0.2228026401033977,0.2394004723573399,True,0.2342650719411037,below,below,-0.03501838820922443
2010-07-22,0.2152607422017086,0.23930682570927037,True,0.2342650719411037,below,below,0.06742301754770574
2010-07-23,0.2180389283479195,0.23935802630252506,True,0.2342650719411037,below,below,0.026030867780495903
2010-07-26,0.2278893273368806,0.23950731881990067,True,0.2342650719411037,below,below,0.021977612057923368
2010-07-27,0.2353074024862893,0.23965247510257556,True,0.2342650719411037,below,below,-0.00021354097853309995
2010-07-28,0.2313630355549569,0.23974502806743653,True,0.2342650719411037,below,below,-0.020441129899403387
2010-07-29,0.2302464437503028,0.23985014124273157,True,0.2342650719411037,below,below,-0.023816954097580112
2010-07-30,0.2160543759481945,0.2398022301455982,True,0.2342650719411037,below,below,0.006829020932580088
2010-08-02,0.2314620822910233,0.23992702654246795,True,0.2342650719411037,below,below,0.05380069234349705
2010-08-03,0.2347614669007282,0.2400678980571004,True,0.2342650719411037,below,below,-0.010337066180385324
2010-08-04,0.2358285196302947,0.24014118595960937,True,0.2342650719411037,below,below,0.028883793311606842
2010-08-05,0.235902850806589,0.24027538567620438,True,0.2342650719411037,below,below,-0.005903278219852037
2010-08-06,0.2295261698581364,0.24035454087778962,True,0.2342650719411037,below,below,-0.004689907454846209
2010-08-09,0.2402196867528951,0.24058488174500262,True,0.2342650719411037,below,below,0.017484993189869735
2010-08-10,0.2357047031104305,0.24068145109745148,True,0.2342650719411037,below,below,-0.021199208446533002
2010-08-11,0.2234724070853085,0.24064872428986037,True,0.2342650719411037,below,below,-0.08231474295797914
2010-08-12,0.2035991458227721,0.24042170724263393,True,0.2342650719411037,below,below,-0.028185238156276604
2010-08-13,0.2087354359745041,0.2402832569817253,True,0.2342650719411037,below,below,-0.019921788298829846
2010-08-16,0.2032018637055548,0.24000899777491122,True,0.2342650719411037,below,below,0.0056530690380045545
2010-08-17,0.2120843069500236,0.23981172432810438,True,0.2342650719411037,below,below,0.03803738658791578
2010-08-18,0.214243198959278,0.23963704552871556,True,0.2342650719411037,below,below,0.00898602217386224
2010-08-19,0.2141936738979767,0.23944441184657297,True,0.2342650719411037,below,below,-0.03677308921958977
2010-08-20,0.2071719607796761,0.23920372265484305,True,0.2342650719411037,below,below,-0.003437059104358098
2010-08-23,0.2132256990192136,0.23897627228699414,True,0.2342650719411037,below,below,-0.027596307107889184
2010-08-24,0.1961801231849251,0.23856421851889853,True,0.2342650719411037,below,below,-0.05737930221695775
2010-08-25,0.1874473312567378,0.23815645887962375,True,0.2342650719411037,below,below,0.029982667545501274
2010-08-26,0.1994309347893187,0.2379182563437697,True,0.2342650719411037,below,below,-0.03263710723432833
2010-08-27,0.193798281159495,0.23749067869532556,True,0.2342650719411037,below,below,0.03308271994282186
2010-08-30,0.1937487321387349,0.23715336512895652,True,0.2342650719411037,below,below,-0.03240110245942107
2010-08-31,0.187571196627622,0.236798886906469,True,0.2342650719411037,below,below,-0.004953701873956051
2010-09-01,0.1967508699890462,0.23647548808485733,True,0.2342650719411037,below,below,0.08381521507534195
2010-09-02,0.2066012351484036,0.2362546100327247,True,0.2342650719411037,below,below,0.03431673926535117
2010-09-03,0.2188335322396077,0.2361474931493507,True,0.2342650719411037,below,below,0.050933911392781805
2010-09-07,0.2201978226766807,0.23596484538987003,True,0.2342650719411037,below,below,-0.024343781152586397
2010-09-08,0.2201978208656519,0.23580887870615047,True,0.2342650719411037,below,below,0.03531990507219951
2010-09-09,0.232478715401298,0.23582013624724488,True,0.2342650719411037,below,below,0.012652293710713192
2010-09-10,0.2299729923472974,0.23589012877284715,True,0.2342650719411037,below,below,0.01076208944296031
2010-09-13,0.2367964978373901,0.23601686083296475,False,,above,below,0.04408077824454848
2010-09-14,0.2399224728669975,0.23618078541605506,False,,above,above,0.0126656196145698
2010-09-15,0.2420566246672656,0.23632357717578892,False,,above,above,0.01698204677929005
2010-09-16,0.2479854969804219,0.23662605142580007,False,,above,above,0.014098914596883061
