start,signal_window,entry_rule,alpha_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
2010-02-12,160,tqqq_open_drawdown_from_running_peak,0.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,0.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,1.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,1.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,2.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,2.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,3.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,3.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,4.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,4.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,5.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,5.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,6.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,6.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,7.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,7.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,8.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,8.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,9.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,9.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,10.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,10.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,11.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,11.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,12.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,12.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,13.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,13.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,14.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,14.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,15.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,15.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,16.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,16.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,17.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,17.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,18.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,18.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,19.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,19.5,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.19365937576800196,0.0
2010-02-12,160,tqqq_open_drawdown_from_running_peak,20.0,0.41226201204395574,0.6097617042872205,-0.8165985180200189,263.4242834473663,0.19341361513885474,0.0002457606291472106
2010-02-12,160,tqqq_open_drawdown_from_running_peak,20.5,0.41324957639077287,0.6096744786100077,-0.8165985180200188,266.4144443941329,0.19316785450970755,0.0004915212582944212
2010-02-12,160,tqqq_open_drawdown_from_running_peak,21.0,0.4069495659744664,0.6092972340490336,-0.8165985180200189,247.87203446649318,0.19267633325141312,0.0009830425165888424
2010-02-12,160,tqqq_open_drawdown_from_running_peak,21.5,0.40426125063779295,0.6090731685358398,-0.8165985180200188,240.33426345134617,0.19144753010567708,0.0022118456623248955
2010-02-12,160,tqqq_open_drawdown_from_running_peak,22.0,0.40426125063779295,0.6090731685358398,-0.8165985180200188,240.33426345134617,0.19144753010567708,0.0022118456623248955
2010-02-12,160,tqqq_open_drawdown_from_running_peak,22.5,0.40426125063779295,0.6090731685358398,-0.8165985180200188,240.33426345134617,0.19144753010567708,0.0022118456623248955
2010-02-12,160,tqqq_open_drawdown_from_running_peak,23.0,0.39712919607168096,0.6089165135340933,-0.816598518020019,221.365282152852,0.19095600884738265,0.002703366920619317
