signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
QQQ,2010-02-12,160,0.0,0.4189608519068475,0.6099697681142624,-0.8165985180200188,284.34116363578323,0.17498156795281397,0.0
QQQ,2010-02-12,160,0.5,0.4165099753390411,0.6002828279589727,-0.7865951110501268,276.51397111042405,0.1594986483165397,0.015482919636274269
QQQ,2010-02-12,160,1.0,0.4198148316953416,0.6000274407645506,-0.786595111050127,287.116941184955,0.15826984517080364,0.016711722782010323
QQQ,2010-02-12,160,1.5,0.42256534267506174,0.5995181380982982,-0.7865951110501268,296.2309787698784,0.15753256328336201,0.017449004669451953
QQQ,2010-02-12,160,2.0,0.4332992835315401,0.5989799762318998,-0.7628847608123002,334.46013864324595,0.15654952076677317,0.018432047186040797
QQQ,2010-02-12,160,2.5,0.42743990791246755,0.5989814599917275,-0.7628847608123002,313.0533580393171,0.1548291963627427,0.020152371590071272
QQQ,2010-02-12,160,3.0,0.4220888511500005,0.598515685237807,-0.7628847608123003,294.63289613104035,0.15335463258785942,0.021626935364954535
QQQ,2010-02-12,160,3.5,0.42793797910238074,0.598245004590507,-0.7628847608123003,314.82178498932024,0.15237159007127057,0.022609977881543376
QQQ,2010-02-12,160,4.0,0.4172828280425598,0.5979409018725048,-0.7628847608123002,278.9600855427829,0.15212582944212338,0.022855738510690587
QQQ,2010-02-12,160,4.5,0.409272473362561,0.5971327497922769,-0.7628847608123005,254.56327629953097,0.15114278692553454,0.02383878102727943
QQQ,2010-02-12,160,5.0,0.39347621895706775,0.5951951488887708,-0.7628847608123002,212.2024816205923,0.1454902924551487,0.029491275497665274
QQQ,2010-02-12,160,5.5,0.39769741380139556,0.5949171121191633,-0.7628847608123005,222.82346861415658,0.14450724993855985,0.030474318014254115
QQQ,2010-02-12,160,6.0,0.4005997333984126,0.5944049020200585,-0.7628847608123003,230.41314212378458,0.143524207421971,0.03145736053084296
QQQ,2010-02-12,160,6.5,0.39501039041508146,0.5940802969207115,-0.7628847608123,216.00644935682377,0.14204964364708775,0.03293192430572622
QQQ,2010-02-12,160,7.0,0.41036880535777875,0.5936345141302941,-0.7628847608123006,257.7798283936427,0.1415581223887933,0.033423445564020646
QQQ,2010-02-12,160,7.5,0.4170868609017535,0.5935480830523445,-0.7538881099788339,278.33792677656845,0.14082084050135169,0.03416072745146228
QQQ,2010-02-12,160,8.0,0.42567476671722093,0.5927774040129787,-0.7538881099788339,306.8608783366603,0.14008355861391006,0.034898009338903906
QQQ,2010-02-12,160,8.5,0.43065941397318386,0.5926810081400365,-0.7538881099788338,324.6510288979092,0.13910051609732121,0.03588105185549275
QQQ,2010-02-12,160,9.0,0.4497533671129761,0.5910476269642505,-0.7538881099788344,402.1500170816946,0.13811747358073237,0.036864094372081595
QQQ,2010-02-12,160,9.5,0.46599063200360624,0.590280751771343,-0.753888109978834,481.38372132204404,0.13615138854755468,0.03883017940525928
QQQ,2010-02-12,160,10.0,0.4734873084907638,0.5902358166223313,-0.7538881099788342,522.7089293959966,0.13516834603096584,0.03981322192184812
QQQ,2010-02-12,160,10.5,0.4511794999951442,0.5887513378349553,-0.7321678567208875,408.5854766178552,0.1319734578520521,0.04300811010076186
QQQ,2010-02-12,160,11.0,0.45410295874666073,0.5885713193609196,-0.7321678567208875,422.0808307430422,0.13148193659375768,0.04349963135905628
QQQ,2010-02-12,160,11.5,0.47411485271866627,0.5880407094735607,-0.7321678567208876,526.3151007124137,0.13025313344802164,0.04472843450479233
