cagr,annualized_vol,max_drawdown,final_multiple,start,alpha_tqqq_drawdown_pct,beta_soxl_drawdown_pct,soxl_days,soxl_day_share,uvix_entries,uvix_exits,low_rsi_entries,low_rsi_exits
1.0891017601200907,0.67715220294328,-0.7459255753328052,146666.76538719313,2010-02-12,54.5,55.0,201,0.049397886458589335,127,126,11,11
1.0916319387384879,0.6769019075586648,-0.7459255753328051,149561.4313165492,2010-02-12,54.5,55.5,199,0.04890636520029491,127,126,11,11
1.087444017608851,0.676164812749743,-0.745925575332805,144798.80220876596,2010-02-12,54.5,56.0,198,0.0486606045711477,127,126,11,11
1.087444017608851,0.676164812749743,-0.745925575332805,144798.80220876596,2010-02-12,54.5,56.5,198,0.0486606045711477,127,126,11,11
1.087444017608851,0.676164812749743,-0.745925575332805,144798.80220876596,2010-02-12,54.5,57.0,198,0.0486606045711477,127,126,11,11
1.0802426662213818,0.6757061731298278,-0.7579339487662673,136940.27885307153,2010-02-12,54.5,57.5,195,0.04792332268370607,127,126,11,11
1.0823065333299717,0.6749073261212953,-0.757933948766267,139150.58428406634,2010-02-12,54.5,58.0,194,0.04767756205455886,127,126,11,11
1.0812172179149977,0.6748677237748246,-0.7599705698679667,137979.84177464625,2010-02-12,54.5,58.5,193,0.047431801425411646,127,126,11,11
1.0895222022952908,0.6744760450399333,-0.7599705698679667,147144.10514923016,2010-02-12,54.5,59.0,192,0.04718604079626444,127,126,11,11
1.0844637504876817,0.6741701950490707,-0.7647095521506518,141496.60627246057,2010-02-12,54.5,59.5,189,0.04644875890882281,127,126,11,11
1.0661288929470922,0.6716699187037384,-0.7804698959511055,122685.06217642371,2010-02-12,54.5,60.0,185,0.045465716392233964,127,126,11,11
1.070066330264135,0.671041099781638,-0.775685717430618,126515.19817755096,2010-02-12,54.5,60.5,182,0.04472843450479233,127,126,11,11
1.072164401252072,0.6708153058287776,-0.7783134724097928,128601.62178557113,2010-02-12,54.5,61.0,178,0.04374539198820349,127,126,11,11
1.0747917210082454,0.6704465232506992,-0.7783134724097927,131259.88203152164,2010-02-12,54.5,61.5,176,0.04325387072990907,127,126,11,11
