date,sp500_forward_pe,source
2017-01-01,18.14,trendonify_sp500_forward_pe_monthly
2017-02-01,18.81,trendonify_sp500_forward_pe_monthly
2017-03-01,18.81,trendonify_sp500_forward_pe_monthly
2017-04-01,17.87,trendonify_sp500_forward_pe_monthly
2017-05-01,18.08,trendonify_sp500_forward_pe_monthly
2017-06-01,18.16,trendonify_sp500_forward_pe_monthly
2017-07-01,17.44,trendonify_sp500_forward_pe_monthly
2017-08-01,17.45,trendonify_sp500_forward_pe_monthly
2017-09-01,17.79,trendonify_sp500_forward_pe_monthly
2017-10-01,16.97,trendonify_sp500_forward_pe_monthly
2017-11-01,17.44,trendonify_sp500_forward_pe_monthly
2017-12-01,17.61,trendonify_sp500_forward_pe_monthly
2018-01-01,18.46,trendonify_sp500_forward_pe_monthly
2018-02-01,17.74,trendonify_sp500_forward_pe_monthly
2018-03-01,17.26,trendonify_sp500_forward_pe_monthly
2018-04-01,17.15,trendonify_sp500_forward_pe_monthly
2018-05-01,17.52,trendonify_sp500_forward_pe_monthly
2018-06-01,17.6,trendonify_sp500_forward_pe_monthly
2018-07-01,18.06,trendonify_sp500_forward_pe_monthly
2018-08-01,18.61,trendonify_sp500_forward_pe_monthly
2018-09-01,18.69,trendonify_sp500_forward_pe_monthly
2018-10-01,17.57,trendonify_sp500_forward_pe_monthly
2018-11-01,17.88,trendonify_sp500_forward_pe_monthly
2018-12-01,16.24,trendonify_sp500_forward_pe_monthly
2019-01-01,17.06,trendonify_sp500_forward_pe_monthly
2019-02-01,17.56,trendonify_sp500_forward_pe_monthly
2019-03-01,17.88,trendonify_sp500_forward_pe_monthly
2019-04-01,21.06,trendonify_sp500_forward_pe_monthly
2019-05-01,19.67,trendonify_sp500_forward_pe_monthly
2019-06-01,21.03,trendonify_sp500_forward_pe_monthly
2019-07-01,23.58,trendonify_sp500_forward_pe_monthly
2019-08-01,23.15,trendonify_sp500_forward_pe_monthly
2019-09-01,23.55,trendonify_sp500_forward_pe_monthly
2019-10-01,24.4,trendonify_sp500_forward_pe_monthly
2019-11-01,25.23,trendonify_sp500_forward_pe_monthly
2019-12-01,25.95,trendonify_sp500_forward_pe_monthly
2020-01-01,26.12,trendonify_sp500_forward_pe_monthly
2020-02-01,23.92,trendonify_sp500_forward_pe_monthly
2020-03-01,20.93,trendonify_sp500_forward_pe_monthly
2020-04-01,19.21,trendonify_sp500_forward_pe_monthly
2020-05-01,20.08,trendonify_sp500_forward_pe_monthly
2020-06-01,20.44,trendonify_sp500_forward_pe_monthly
2020-07-01,18.47,trendonify_sp500_forward_pe_monthly
2020-08-01,19.76,trendonify_sp500_forward_pe_monthly
2020-09-01,18.99,trendonify_sp500_forward_pe_monthly
2020-10-01,17.09,trendonify_sp500_forward_pe_monthly
2020-11-01,18.92,trendonify_sp500_forward_pe_monthly
2020-12-01,19.63,trendonify_sp500_forward_pe_monthly
2021-01-01,17.68,trendonify_sp500_forward_pe_monthly
2021-02-01,18.14,trendonify_sp500_forward_pe_monthly
2021-03-01,18.91,trendonify_sp500_forward_pe_monthly
2021-04-01,19.72,trendonify_sp500_forward_pe_monthly
2021-05-01,19.82,trendonify_sp500_forward_pe_monthly
2021-06-01,20.26,trendonify_sp500_forward_pe_monthly
2021-07-01,21.25,trendonify_sp500_forward_pe_monthly
2021-08-01,21.87,trendonify_sp500_forward_pe_monthly
2021-09-01,20.83,trendonify_sp500_forward_pe_monthly
2021-10-01,22.45,trendonify_sp500_forward_pe_monthly
2021-11-01,22.26,trendonify_sp500_forward_pe_monthly
2021-12-01,23.23,trendonify_sp500_forward_pe_monthly
2022-01-01,22.72,trendonify_sp500_forward_pe_monthly
2022-02-01,22.01,trendonify_sp500_forward_pe_monthly
2022-03-01,22.8,trendonify_sp500_forward_pe_monthly
2022-04-01,20.46,trendonify_sp500_forward_pe_monthly
2022-05-01,20.46,trendonify_sp500_forward_pe_monthly
2022-06-01,18.74,trendonify_sp500_forward_pe_monthly
2022-07-01,19.67,trendonify_sp500_forward_pe_monthly
2022-08-01,18.83,trendonify_sp500_forward_pe_monthly
2022-09-01,17.08,trendonify_sp500_forward_pe_monthly
2022-10-01,18.27,trendonify_sp500_forward_pe_monthly
2022-11-01,19.25,trendonify_sp500_forward_pe_monthly
2022-12-01,18.12,trendonify_sp500_forward_pe_monthly
2023-01-01,18.92,trendonify_sp500_forward_pe_monthly
2023-02-01,18.43,trendonify_sp500_forward_pe_monthly
2023-03-01,19.07,trendonify_sp500_forward_pe_monthly
2023-04-01,19.16,trendonify_sp500_forward_pe_monthly
2023-05-01,19.21,trendonify_sp500_forward_pe_monthly
2023-06-01,20.45,trendonify_sp500_forward_pe_monthly
2023-07-01,20.75,trendonify_sp500_forward_pe_monthly
2023-08-01,20.38,trendonify_sp500_forward_pe_monthly
2023-09-01,19.39,trendonify_sp500_forward_pe_monthly
2023-10-01,18.39,trendonify_sp500_forward_pe_monthly
2023-11-01,20.03,trendonify_sp500_forward_pe_monthly
2023-12-01,20.91,trendonify_sp500_forward_pe_monthly
2024-01-01,20.58,trendonify_sp500_forward_pe_monthly
2024-02-01,21.64,trendonify_sp500_forward_pe_monthly
2024-03-01,22.31,trendonify_sp500_forward_pe_monthly
2024-04-01,21.12,trendonify_sp500_forward_pe_monthly
2024-05-01,22.14,trendonify_sp500_forward_pe_monthly
2024-06-01,22.91,trendonify_sp500_forward_pe_monthly
2024-07-01,22.62,trendonify_sp500_forward_pe_monthly
2024-08-01,23.14,trendonify_sp500_forward_pe_monthly
2024-09-01,23.61,trendonify_sp500_forward_pe_monthly
2024-10-01,22.19,trendonify_sp500_forward_pe_monthly
2024-11-01,23.47,trendonify_sp500_forward_pe_monthly
2024-12-01,22.88,trendonify_sp500_forward_pe_monthly
2025-01-01,22.55,trendonify_sp500_forward_pe_monthly
2025-02-01,22.23,trendonify_sp500_forward_pe_monthly
2025-03-01,20.95,trendonify_sp500_forward_pe_monthly
2025-04-01,19.88,trendonify_sp500_forward_pe_monthly
2025-05-01,21.11,trendonify_sp500_forward_pe_monthly
2025-06-01,22.15,trendonify_sp500_forward_pe_monthly
