Date,signal_price,signal_sma,signal_below_sma,trigger_reference_price,target_regime_at_close,overnight_regime,open_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2002-01-02,1154.6700439453125,1162.2522521972655,True,3.238061172495648,below,below,below,0.0259353226608061,0.036445977394016,0.06332653823822443,1.0633265382382244
2002-01-03,1165.27001953125,1161.6526901245118,False,,above,below,below,0.015294935861873,0.088088092321823,0.10473032990595299,1.1746890773856686
2002-01-04,1172.510009765625,1161.1337524414062,False,,above,below,above,0.0336920379031451,-0.0181106831380634,0.014971168942342183,1.1922755460179335
2002-01-07,1164.8900146484375,1160.5694396972656,False,,above,above,above,0.0288599608719606,-0.0720088704699898,-0.0452270827822272,1.1383524011989552
2002-01-08,1160.7099609375,1160.038439178467,False,,above,above,above,0.0033378928367087,0.0269364481189691,0.0303642519329006,1.1729176202973826
2002-01-09,1155.1400146484375,1159.4523139953612,True,1.3425320214581804,wait_mix,above,above,0.0387376750489263,-0.0595994666136397,-0.02317053633548183,1.1457404899577552
2002-01-10,1156.550048828125,1158.8717521667481,True,1.3425320214581804,wait_mix,above,wait_mix,0.0006322198053778,0.0016078859553702014,0.0022411222980938117,1.1483082345176285
2002-01-11,1145.5999755859375,1158.0005645751953,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.0086250418340384,5.96608241263113e-05,0.008685217235268716,1.158281540987462
2002-01-14,1138.4100341796875,1157.0625648498535,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.00534009384420065,-0.00100824007670055,-0.00634294982427408,1.1509346192905958
2002-01-15,1146.18994140625,1156.151502227783,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.00689801488902015,-0.0005213649861109932,0.006373053519472371,1.1582695872167483
2002-01-16,1127.5699462890625,1154.993627166748,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.0010654489698679,0.0011684229105544,0.002235116775408663,1.1608584550015821
2002-01-17,1138.8800048828125,1153.928002166748,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.01469369375637415,-0.00144764995650485,-0.016120072387751705,1.142145332675023
2002-01-18,1127.5799560546875,1152.9188140869142,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.006529158885930451,-0.0006566939705309912,0.005868177256126428,1.1488476439394175
2002-01-22,1119.31005859375,1151.8321891784667,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.00348870717414395,-0.00083888734583105,-0.0043246678876732725,1.1438792594258436
2002-01-23,1128.1800537109375,1150.8965019226075,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.02027523508798275,-0.0014988956195584,-0.02174374024648229,1.1190070459355494
2002-01-24,1132.1500244140625,1150.047876739502,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.0020682143591041497,-0.00034602068948255,-0.002413519403628217,1.1163063007173872
2002-01-25,1133.280029296875,1149.3303771972655,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,-0.00046053431782665005,0.00020068744177269998,-0.00025993929950818284,1.1160161288395423
2002-01-28,1133.06005859375,1148.56312789917,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.0007007991566775999,-0.00033433302294285,0.0003662318334343162,1.1164248494725495
2002-01-29,1100.6400146484375,1147.5629402160644,True,1.3425320214581804,wait_mix,wait_mix,wait_mix,0.016598936098502902,0.0013442850925338044,0.017965534893385815,1.1364820190615916
