variant,window_trading_days,event_episode_count,non_event_episode_count,event_mean_spread,non_event_mean_spread,event_minus_non_event_mean,event_median_spread,non_event_median_spread,event_minus_non_event_median,event_stdev,non_event_stdev,event_positive_rate,non_event_positive_rate,welch_t_event_minus_non_event
2005,0,33,127,0.05645385958213202,0.05147837992029085,0.00497547966184117,0.059889319220161386,0.035626099935693656,0.02426321928446773,0.09680094322295672,0.11600368515314473,0.8181818181818182,0.7086614173228346,0.2519717360987369
2005,1,49,111,0.04301365199015486,0.056694258275402754,-0.013680606285247893,0.052334141172437953,0.03634487005957754,0.015989271112860415,0.09960380335326115,0.11729912824590903,0.6938775510204082,0.7477477477477478,-0.7572071063103173
2005,3,71,89,0.041625483762132875,0.06118339628062763,-0.019557912518494758,0.05000073690390627,0.03966854203904013,0.01033219486486614,0.10672778935982592,0.11597420284108335,0.704225352112676,0.7528089887640449,-1.1080341237764029
2005,5,84,76,0.05349041931467411,0.05141495254808774,0.002075466766586369,0.050614031004445115,0.03553265655854093,0.015081374445904183,0.11820725512458609,0.10558652287351164,0.7261904761904762,0.7368421052631579,0.11730563261603005
2010,0,30,112,0.059222745976738336,0.05357807324562996,0.005644672731108379,0.05892671488751178,0.0359854849976356,0.02294122988987618,0.09924145934146844,0.11636346510507303,0.8333333333333334,0.7321428571428571,0.26633148909971655
2010,1,42,100,0.044682964964208725,0.05900742054315938,-0.014324455578950658,0.05280798171024176,0.038006706049308836,0.014801275660932922,0.09764480864361383,0.11859351837479049,0.7142857142857143,0.77,-0.7470627756533917
2010,3,64,78,0.04256913950141582,0.06478207249643708,-0.022212932995021265,0.04655491054362737,0.041460808144677286,0.005094102398950084,0.10633202633283115,0.1173133364501624,0.71875,0.782051282051282,-1.1820987860627075
2010,5,77,65,0.05535338705729615,0.054080242760013865,0.001273144297282286,0.051227325104983956,0.035626099935693656,0.0156012251692903,0.11876992737208529,0.1058615024593178,0.7402597402597403,0.7692307692307693,0.06751362104509163
