period,z_window,threshold,cagr,annualized_vol,max_drawdown,cagr_over_vol,final_eq,changed_days,changed_pct
from_20051220,baseline,,1.1301737609387619,0.5657832949760521,-0.6963385654929715,1.997538228813558,4593391.712586176,0,0.0
from_20051220,18,-0.25,1.0356185127242568,0.6558294409915132,-0.8609433969396906,1.5790973201181102,1828634.0674944725,651,0.1273474178403756
from_20051220,18,-0.5,1.0886222717455434,0.6518191508449859,-0.8609433969396906,1.6701293147559528,3080254.7707613665,609,0.11913145539906103
from_20051220,18,-0.75,1.0914135457328955,0.6498065439866323,-0.8609433969396906,1.6795976523058036,3164846.076231588,556,0.10876369327073553
from_20051220,18,-1.0,1.095025649405339,0.6441741476488682,-0.8609433969396906,1.6998907103024954,3277594.8774378207,526,0.10289514866979656
from_20051220,18,-1.25,1.0619144953884105,0.6412732475723362,-0.8609433969396906,1.6559469764386603,2372491.4168819394,500,0.09780907668231612
from_20051220,18,-1.5,1.000216787786754,0.6380227180335181,-0.8515004990615169,1.56768208954937,1281042.0306809188,447,0.08744131455399061
from_20051220,18,-1.75,1.1263489410051202,0.6111300510181473,-0.7510395093122385,1.8430593277627474,4428947.901080266,298,0.05829420970266041
from_20051220,18,-2.0,1.073777018514075,0.598594032493959,-0.7818949663589851,1.7938318129239141,2665290.7481004745,224,0.04381846635367762
from_20051220,18,-2.25,1.147842169361529,0.5806436027351725,-0.7077937418161493,1.976844597881589,5431316.537469457,110,0.021517996870109544
from_20051220,18,-2.5,1.1828806822637064,0.5767463691653831,-0.6155598630401401,2.050954709910819,7541637.683471817,89,0.01741001564945227
from_20051220,18,-2.75,1.1465117285118085,0.5744349805242034,-0.7008001611982007,1.9958946919728908,5363474.857521533,65,0.012715179968701095
from_20051220,18,-3.0,1.143171921701116,0.5659480710103038,-0.6963385654929714,2.019923700173374,5196703.442040554,9,0.0017605633802816902
from_20051220,24,-0.25,1.0032508012361356,0.6580077795721581,-0.8609433969396906,1.524679239945244,1321041.908243966,689,0.13478090766823161
from_20051220,24,-0.5,1.0699975199792786,0.6484311323144227,-0.8609433969396907,1.6501328616967752,2568464.6664966433,575,0.11248043818466354
from_20051220,24,-0.75,1.0982413991829931,0.6401017286611111,-0.8609433969396906,1.7157294692519645,3381175.6466150796,514,0.10054773082942096
from_20051220,24,-1.0,1.0616760315392777,0.6383358188956044,-0.8609433969396906,1.6631935732137064,2366931.573049986,471,0.09213615023474178
from_20051220,24,-1.25,1.0616760315392777,0.6383358188956044,-0.8609433969396906,1.6631935732137064,2366931.573049986,471,0.09213615023474178
from_20051220,24,-1.5,1.0026646060579494,0.6326847136487656,-0.8609433969396907,1.5847776695527653,1313222.2311556584,415,0.08118153364632238
from_20051220,24,-1.75,1.029552511100242,0.6301638944399296,-0.8515004990615168,1.6337853059881775,1721212.546168498,378,0.07394366197183098
from_20051220,24,-2.0,1.1572291146540672,0.6081841435308447,-0.6766379623671341,1.9027610748542594,5933683.749802782,281,0.05496870109546166
from_20051220,24,-2.25,1.128953252877194,0.5951418194437479,-0.61555986304014,1.896948283574452,4540296.94930718,167,0.03266823161189358
from_20051220,24,-2.5,1.099402829778957,0.5865062665822671,-0.6353343500957417,1.8744946003483969,3419345.0663806433,106,0.020735524256651018
from_20051220,24,-2.75,1.1465117285118085,0.5744349805242034,-0.7008001611982007,1.9958946919728908,5363474.857521533,65,0.012715179968701095
from_20051220,24,-3.0,1.1465117285118085,0.5744349805242034,-0.7008001611982007,1.9958946919728908,5363474.857521533,65,0.012715179968701095
from_20051220,36,-0.25,0.9924655563176046,0.6444901964057627,-0.8856042447096026,1.5399234338279386,1184013.5839538972,575,0.11248043818466354
from_20051220,36,-0.5,1.0745954370071562,0.6374896237058192,-0.8609433969396907,1.685667338019367,2686709.878715221,513,0.10035211267605634
from_20051220,36,-0.75,1.0014680855146274,0.6345577074856473,-0.8609433969396907,1.5782143589159368,1297397.356142674,473,0.09252738654147105
from_20051220,36,-1.0,0.9923238884810628,0.6290915370656917,-0.8609433969396906,1.5773918897552126,1182306.992004048,379,0.07413928012519562
from_20051220,36,-1.25,1.002954673800562,0.6227599291213922,-0.8609433969396906,1.610499691615611,1317086.1360271291,314,0.06142410015649452
from_20051220,36,-1.5,0.9831114089472108,0.6192157020033011,-0.8609433969396907,1.5876719627209481,1076213.8561548246,287,0.05614241001564945
from_20051220,36,-1.75,0.9831114089472108,0.6192157020033011,-0.8609433969396907,1.5876719627209481,1076213.8561548246,287,0.05614241001564945
from_20051220,36,-2.0,0.9634039202142965,0.6100476669560286,-0.8515004990615168,1.5792272840275239,878840.6158355278,207,0.040492957746478875
from_20051220,36,-2.25,1.041669727478443,0.5949048268678594,-0.6963385654929715,1.7509855029463717,1942124.5166782057,166,0.03247261345852895
from_20051220,36,-2.5,1.059240380959722,0.591036421524802,-0.6963385654929712,1.7921744623233384,2310848.6632680404,127,0.024843505477308295
from_20051220,36,-2.75,1.069387351004056,0.5880204295220903,-0.6963385654929712,1.818622784710377,2553149.9056544425,89,0.01741001564945227
from_20051220,36,-3.0,1.0687371872950733,0.5804805169749387,-0.6963385654929711,1.8411249922126398,2536926.8619850767,50,0.009780907668231613
from_20100212,baseline,,1.5345273049459411,0.6413447715002037,-0.7776330162254824,2.3926714197052648,3323945.7164496044,0,0.0
from_20100212,18,-0.25,1.4382812978602004,0.6512293932423919,-0.8127951746226678,2.2085632386756573,1778994.7003658072,91,0.022364217252396165
from_20100212,18,-0.5,1.5495550583958968,0.6489788570717644,-0.7834916208032828,2.387681881329065,3656870.811898328,79,0.01941508970262964
from_20100212,18,-0.75,1.5799033201149202,0.6480012229799311,-0.7834916208032826,2.438117806089157,4426788.161384314,58,0.014254116490538215
from_20100212,18,-1.0,1.5764077164036077,0.6463499787599749,-0.7834916208032827,2.4389382969083595,4330926.763192916,49,0.01204227082821332
from_20100212,18,-1.25,1.5764077164036077,0.6463499787599749,-0.7834916208032827,2.4389382969083595,4330926.763192916,49,0.01204227082821332
from_20100212,18,-1.5,1.5554253413221315,0.6462091620087782,-0.7834916208032829,2.4069998272494355,3795221.270683761,46,0.011304988940771688
from_20100212,18,-1.75,1.5592068392874983,0.6448267957590397,-0.7834916208032827,2.4180242656512467,3886927.4867018517,27,0.006635536986974687
from_20100212,18,-2.0,1.5439015450136453,0.6447145711232218,-0.7834916208032827,2.3947055242195936,3528113.3344218996,25,0.0061440157286802655
from_20100212,18,-2.25,1.5481115348411594,0.6445487499701757,-0.7776330162254826,2.401853288696616,3623582.2534943586,24,0.005898255099533055
from_20100212,18,-2.5,1.5481115348411594,0.6445487499701757,-0.7776330162254826,2.401853288696616,3623582.2534943586,24,0.005898255099533055
from_20100212,18,-2.75,1.542401901738562,0.6441710919884882,-0.7776330162254826,2.3943978873335188,3494680.0172879845,20,0.004915212582944212
from_20100212,18,-3.0,1.5410337881130065,0.6413178664077991,-0.7776330162254826,2.4029172877168823,3464438.5058138296,1,0.0002457606291472106
from_20100212,24,-0.25,1.460340796859057,0.6513175118800955,-0.7834916208032828,2.2421334759503577,2057464.3757146953,89,0.021872695994101746
from_20100212,24,-0.5,1.5764077164036077,0.6463499787599749,-0.7834916208032827,2.4389382969083595,4330926.763192916,49,0.01204227082821332
from_20100212,24,-0.75,1.5596544022749925,0.6460436720002448,-0.7776330162254828,2.4141624937615696,3897917.99213486,45,0.011059228311624477
from_20100212,24,-1.0,1.5596544022749925,0.6460436720002448,-0.7776330162254828,2.4141624937615696,3897917.99213486,45,0.011059228311624477
from_20100212,24,-1.25,1.5596544022749925,0.6460436720002448,-0.7776330162254828,2.4141624937615696,3897917.99213486,45,0.011059228311624477
from_20100212,24,-1.5,1.5596544022749925,0.6460436720002448,-0.7776330162254828,2.4141624937615696,3897917.99213486,45,0.011059228311624477
from_20100212,24,-1.75,1.5634421583709055,0.6446609453995308,-0.7776330162254828,2.4252161846130713,3992105.7308495245,26,0.006389776357827476
from_20100212,24,-2.0,1.5634421583709055,0.6446609453995308,-0.7776330162254828,2.4252161846130713,3992105.7308495245,26,0.006389776357827476
from_20100212,24,-2.25,1.5481115348411594,0.6445487499701757,-0.7776330162254826,2.401853288696616,3623582.2534943586,24,0.005898255099533055
from_20100212,24,-2.5,1.542401901738562,0.6441710919884882,-0.7776330162254826,2.3943978873335188,3494680.0172879845,20,0.004915212582944212
from_20100212,24,-2.75,1.542401901738562,0.6441710919884882,-0.7776330162254826,2.3943978873335188,3494680.0172879845,20,0.004915212582944212
from_20100212,24,-3.0,1.542401901738562,0.6441710919884882,-0.7776330162254826,2.3943978873335188,3494680.0172879845,20,0.004915212582944212
from_20100212,36,-0.25,1.5162542330281168,0.6465285142651653,-0.7776330162254823,2.345224069121636,2957421.5776024945,57,0.014008355861391006
from_20100212,36,-0.5,1.5113016846258889,0.6464591781115938,-0.7776330162254825,2.337814568648607,2864821.1918892222,56,0.013762595232243794
from_20100212,36,-0.75,1.5113016846258889,0.6464591781115938,-0.7776330162254825,2.337814568648607,2864821.1918892222,56,0.013762595232243794
